generator,threshold,N,comparison,mean,lo,hi,significant
opendde-abag,0.23,5,iptm - ranking_score,0.0010073892256698845,-0.0021882237378024775,0.004754546826662607,False
opendde-abag,0.23,5,ptm - ranking_score,-0.01857838788400008,-0.03815838086596026,-0.0038535274366063277,True
opendde-abag,0.23,5,complex_plddt - ranking_score,0.023945097338508033,-0.2642914746543773,0.35000512995896005,False
opendde-abag,0.23,5,pdockq2 - ranking_score,-0.2680361146254504,-0.5147947514144737,-0.05407647934225128,True
opendde-abag,0.23,5,ipsae - ranking_score,-0.2318713113452243,-0.5583688848830788,0.10521646360809843,False
opendde-abag,0.23,5,anticonf - ranking_score,-0.07704620289644212,-0.15683484834746209,-0.014347209082304534,True
opendde-abag,0.23,5,pss - ranking_score,0.0474883348332474,-0.3982833568791103,0.5176563328033922,False
opendde-abag,0.23,5,deeprank_ab - ranking_score,-0.07975966862266909,-0.43843388667580574,0.2843100826446234,False
opendde-abag,0.23,5,abag_rank - ranking_score,0.061257201571244785,-0.3747614970645779,0.4893144508164455,False
opendde-abag,0.23,5,deeprank_ab - abag_rank,-0.14101687019391387,-0.3708026459141561,0.10036851189199207,False
opendde-abag,0.23,5,deeprank_ab - iptm,-0.08076705784833897,-0.4403122766798182,0.28457955285056924,False
opendde-abag,0.23,50,iptm - ranking_score,0.0,0.0,0.0,False
opendde-abag,0.23,50,ptm - ranking_score,0.0,0.0,0.0,False
opendde-abag,0.23,50,complex_plddt - ranking_score,0.0,0.0,0.0,False
opendde-abag,0.23,50,pdockq2 - ranking_score,-0.1654550629741723,-0.5467487247867664,0.12945508331890943,False
opendde-abag,0.23,50,ipsae - ranking_score,-0.5689400622165185,-1.2136167996541012,-0.11892909398917044,True
opendde-abag,0.23,50,anticonf - ranking_score,-0.07670838235709616,-0.25817694831710747,0.0,False
opendde-abag,0.23,50,pss - ranking_score,-0.07721427759891947,-0.43214755639097746,0.27454319711724884,False
opendde-abag,0.23,50,deeprank_ab - ranking_score,-0.08576509071659297,-0.41091287318216174,0.17372235228397645,False
opendde-abag,0.23,50,abag_rank - ranking_score,0.0775922884221023,-0.27137963836941714,0.4324499919518865,False
opendde-abag,0.23,50,deeprank_ab - abag_rank,-0.1633573791386953,-0.6022282708288851,0.21142208351510722,False
opendde-abag,0.23,50,deeprank_ab - iptm,-0.08576509071659297,-0.41091287318216174,0.17372235228397645,False
opendde-abag,0.8,5,iptm - ranking_score,-0.08458795449787292,-0.17953761004525567,-0.016049022783716806,True
opendde-abag,0.8,5,ptm - ranking_score,0.01461022758333714,-0.08079210214998256,0.10825932155432724,False
opendde-abag,0.8,5,complex_plddt - ranking_score,0.09376654363216594,-0.06015991586112588,0.2573887882281884,False
opendde-abag,0.8,5,pdockq2 - ranking_score,0.04514360247967994,-0.10992642801478485,0.20935139847274617,False
opendde-abag,0.8,5,ipsae - ranking_score,-0.2431296152811022,-0.4876314257264662,-0.0167694149089829,True
opendde-abag,0.8,5,anticonf - ranking_score,0.0708267631518273,-0.0649738549349415,0.21450722961249277,False
opendde-abag,0.8,5,pss - ranking_score,-0.011552619241390212,-0.24417366359183293,0.24682088921600726,False
opendde-abag,0.8,5,deeprank_ab - ranking_score,-0.14388855690165311,-0.3279637083550534,0.042160747718321054,False
opendde-abag,0.8,5,abag_rank - ranking_score,-0.1512019625761321,-0.29521939439330014,0.018344354146041412,False
opendde-abag,0.8,5,deeprank_ab - abag_rank,0.007313405674479003,-0.13606437848133243,0.14483430421038898,False
opendde-abag,0.8,5,deeprank_ab - iptm,-0.059300602403780184,-0.23227875737091863,0.125003637951106,False
opendde-abag,0.8,50,iptm - ranking_score,-0.1160464446018069,-0.2678003561364176,0.0,False
opendde-abag,0.8,50,ptm - ranking_score,0.1150012596966045,-0.07444665205734122,0.32543539434815294,False
opendde-abag,0.8,50,complex_plddt - ranking_score,0.0012661930035001337,-0.17944301792640655,0.19342359767891684,False
opendde-abag,0.8,50,pdockq2 - ranking_score,-0.04140597531813769,-0.3216235142461699,0.22844807541684448,False
opendde-abag,0.8,50,ipsae - ranking_score,-0.22088294263779606,-0.560477634596094,0.06147760428227189,False
opendde-abag,0.8,50,anticonf - ranking_score,-0.07954333453240267,-0.353497415382536,0.1769537637716618,False
opendde-abag,0.8,50,pss - ranking_score,0.0018408306168179302,-0.17627513075747628,0.19201690180514433,False
opendde-abag,0.8,50,deeprank_ab - ranking_score,-0.0007219438758766239,-0.26466904617791154,0.2590733555532737,False
opendde-abag,0.8,50,abag_rank - ranking_score,-0.1533795991792353,-0.39554579687167135,0.07495058177328631,False
opendde-abag,0.8,50,deeprank_ab - abag_rank,0.15265765530335865,-0.0799049134643545,0.3952659383803368,False
opendde-abag,0.8,50,deeprank_ab - iptm,0.11532450072593028,-0.1504001119234544,0.3914785073923497,False
protenix-v2,0.23,5,iptm - ranking_score,0.004788358282765357,-0.00134637334350257,0.012121727228574384,False
protenix-v2,0.23,5,ptm - ranking_score,-0.14064950628666767,-0.24032395148110167,-0.059396809323684775,True
protenix-v2,0.23,5,complex_plddt - ranking_score,-0.6651021679844509,-0.9057794648155302,-0.42550157239181485,True
protenix-v2,0.23,5,pdockq2 - ranking_score,-0.0021976880106846226,-0.10883537591198335,0.11246682082731564,False
protenix-v2,0.23,5,ipsae - ranking_score,-0.18716200853337728,-0.29968239733262797,-0.08062875428294433,True
protenix-v2,0.23,5,anticonf - ranking_score,-0.07683263764461841,-0.14382867418144948,-0.013921206404810113,True
protenix-v2,0.23,5,pss - ranking_score,-0.06408008577339312,-0.21791252814558199,0.0903463225333664,False
protenix-v2,0.23,5,deeprank_ab - ranking_score,0.039702591570998036,-0.114157880171894,0.20190386481422437,False
protenix-v2,0.23,5,abag_rank - ranking_score,-0.3199056143638214,-0.48630210907389054,-0.16213901039811632,True
protenix-v2,0.23,5,deeprank_ab - abag_rank,0.3596082059348194,0.21233634594239878,0.4969124243121852,True
protenix-v2,0.23,5,deeprank_ab - iptm,0.03491423328823268,-0.11978990944694355,0.19705791087016977,False
protenix-v2,0.23,50,iptm - ranking_score,0.0,0.0,0.0,False
protenix-v2,0.23,50,ptm - ranking_score,-0.07685011050442839,-0.16930860219377108,0.0,False
