generator,threshold,N,ranker,oracle,random,ranked,gap_recovered,gap_lo,gap_hi
opendde-abag,0.23,5,iptm,"(0.6190683229813665, 0.759472049689441)","(0.5854006211180124, 0.7290993788819875)","(0.5930100931677018, 0.7371739130434782)",0.2519595148224139,-0.054296296948768454,0.5453181698116318
opendde-abag,0.23,5,ptm,"(0.6190683229813665, 0.759472049689441)","(0.5854006211180124, 0.7290993788819875)","(0.5922041925465839, 0.7365566770186335)",0.23237373771274392,-0.07797077963862599,0.5282259029171165
opendde-abag,0.23,5,ranking_score,"(0.6190683229813665, 0.759472049689441)","(0.5854006211180124, 0.7290993788819875)","(0.5929487577639753, 0.7371746894409937)",0.25095212559674396,-0.054300795064851776,0.5435358181400428
opendde-abag,0.23,5,complex_plddt,"(0.6190683229813665, 0.759472049689441)","(0.5854006211180124, 0.7290993788819875)","(0.5932259316770186, 0.7379192546583851)",0.27489722293525204,-0.05244000213325618,0.599643827508336
opendde-abag,0.23,5,pdockq2,"(0.6190683229813665, 0.759472049689441)","(0.5854006211180124, 0.7290993788819875)","(0.5846871118012421, 0.7284782608695652)",-0.017083989028706417,-0.29271629396283305,0.2607877150513137
opendde-abag,0.23,5,ipsae,"(0.6190683229813665, 0.759472049689441)","(0.5854006211180124, 0.7290993788819875)","(0.5864270186335404, 0.7290683229813665)",0.019080814251519716,-0.25869874652425506,0.2737794272841638
opendde-abag,0.23,5,anticonf,"(0.6190683229813665, 0.759472049689441)","(0.5854006211180124, 0.7290993788819875)","(0.5906816770186336, 0.7348462732919254)",0.1739059227003019,-0.12024917482022739,0.45914408081206054
opendde-abag,0.23,5,pss,"(0.6190683229813665, 0.759472049689441)","(0.5854006211180124, 0.7290993788819875)","(0.5947166149068324, 0.7395372670807453)",0.29844046042999134,0.02406824454512293,0.5565916702011656
opendde-abag,0.23,5,deeprank_ab,"(0.6190683229813665, 0.759472049689441)","(0.5854006211180124, 0.7290993788819875)","(0.5909922360248449, 0.7341933229813664)",0.17119245697407487,0.011779983378090981,0.33658712151905185
opendde-abag,0.23,5,abag_rank,"(0.6190683229813665, 0.759472049689441)","(0.5854006211180124, 0.7290993788819875)","(0.5953097826086957, 0.7390993788819876)",0.31220932716798877,0.06391327416554393,0.5246392859788118
opendde-abag,0.23,50,iptm,"(0.6708074534161491, 0.8074534161490683)","(0.5859611801242237, 0.7297243788819875)","(0.5900621118012422, 0.7391304347826086)",0.08985695894334755,-0.11524163568773153,0.3411480473728449
opendde-abag,0.23,50,ptm,"(0.6708074534161491, 0.8074534161490683)","(0.5859611801242237, 0.7297243788819875)","(0.5900621118012422, 0.7391304347826086)",0.08985695894334755,-0.11524163568773153,0.3411480473728449
opendde-abag,0.23,50,ranking_score,"(0.6708074534161491, 0.8074534161490683)","(0.5859611801242237, 0.7297243788819875)","(0.5900621118012422, 0.7391304347826086)",0.08985695894334755,-0.11524163568773153,0.3411480473728449
opendde-abag,0.23,50,complex_plddt,"(0.6708074534161491, 0.8074534161490683)","(0.5859611801242237, 0.7297243788819875)","(0.5900621118012422, 0.7391304347826086)",0.08985695894334755,-0.11524163568773153,0.3411480473728449
opendde-abag,0.23,50,pdockq2,"(0.6708074534161491, 0.8074534161490683)","(0.5859611801242237, 0.7297243788819875)","(0.577639751552795, 0.7267080745341615)",-0.07559810403082476,-0.4331609993694547,0.23307063079844406
opendde-abag,0.23,50,ipsae,"(0.6708074534161491, 0.8074534161490683)","(0.5859611801242237, 0.7297243788819875)","(0.546583850931677, 0.6956521739130435)",-0.47908310327317105,-1.0712151600669757,-0.07382035656935923
opendde-abag,0.23,50,anticonf,"(0.6708074534161491, 0.8074534161490683)","(0.5859611801242237, 0.7297243788819875)","(0.5838509316770186, 0.7329192546583851)",0.013148576586251404,-0.16318850496065576,0.23540718606095917
opendde-abag,0.23,50,pss,"(0.6708074534161491, 0.8074534161490683)","(0.5859611801242237, 0.7297243788819875)","(0.5838509316770186, 0.7327639751552795)",0.012642681344428084,-0.13117401115393884,0.20454545454545447
opendde-abag,0.23,50,deeprank_ab,"(0.6708074534161491, 0.8074534161490683)","(0.5859611801242237, 0.7297243788819875)","(0.5838509316770186, 0.7329192546583851)",0.004091868226754586,-0.3652168590773054,0.31812078224640267
opendde-abag,0.23,50,abag_rank,"(0.6708074534161491, 0.8074534161490683)","(0.5859611801242237, 0.7297243788819875)","(0.5962732919254659, 0.7453416149068323)",0.16744924736544986,-0.04712041884816667,0.4248165959475369
opendde-abag,0.8,5,iptm,"(0.25577484472049683, 0.3910279503105589)","(0.20332298136645963, 0.3298788819875776)","(0.20496816770186335, 0.33096273291925465)",0.028288956098065855,-0.13741325061216275,0.18486499770222123
opendde-abag,0.8,5,ptm,"(0.25577484472049683, 0.3910279503105589)","(0.20332298136645963, 0.3298788819875776)","(0.20916071428571426, 0.3380753105590062)",0.12748713817927593,-0.03097061539297177,0.2734530592575487
opendde-abag,0.8,5,ranking_score,"(0.25577484472049683, 0.3910279503105589)","(0.20332298136645963, 0.3298788819875776)","(0.20934549689440993, 0.3363043478260869)",0.11287691059593878,-0.0487203659349584,0.2624068140234304
opendde-abag,0.8,5,complex_plddt,"(0.25577484472049683, 0.3910279503105589)","(0.20332298136645963, 0.3298788819875776)","(0.213694099378882, 0.34254813664596273)",0.20664345422810473,0.024927116974615665,0.3885018422844325
opendde-abag,0.8,5,pdockq2,"(0.25577484472049683, 0.3910279503105589)","(0.20332298136645963, 0.3298788819875776)","(0.21127096273291926, 0.3395349378881987)",0.15802051307561873,0.04170727034402879,0.2733260203848456
opendde-abag,0.8,5,ipsae,"(0.25577484472049683, 0.3910279503105589)","(0.20332298136645963, 0.3298788819875776)","(0.19630357142857144, 0.3214914596273292)",-0.13025270468516342,-0.3035767055048949,0.021203292985489834
opendde-abag,0.8,5,anticonf,"(0.25577484472049683, 0.3910279503105589)","(0.20332298136645963, 0.3298788819875776)","(0.21288586956521743, 0.34106055900621113)",0.18370367374776606,0.06623694924574408,0.3028849181360204
opendde-abag,0.8,5,pss,"(0.25577484472049683, 0.3910279503105589)","(0.20332298136645963, 0.3298788819875776)","(0.20586956521739128, 0.33851319875776387)",0.10132429135454857,-0.04164971700505998,0.2482803057234262
opendde-abag,0.8,5,deeprank_ab,"(0.25577484472049683, 0.3910279503105589)","(0.20332298136645963, 0.3298788819875776)","(0.20155279503105591, 0.32779580745341613)",-0.03101164630571433,-0.13376644878300517,0.07047153916845272
opendde-abag,0.8,5,abag_rank,"(0.25577484472049683, 0.3910279503105589)","(0.20332298136645963, 0.3298788819875776)","(0.20009239130434783, 0.3286032608695652)",-0.03832505198019332,-0.14344121337352136,0.07160024527236292
opendde-abag,0.8,50,iptm,"(0.35403726708074534, 0.5031055900621118)","(0.20251552795031058, 0.32869642857142856)","(0.18633540372670807, 0.3167701863354037)",-0.09472809379728554,-0.3042849962302088,0.09654144676661368
opendde-abag,0.8,50,ptm,"(0.35403726708074534, 0.5031055900621118)","(0.20251552795031058, 0.32869642857142856)","(0.21739130434782608, 0.35403726708074534)",0.13631961050112587,-0.016471928610715933,0.30748264930638297
opendde-abag,0.8,50,ranking_score,"(0.35403726708074534, 0.5031055900621118)","(0.20251552795031058, 0.32869642857142856)","(0.19875776397515527, 0.33540372670807456)",0.021318350804521356,-0.155852225338876,0.20046448923301108
opendde-abag,0.8,50,complex_plddt,"(0.35403726708074534, 0.5031055900621118)","(0.20251552795031058, 0.32869642857142856)","(0.19875776397515527, 0.33540372670807456)",0.02258454380802149,-0.10336755379892869,0.15902210556328944
opendde-abag,0.8,50,pdockq2,"(0.35403726708074534, 0.5031055900621118)","(0.20251552795031058, 0.32869642857142856)","(0.19254658385093168, 0.32919254658385094)",-0.02008762451361634,-0.23290335968470285,0.17598727298552588
opendde-abag,0.8,50,ipsae,"(0.35403726708074534, 0.5031055900621118)","(0.20251552795031058, 0.32869642857142856)","(0.16990605590062113, 0.2965535714285714)",-0.1995645918332747,-0.47461239007378214,0.02543548070794762
opendde-abag,0.8,50,anticonf,"(0.35403726708074534, 0.5031055900621118)","(0.20251552795031058, 0.32869642857142856)","(0.19254658385093168, 0.32298136645962733)",-0.058224983727881305,-0.27054812739175227,0.14059969846694537
opendde-abag,0.8,50,pss,"(0.35403726708074534, 0.5031055900621118)","(0.20251552795031058, 0.32869642857142856)","(0.19875776397515527, 0.33540372670807456)",0.023159181421339287,-0.089921226259023,0.14439175327077647
opendde-abag,0.8,50,deeprank_ab,"(0.35403726708074534, 0.5031055900621118)","(0.20251552795031058, 0.32869642857142856)","(0.19875776397515527, 0.33540372670807456)",0.02059640692864473,-0.1677417399684827,0.20430695451357997
opendde-abag,0.8,50,abag_rank,"(0.35403726708074534, 0.5031055900621118)","(0.20251552795031058, 0.32869642857142856)","(0.18012422360248448, 0.3105590062111801)",-0.13206124837471392,-0.2847987233715097,0.005285857910977187
protenix-v2,0.23,5,iptm,"(0.4462709627329192, 0.5891933229813663)","(0.340402950310559, 0.47615062111801243)","(0.3738773291925465, 0.5196583850931676)",0.352339593577587,0.17552682737677022,0.5224444164614522
protenix-v2,0.23,5,ptm,"(0.4462709627329192, 0.5891933229813663)","(0.340402950310559, 0.47615062111801243)","(0.3590364906832298, 0.5035722049689441)",0.20690172900815396,0.0464771123802716,0.3693837913823699
protenix-v2,0.23,5,ranking_score,"(0.4462709627329192, 0.5891933229813663)","(0.340402950310559, 0.47615062111801243)","(0.3734122670807454, 0.5191312111801242)",0.3475512352948216,0.17129603974650473,0.5186989889566948
protenix-v2,0.23,5,complex_plddt,"(0.4462709627329192, 0.5891933229813663)","(0.340402950310559, 0.47615062111801243)","(0.3049045031055901, 0.4426715838509317)",-0.3175509326896293,-0.4709711039364993,-0.15297748986010848
protenix-v2,0.23,5,pdockq2,"(0.4462709627329192, 0.5891933229813663)","(0.340402950310559, 0.47615062111801243)","(0.37505978260869566, 0.5185419254658384)",0.34535354728413703,0.20208355340706052,0.48256304826620733
