generator,threshold,N,metric,ranker,median_rank,rank_lo,rank_hi,metric_value,ci_lo,ci_hi
opendde-abag,0.23,5,gap_recovered,iptm,3.0,1.0,6.5,0.2519595148224139,-0.05429629694877137,0.545318169811632
opendde-abag,0.23,5,gap_recovered,ptm,5.0,3.0,8.0,0.2323737377127439,-0.07797077963862599,0.5282259029171165
opendde-abag,0.23,5,gap_recovered,ranking_score,4.0,1.5,7.0,0.250952125596744,-0.0543007950648546,0.5435358181400428
opendde-abag,0.23,5,gap_recovered,complex_plddt,4.0,1.0,8.0,0.27489722293525204,-0.05244000213325618,0.5996438275083336
opendde-abag,0.23,5,gap_recovered,pdockq2,10.0,7.0,10.0,-0.017083989028706396,-0.29271629396283305,0.26078771505131465
opendde-abag,0.23,5,gap_recovered,ipsae,9.0,4.0,10.0,0.019080814251519716,-0.25869874652425157,0.2737794272841638
opendde-abag,0.23,5,gap_recovered,anticonf,7.0,4.0,9.0,0.17390592270030183,-0.12024917482022739,0.4591440808120619
opendde-abag,0.23,5,gap_recovered,pss,3.0,1.0,10.0,0.2984404604299914,0.024068244545126207,0.5565916702011671
opendde-abag,0.23,5,gap_recovered,deeprank_ab,7.0,2.0,10.0,0.1711924569740749,0.011779983378090981,0.33658712151905185
opendde-abag,0.23,5,gap_recovered,abag_rank,2.0,1.0,8.0,0.31220932716798877,0.06391327416554393,0.5246392859788145
opendde-abag,0.23,5,ranked_success,iptm,3.0,1.0,6.5,0.6720227795031055,0.5995023291925465,0.7430458074534161
opendde-abag,0.23,5,ranked_success,ptm,5.0,3.0,8.0,0.6713976055900621,0.5986591614906831,0.7422670807453415
opendde-abag,0.23,5,ranked_success,ranking_score,4.0,1.5,7.0,0.6719922018633541,0.5994712732919255,0.7430434782608696
opendde-abag,0.23,5,ranked_success,complex_plddt,4.0,1.0,8.0,0.6726487391304349,0.5998734472049689,0.7433548136645963
opendde-abag,0.23,5,ranked_success,pdockq2,10.0,7.0,10.0,0.6633518695652174,0.591304347826087,0.7341933229813664
opendde-abag,0.23,5,ranked_success,ipsae,9.0,4.0,10.0,0.6645647732919255,0.5929805900621118,0.7355597826086956
opendde-abag,0.23,5,ranked_success,anticonf,7.0,4.0,9.0,0.6694705062111801,0.5968633540372671,0.7408385093167702
opendde-abag,0.23,5,ranked_success,pss,3.0,1.0,10.0,0.6736674689440993,0.6,0.7449689440993789
opendde-abag,0.23,5,ranked_success,deeprank_ab,7.0,2.0,10.0,0.6693338850931677,0.5978540372670808,0.7404394409937888
opendde-abag,0.23,5,ranked_success,abag_rank,2.0,1.0,8.0,0.6739916428571429,0.6019565217391304,0.744753105590062
