target,gen,mean_tm,sd_tm,pss,oracle50_dockq,failing
21av,boltz2,0.8083807126530612,0.1270858670970396,0.326808,0.039637303624623886,True
21du,boltz2,0.7225263934693877,0.13994938178217048,0.234777,0.7221776083192958,False
21tw,boltz2,0.6342917453061224,0.11690349760706273,0.117664,0.08210842086210712,True
22ps,boltz2,0.7193684334693878,0.09413693883884493,0.173684,0.045596050644392726,True
9ck4,boltz2,0.9163540693877551,0.04973915159434247,0.477655,0.20845490466530073,True
9d3j,boltz2,0.8809202408163266,0.05849184787695098,0.356274,0.5362623572008953,False
9d72,boltz2,0.7613741208163265,0.10595952400313775,0.206719,0.015880658475104257,True
9d73,boltz2,0.9649778604081632,0.02957247693295761,0.872201,0.8426996725650411,False
9d74,boltz2,0.9750858048979593,0.018892457512994506,0.880642,0.7955212365530985,False
9dsg,boltz2,0.9008327559183673,0.0730726224668729,0.506542,0.029782327137533926,True
9fte,boltz2,0.8289832195918367,0.06395088104175164,0.318556,0.11156079537159998,True
9gei,boltz2,0.5661773493877551,0.0705222876061668,0.059,0.028383788562542745,True
9gfr,boltz2,0.8450212465306122,0.062106634266016154,0.154029,0.3523391135893015,False
9gvn,boltz2,0.8627113518367348,0.08035275206603443,0.287806,0.17768573126834122,True
9hv9,boltz2,0.9737716693877553,0.018875754192886902,0.81359,0.011402644177991741,True
9i3p,boltz2,0.5209239616326531,0.1005170495973823,0.047172,0.14534472932216885,True
9i5n,boltz2,0.7959531657142856,0.1295834363656643,0.397584,0.012008467604332681,True
9iar,boltz2,0.8998214612244897,0.08983885010782275,,0.48123803704607476,False
9ivj,boltz2,0.7729743665306122,0.0799781542319918,,0.039165778472203344,True
9j4c,boltz2,0.8985473126530612,0.09849788838659519,0.500652,0.0047387826548189625,True
9j87,boltz2,0.4961320832653061,0.09784840625379526,0.074386,0.0452434791498253,True
9jkr,boltz2,0.9966368971428573,0.0016013269265665077,0.964247,0.9194309489672139,False
9jno,boltz2,0.7169132555102041,0.07356778406805037,0.081386,0.5055371884781713,False
9k6j,boltz2,0.7993713224489796,0.12448418349326554,0.370708,0.8433854121605512,False
9kwy,boltz2,0.8210074987755103,0.10397484429695737,0.260715,0.39703396268181135,False
9l1l,boltz2,0.7763705673469388,0.0987110187327685,0.216897,0.03368551213363377,True
9l8z,boltz2,0.9439282693877551,0.07935077893377493,0.705983,0.3867521083602712,False
9l9o,boltz2,0.8365958563265306,0.08443581197486809,0.54954,0.3862448689014711,False
9l9y,boltz2,0.9762535518367347,0.020938198467676312,,0.03489285377537882,True
9lbw,boltz2,0.8730994857142859,0.10296923355160859,0.532421,0.007794467359466341,True
9ldx,boltz2,0.5402848146938776,0.0993288165575695,0.057076,0.6135876502513823,False
9le0,boltz2,0.5402848146938776,0.0993288165575695,0.057076,0.6372503451048789,False
