================================================================================================
grid 11x10 = 110 cores   (W-chunk threshold 1024)
================================================================================================
part                       W      H |  w_eff   raw   old   new | B/core old B/core new
boltz2/esmfold2 pair     128    128 |    128   146    32   128 |      85793     343170
boltz2/esmfold2 pair     256    256 |    256    73    32    64 |     171585     343170
boltz2/esmfold2 pair     448    448 |    448    41    16    32 |     150137     300274
boltz2/esmfold2 pair     512    512 |    512    36    16    32 |     171585     343170
boltz2/esmfold2 pair     576    576 |    576    32    16    32 |     193033     386067
boltz2 MSA               128   1024 |    128   293    32   256 |      42896     343170
boltz2 MSA               128   4096 |    128   293    32   256 |      42896     343170
boltz2 MSA               128   8192 |    128   293    32   256 |      42896     343170
boltz2 MSA               256   1024 |    256   146    32   128 |      85793     343170
boltz2 MSA               256   4096 |    256   146    32   128 |      85793     343170
boltz2 MSA               256   8192 |    256   146    32   128 |      85793     343170
boltz2 MSA               298   1024 |    298   117    32    64 |     107241     214481
boltz2 MSA               298   4096 |    298   117    32    64 |     107241     214481
boltz2 MSA               298   8192 |    298   117    32    64 |     107241     214481
boltz2 MSA               320   1024 |    320   117    32    64 |     107241     214481
boltz2 MSA               320   4096 |    320   117    32    64 |     107241     214481
boltz2 MSA               320   8192 |    320   117    32    64 |     107241     214481
boltz2 MSA               384   1024 |    384    97    32    64 |     128689     257378
boltz2 MSA               384   4096 |    384    97    32    64 |     128689     257378
boltz2 MSA               384   8192 |    384    97    32    64 |     128689     257378
boltz2 MSA               448   1024 |    448    83    16    64 |      75069     300274
boltz2 MSA               448   4096 |    448    83    16    64 |      75069     300274
boltz2 MSA               448   8192 |    448    83    16    64 |      75069     300274
boltz2 MSA               512   1024 |    512    73    16    64 |      85793     343170
boltz2 MSA               512   4096 |    512    73    16    64 |      85793     343170
boltz2 MSA               512   8192 |    512    73    16    64 |      85793     343170
boltz2 MSA               576   1024 |    576    65    16    64 |      96517     386067
boltz2 MSA               576   4096 |    576    65    16    64 |      96517     386067
boltz2 MSA               576   8192 |    576    65    16    64 |      96517     386067
boltz2 MSA               640   1024 |    640    58    16    32 |     107241     214481
boltz2 MSA               640   4096 |    640    58    16    32 |     107241     214481
