benchlock: worker:b2z2-elision-bh-measure waiting; currently held by: worker:b2z2-fusion-rebuild pid=793052 since=2026-09-12T16:57:10+00:00
benchlock: worker:b2z2-elision-bh-measure acquired after 0s, loadavg 2.24 2.18 3.05
  warm off  23.236s gather=[0, 1200] cif dd1c2a12f97772fb
  warm on   19.547s gather=[1200, 0] cif dd1c2a12f97772fb
  rep0 off  19.881s sampler 5.2822 26.5272 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep0 on   19.458s sampler 4.8929 24.5543 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep0 off  19.909s sampler 5.2761 26.4952 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep0 on   19.364s sampler 4.9168 24.6927 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep1 off  19.743s sampler 5.2787 26.521 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep1 on   19.470s sampler 4.9112 24.6687 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep1 off  19.725s sampler 5.2321 26.2657 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep1 on   19.417s sampler 4.9175 24.6978 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep2 off  19.794s sampler 5.2991 26.6156 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep2 on   19.421s sampler 4.9286 24.7549 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep2 off  19.725s sampler 5.2804 26.518 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep2 on   19.346s sampler 4.9184 24.7015 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep3 off  19.821s sampler 5.2987 26.6149 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep3 on   19.372s sampler 4.8798 24.4987 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep3 off  19.755s sampler 5.2731 26.4665 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep3 on   19.489s sampler 4.9238 24.7262 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep4 off  19.813s sampler 5.2785 26.5083 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep4 on   19.475s sampler 4.9161 24.6908 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep4 off  19.756s sampler 5.299 26.6173 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep4 on   19.319s sampler 4.859 24.3995 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep5 off  19.891s sampler 5.2796 26.5154 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep5 on   19.465s sampler 4.9174 24.6959 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep5 off  19.829s sampler 5.2864 26.561 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep5 on   19.433s sampler 4.9191 24.7042 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep6 off  20.185s sampler 5.327 26.7484 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep6 on   19.788s sampler 4.9854 24.9494 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep6 off  20.108s sampler 5.4146 27.217 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep6 on   19.969s sampler 5.0818 25.5268 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep7 off  20.696s sampler 5.5081 27.0819 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep7 on   20.168s sampler 4.9745 24.9897 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep7 off  21.292s sampler 5.3979 26.9717 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep7 on   20.488s sampler 4.9747 24.9845 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep8 off  21.029s sampler 5.3773 26.8792 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep8 on   19.536s sampler 4.8708 24.4634 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep8 off  19.880s sampler 5.291 26.5736 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep8 on   19.466s sampler 4.9195 24.6889 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep9 off  19.898s sampler 5.3133 26.6893 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep9 on   19.585s sampler 4.9345 24.7855 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
  rep9 off  19.795s sampler 5.2599 26.4212 ms/step gather=[0, 1200] cif dd1c2a12f97772fb
  rep9 on   19.671s sampler 4.9183 24.7129 ms/step gather=[1200, 0] cif dd1c2a12f97772fb
benchlock: worker:b2z2-elision-bh-measure released, rc=0, loadavg 3.21 3.01 2.97
