0.68.0 vs 0.78.0
op                  PCC    max|diff|  identical
mm_default    1.0000000            0       True
mm_hifi4      1.0000000            0       True
mm_big        1.0000000            0       True
softmax       0.9998434  0.000366211      False
layer_norm    0.9999981      0.03125      False
roundtrip     1.0000000            0       True
permute       1.0000000            0       True
transpose     1.0000000            0       True
concat        1.0000000            0       True
slice         1.0000000            0       True
reshape       1.0000000            0       True
rms_norm      0.9999914       0.0625      False
pad           1.0000000            0       True
typecast      1.0000000            0       True
sigmoid       1.0000000            0       True
silu          1.0000000            0       True
mean          1.0000000            0       True
sum           1.0000000            0       True
sdpa          0.9997711    0.0107422      False
qkv_heads     1.0000000            0       True
