12:26:37 0, 1980 MHz, 3201 MHz, 0 %, 28, 101.44 W
12:26:42 0, 1980 MHz, 3201 MHz, 0 %, 28, 116.83 W
12:26:47 0, 1980 MHz, 3201 MHz, 2 %, 28, 117.33 W
12:26:52 0, 1980 MHz, 3201 MHz, 0 %, 28, 116.71 W
12:26:57 0, 1980 MHz, 3201 MHz, 0 %, 28, 116.70 W
12:27:02 0, 1980 MHz, 3201 MHz, 0 %, 28, 117.04 W
12:27:07 0, 1980 MHz, 3201 MHz, 0 %, 29, 117.19 W
12:27:12 0, 1980 MHz, 3201 MHz, 0 %, 29, 117.17 W
12:27:17 0, 1980 MHz, 3201 MHz, 0 %, 29, 117.38 W
12:27:22 0, 1980 MHz, 3201 MHz, 0 %, 29, 117.40 W
12:27:27 0, 1980 MHz, 3201 MHz, 15 %, 30, 129.98 W
12:27:32 0, 1980 MHz, 3201 MHz, 0 %, 30, 117.70 W
12:27:37 0, 1980 MHz, 3201 MHz, 0 %, 30, 117.76 W
