12:26:37 0, 1980 MHz, 3201 MHz, 0 %, 28, 101.44 W
12:26:42 0, 1980 MHz, 3201 MHz, 0 %, 28, 116.83 W
12:26:47 0, 1980 MHz, 3201 MHz, 2 %, 28, 117.33 W
12:26:52 0, 1980 MHz, 3201 MHz, 0 %, 28, 116.71 W
12:26:57 0, 1980 MHz, 3201 MHz, 0 %, 28, 116.70 W
12:27:02 0, 1980 MHz, 3201 MHz, 0 %, 28, 117.04 W
12:27:07 0, 1980 MHz, 3201 MHz, 0 %, 29, 117.19 W
12:27:12 0, 1980 MHz, 3201 MHz, 0 %, 29, 117.17 W
12:27:17 0, 1980 MHz, 3201 MHz, 0 %, 29, 117.38 W
12:27:22 0, 1980 MHz, 3201 MHz, 0 %, 29, 117.40 W
12:27:27 0, 1980 MHz, 3201 MHz, 15 %, 30, 129.98 W
12:27:32 0, 1980 MHz, 3201 MHz, 0 %, 30, 117.70 W
12:27:37 0, 1980 MHz, 3201 MHz, 0 %, 30, 117.76 W
12:27:42 0, 1980 MHz, 3201 MHz, 0 %, 30, 117.64 W
12:27:47 0, 1980 MHz, 3201 MHz, 0 %, 31, 311.33 W
12:27:52 0, 1980 MHz, 3201 MHz, 99 %, 40, 498.78 W
12:27:57 0, 1980 MHz, 3201 MHz, 98 %, 43, 488.97 W
12:28:03 0, 1980 MHz, 3201 MHz, 99 %, 45, 499.14 W
12:28:08 0, 1980 MHz, 3201 MHz, 99 %, 47, 504.24 W
12:28:13 0, 1980 MHz, 3201 MHz, 99 %, 48, 500.74 W
12:28:18 0, 1980 MHz, 3201 MHz, 99 %, 50, 513.28 W
12:28:23 0, 1980 MHz, 3201 MHz, 99 %, 51, 506.33 W
12:28:28 0, 1980 MHz, 3201 MHz, 100 %, 49, 504.53 W
12:28:33 0, 1980 MHz, 3201 MHz, 100 %, 48, 486.81 W
12:28:38 0, 1980 MHz, 3201 MHz, 100 %, 50, 491.53 W
12:28:43 0, 1980 MHz, 3201 MHz, 42 %, 50, 474.52 W
12:28:48 0, 1980 MHz, 3201 MHz, 100 %, 52, 497.59 W
12:28:53 0, 1980 MHz, 3201 MHz, 100 %, 54, 501.21 W
12:28:58 0, 1980 MHz, 3201 MHz, 64 %, 55, 483.74 W
12:29:03 0, 1980 MHz, 3201 MHz, 99 %, 56, 490.41 W
12:29:08 0, 1980 MHz, 3201 MHz, 81 %, 56, 495.64 W
12:29:13 0, 1980 MHz, 3201 MHz, 31 %, 57, 485.87 W
12:29:18 0, 1980 MHz, 3201 MHz, 99 %, 57, 490.59 W
12:29:23 0, 1980 MHz, 3201 MHz, 49 %, 57, 484.16 W
12:29:29 0, 1980 MHz, 3201 MHz, 27 %, 57, 493.65 W
12:29:34 0, 1980 MHz, 3201 MHz, 43 %, 58, 486.91 W
12:29:39 0, 1980 MHz, 3201 MHz, 99 %, 58, 491.43 W
12:29:44 0, 1980 MHz, 3201 MHz, 92 %, 59, 491.62 W
12:29:49 0, 1980 MHz, 3201 MHz, 77 %, 59, 501.36 W
12:29:54 0, 1980 MHz, 3201 MHz, 62 %, 59, 492.94 W
12:29:59 0, 1980 MHz, 3201 MHz, 99 %, 60, 523.09 W
