hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
5.0,-0.55,0.35,7.5,4.4,0.09,0.08,0.05,0.07,0.44,screen,1
4.3,-0.46,0.3,3.3,4.3,0.08,0.11,0.04,0.06,0.45,screen,2
4.1,-0.46,0.29,3.1,4.2,0.08,0.11,0.04,0.06,0.45,screen,3
4.1,-0.46,0.28,2.0,4.1,0.08,0.12,0.04,0.06,0.45,screen,4
3.6,-0.45,0.23,0.83,4.1,0.08,0.14,0.04,0.06,0.46,screen,5
3.4,-0.51,0.23,1.2,3.9,0.08,0.16,0.04,0.05,0.47,screen,6
3.3,-0.56,0.22,0.62,3.8,0.07,0.21,0.04,0.05,0.5,screen,7
3.4,-0.58,0.23,0.29,3.7,0.07,0.21,0.04,0.06,0.5,screen,8
3.1,-0.66,0.2,0.34,3.6,0.07,0.25,0.04,0.05,0.52,screen,9
3.1,-0.7,0.2,0.28,3.6,0.07,0.21,0.04,0.05,0.5,screen,10
3.0,-0.74,0.2,0.26,3.6,0.07,0.26,0.04,0.05,0.52,screen,11
3.0,-0.76,0.22,0.69,3.5,0.07,0.24,0.04,0.05,0.5,screen,12
2.9,-0.74,0.19,0.2,3.2,0.06,0.38,0.03,0.05,0.56,screen,13
2.8,-0.72,0.17,0.06,3.6,0.07,0.22,0.04,0.04,0.49,screen,14
2.6,-0.76,0.13,0.24,3.4,0.06,0.27,0.04,0.04,0.52,screen,15
2.4,-0.82,0.1,0.18,3.0,0.05,0.47,0.03,0.03,0.63,screen,16
2.6,-0.76,0.15,0.05,3.5,0.07,0.21,0.04,0.04,0.49,screen,17
2.3,-0.83,0.1,0.18,3.3,0.06,0.28,0.04,0.03,0.54,screen,18
2.5,-0.72,0.16,0.16,3.5,0.06,0.25,0.04,0.04,0.52,screen,19
2.0,-0.93,0.07,0.1,2.7,0.04,0.48,0.03,0.02,0.66,screen,20
1.9,-0.93,0.06,0.18,3.2,0.05,0.34,0.03,0.02,0.63,screen,21
1.8,-0.92,0.06,0.18,3.1,0.05,0.32,0.03,0.02,0.64,screen,22
2.1,-0.78,0.08,0.14,3.3,0.06,0.25,0.04,0.02,0.57,screen,23
2.3,-0.68,0.14,0.13,3.2,0.05,0.38,0.03,0.03,0.58,screen,24
1.8,-0.9,0.06,0.19,2.7,0.04,0.45,0.03,0.01,0.69,screen,25
1.7,-1.0,0.05,0.14,3.1,0.05,0.37,0.03,0.01,0.66,screen,26
1.9,-0.89,0.06,0.14,3.0,0.05,0.32,0.03,0.02,0.62,screen,27
2.3,-0.81,0.1,0.26,3.4,0.06,0.32,0.03,0.03,0.55,screen,28
2.0,-0.88,0.06,0.14,3.0,0.05,0.4,0.03,0.02,0.65,screen,29
2.0,-0.84,0.06,-0.11,2.5,0.03,0.6,0.02,0.03,0.73,screen,30
1.8,-1.0,0.05,0.0,2.2,0.03,0.7,0.02,0.02,0.79,screen,31
1.9,-0.89,0.06,0.05,2.5,0.03,0.6,0.02,0.02,0.74,screen,32
1.9,-0.92,0.06,-0.08,2.4,0.03,0.64,0.02,0.03,0.76,screen,33
1.9,-0.86,0.06,-0.06,2.5,0.03,0.58,0.02,0.02,0.72,screen,34
1.9,-0.86,0.06,-0.05,2.6,0.04,0.56,0.02,0.02,0.72,screen,35
2.1,-0.82,0.08,-0.15,2.4,0.03,0.61,0.02,0.03,0.72,screen,36
1.8,-0.93,0.06,0.01,2.5,0.03,0.56,0.02,0.02,0.73,screen,37
2.1,-0.77,0.08,0.07,2.8,0.04,0.48,0.03,0.02,0.68,screen,38
2.0,-0.78,0.07,-0.11,2.4,0.03,0.67,0.02,0.03,0.77,screen,39
2.5,-0.64,0.11,0.19,3.6,0.06,0.22,0.04,0.03,0.51,screen,40
2.7,-0.62,0.15,0.11,3.5,0.06,0.21,0.04,0.04,0.51,screen,41
2.1,-0.73,0.08,0.06,3.1,0.05,0.36,0.03,0.03,0.62,screen,42
2.1,-0.74,0.08,0.2,3.1,0.05,0.38,0.03,0.02,0.62,screen,43
1.8,-0.84,0.06,-0.16,2.2,0.02,0.72,0.01,0.03,0.81,screen,44
2.0,-0.78,0.07,-0.16,2.6,0.03,0.61,0.02,0.03,0.74,screen,45
2.8,-0.36,0.17,0.21,4.1,0.08,0.14,0.04,0.04,0.46,screen,46
2.6,-0.36,0.14,0.26,3.8,0.07,0.2,0.04,0.03,0.5,screen,47
2.5,-0.36,0.13,0.24,3.7,0.06,0.21,0.04,0.03,0.51,screen,48
2.3,-0.37,0.1,0.27,3.4,0.05,0.29,0.04,0.03,0.57,screen,49
2.7,-0.32,0.13,0.22,3.8,0.07,0.17,0.04,0.04,0.49,screen,50
3.6,-0.49,0.25,-0.17,4.1,0.08,0.12,0.04,0.06,0.45,refine,1
4.0,-0.34,0.27,1.4,4.1,0.08,0.13,0.04,0.06,0.46,refine,2
3.9,-0.45,0.27,0.98,4.1,0.08,0.13,0.04,0.06,0.46,refine,3
4.2,-0.42,0.28,2.2,4.2,0.08,0.12,0.04,0.06,0.45,refine,4
4.0,-0.39,0.27,0.38,4.2,0.08,0.12,0.04,0.06,0.45,refine,5
3.8,-0.48,0.26,0.37,4.2,0.08,0.12,0.04,0.06,0.45,refine,6
3.8,-0.42,0.25,0.95,4.1,0.08,0.14,0.04,0.06,0.47,refine,7
3.6,-0.35,0.22,-0.09,4.2,0.08,0.15,0.04,0.06,0.47,refine,8
3.8,-0.3,0.23,0.26,4.2,0.08,0.15,0.04,0.06,0.47,refine,9
3.7,-0.4,0.23,0.53,4.2,0.08,0.14,0.04,0.05,0.47,refine,10
3.8,-0.38,0.24,0.3,4.3,0.08,0.14,0.04,0.06,0.46,refine,11
3.9,-0.36,0.24,0.53,4.2,0.08,0.12,0.04,0.06,0.45,refine,12
3.8,-0.44,0.24,0.29,4.2,0.08,0.13,0.04,0.06,0.46,refine,13
3.9,-0.37,0.24,0.38,4.1,0.08,0.14,0.04,0.06,0.46,refine,14
3.9,-0.43,0.24,0.33,4.2,0.08,0.13,0.04,0.06,0.46,refine,15
3.7,-0.43,0.23,0.02,4.2,0.08,0.12,0.04,0.06,0.45,refine,16
4.1,-0.48,0.28,1.6,4.1,0.08,0.12,0.04,0.06,0.45,refine,17
3.8,-0.46,0.24,0.04,4.4,0.08,0.1,0.04,0.06,0.43,refine,18
3.7,-0.45,0.23,0.62,4.3,0.08,0.13,0.04,0.06,0.46,refine,19
3.7,-0.4,0.23,0.07,4.2,0.08,0.12,0.04,0.06,0.45,refine,20
3.7,-0.37,0.23,0.66,4.1,0.08,0.16,0.04,0.06,0.48,refine,21
3.7,-0.41,0.23,0.5,4.1,0.08,0.13,0.04,0.06,0.45,refine,22
3.6,-0.37,0.21,0.08,4.3,0.08,0.14,0.04,0.05,0.46,refine,23
3.7,-0.37,0.23,0.15,4.2,0.08,0.15,0.04,0.06,0.47,refine,24
3.8,-0.45,0.25,0.17,4.2,0.08,0.13,0.04,0.06,0.45,refine,25
