hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.9,-0.39,0.33,5.8,4.4,0.09,0.08,0.05,0.07,0.44,screen,1
4.6,-0.43,0.31,4.1,3.8,0.08,0.17,0.04,0.06,0.46,screen,2
4.4,-0.28,0.28,2.2,4.1,0.08,0.13,0.04,0.06,0.45,screen,3
4.3,-0.29,0.29,1.3,4.5,0.09,0.1,0.05,0.07,0.44,screen,4
4.0,-0.27,0.26,2.0,4.5,0.09,0.1,0.05,0.05,0.44,screen,5
3.8,-0.3,0.23,0.17,4.2,0.08,0.13,0.04,0.06,0.46,screen,6
3.4,-0.24,0.19,0.19,4.1,0.08,0.14,0.04,0.05,0.46,screen,7
3.6,-0.21,0.2,-0.02,4.1,0.08,0.14,0.04,0.05,0.46,screen,8
3.7,-0.28,0.25,0.27,4.2,0.08,0.13,0.04,0.06,0.46,screen,9
3.6,-0.23,0.21,0.1,4.3,0.08,0.14,0.04,0.06,0.46,screen,10
3.4,-0.24,0.2,0.07,4.2,0.08,0.15,0.04,0.05,0.47,screen,11
3.1,-0.27,0.16,0.08,4.1,0.08,0.16,0.04,0.05,0.47,screen,12
3.2,-0.29,0.17,-0.07,4.1,0.08,0.13,0.04,0.05,0.45,screen,13
4.4,-0.4,0.32,0.86,4.2,0.08,0.11,0.04,0.08,0.44,screen,14
3.6,-0.26,0.21,0.25,4.2,0.08,0.13,0.04,0.05,0.46,screen,15
3.0,-0.28,0.15,-0.05,4.0,0.08,0.16,0.04,0.04,0.47,screen,16
2.5,-0.3,0.1,0.19,3.6,0.06,0.24,0.04,0.03,0.52,screen,17
2.7,-0.29,0.12,0.08,3.9,0.07,0.16,0.04,0.04,0.48,screen,18
2.6,-0.3,0.11,0.06,3.5,0.06,0.29,0.04,0.03,0.55,screen,19
2.2,-0.34,0.08,0.01,3.9,0.08,0.14,0.04,0.02,0.5,screen,20
2.6,-0.33,0.12,0.13,3.4,0.06,0.33,0.03,0.03,0.56,screen,21
2.5,-0.31,0.11,0.09,3.2,0.05,0.41,0.03,0.03,0.6,screen,22
2.3,-0.33,0.09,0.1,3.6,0.06,0.24,0.04,0.03,0.55,screen,23
2.8,-0.31,0.13,0.09,3.9,0.08,0.16,0.04,0.04,0.48,screen,24
2.3,-0.32,0.09,0.14,3.2,0.05,0.38,0.03,0.03,0.59,screen,25
2.1,-0.37,0.07,0.11,3.4,0.05,0.3,0.04,0.02,0.59,screen,26
2.1,-0.37,0.07,0.21,2.7,0.03,0.56,0.02,0.02,0.71,screen,27
2.3,-0.34,0.09,0.19,3.5,0.07,0.19,0.04,0.03,0.52,screen,28
1.9,-0.39,0.06,0.19,3.3,0.05,0.31,0.03,0.02,0.6,screen,29
2.0,-0.4,0.07,0.26,2.7,0.03,0.61,0.02,0.02,0.73,screen,30
2.6,-0.35,0.13,0.08,3.9,0.07,0.16,0.04,0.03,0.48,screen,31
2.4,-0.37,0.11,0.21,4.0,0.08,0.14,0.04,0.03,0.47,screen,32
2.7,-0.32,0.15,0.13,3.8,0.07,0.21,0.04,0.04,0.5,screen,33
2.8,-0.32,0.13,0.15,3.8,0.07,0.17,0.04,0.04,0.48,screen,34
2.6,-0.35,0.12,0.18,3.7,0.07,0.2,0.04,0.03,0.5,screen,35
2.4,-0.34,0.1,0.19,3.4,0.05,0.35,0.03,0.03,0.55,screen,36
2.4,-0.36,0.11,0.22,3.7,0.07,0.21,0.04,0.03,0.51,screen,37
2.4,-0.36,0.1,0.15,3.7,0.07,0.18,0.04,0.03,0.5,screen,38
2.0,-0.37,0.08,0.24,3.6,0.07,0.18,0.04,0.02,0.55,screen,39
2.0,-0.39,0.07,0.2,3.6,0.07,0.19,0.04,0.02,0.55,screen,40
2.1,-0.38,0.07,0.25,3.3,0.05,0.31,0.03,0.02,0.6,screen,41
2.0,-0.39,0.07,0.23,3.0,0.04,0.49,0.03,0.02,0.67,screen,42
2.1,-0.42,0.08,0.2,3.7,0.07,0.18,0.04,0.02,0.53,screen,43
2.1,-0.39,0.07,0.23,3.7,0.07,0.18,0.04,0.02,0.54,screen,44
2.3,-0.38,0.1,0.27,3.5,0.06,0.21,0.04,0.03,0.52,screen,45
2.2,-0.36,0.08,0.15,3.2,0.05,0.39,0.03,0.02,0.61,screen,46
3.9,-0.27,0.27,1.9,4.0,0.08,0.13,0.04,0.05,0.46,screen,47
3.6,-0.24,0.23,0.18,4.1,0.08,0.14,0.04,0.05,0.47,screen,48
