hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.9,-0.5,0.33,10.0,4.3,0.09,0.1,0.05,0.07,0.44,screen,1
4.6,-0.22,0.3,4.5,4.3,0.09,0.1,0.04,0.06,0.44,screen,2
4.4,-0.29,0.28,1.3,4.1,0.08,0.12,0.04,0.06,0.45,screen,3
3.7,-0.17,0.19,1.4,4.0,0.08,0.13,0.04,0.05,0.46,screen,4
3.5,-0.24,0.22,0.55,3.9,0.08,0.17,0.04,0.06,0.49,screen,5
3.9,-0.31,0.24,0.58,3.9,0.08,0.17,0.04,0.06,0.48,screen,6
3.6,-0.26,0.21,0.77,3.7,0.07,0.18,0.04,0.05,0.49,screen,7
3.1,-0.32,0.17,0.48,3.7,0.07,0.19,0.04,0.04,0.49,screen,8
2.6,-0.3,0.13,0.8,3.3,0.06,0.26,0.04,0.03,0.53,screen,9
3.0,-0.33,0.16,0.52,3.4,0.06,0.29,0.04,0.04,0.56,screen,10
2.6,-0.33,0.12,0.65,3.0,0.05,0.47,0.03,0.03,0.62,screen,11
2.6,-0.34,0.13,0.51,2.9,0.05,0.5,0.02,0.03,0.61,screen,12
3.1,-0.32,0.15,0.27,3.5,0.06,0.29,0.04,0.04,0.53,screen,13
2.7,-0.35,0.11,0.41,2.1,0.03,0.74,0.01,0.03,0.75,screen,14
2.4,-0.38,0.09,0.43,2.1,0.03,0.78,0.01,0.02,0.77,screen,15
2.4,-0.39,0.09,0.46,2.2,0.03,0.72,0.01,0.02,0.76,screen,16
2.3,-0.39,0.08,0.44,2.1,0.03,0.75,0.01,0.02,0.78,screen,17
2.0,-0.43,0.06,0.38,2.0,0.02,0.79,0.01,0.02,0.81,screen,18
2.0,-0.43,0.06,0.41,1.9,0.02,0.79,0.01,0.01,0.82,screen,19
1.8,-0.52,0.05,0.32,1.8,0.02,0.82,0.01,0.01,0.85,screen,20
3.3,-0.33,0.19,0.21,4.1,0.08,0.14,0.04,0.05,0.47,screen,21
3.1,-0.32,0.17,0.19,4.1,0.08,0.13,0.04,0.04,0.45,screen,22
3.1,-0.33,0.19,0.19,4.1,0.08,0.14,0.04,0.05,0.47,screen,23
2.7,-0.35,0.16,0.32,4.2,0.08,0.12,0.04,0.04,0.46,screen,24
2.5,-0.35,0.12,0.52,4.0,0.08,0.17,0.04,0.03,0.48,screen,25
2.7,-0.33,0.14,0.27,4.1,0.08,0.13,0.04,0.04,0.46,screen,26
2.6,-0.35,0.14,0.3,4.0,0.08,0.16,0.04,0.04,0.47,screen,27
2.4,-0.34,0.09,0.3,3.9,0.07,0.15,0.04,0.03,0.47,screen,28
2.0,-0.38,0.06,0.33,3.8,0.07,0.17,0.04,0.02,0.53,screen,29
2.1,-0.37,0.08,0.32,3.8,0.07,0.17,0.04,0.02,0.49,screen,30
1.8,-0.43,0.05,0.31,3.8,0.07,0.17,0.04,0.02,0.55,screen,31
1.8,-0.4,0.05,0.33,3.7,0.07,0.18,0.04,0.02,0.55,screen,32
1.7,-0.45,0.04,0.4,2.9,0.04,0.52,0.02,0.01,0.72,screen,33
1.7,-0.41,0.05,0.36,3.6,0.07,0.22,0.04,0.01,0.6,screen,34
1.8,-0.41,0.05,0.32,3.7,0.07,0.17,0.04,0.02,0.56,screen,35
1.8,-0.42,0.05,0.35,3.4,0.06,0.24,0.04,0.02,0.6,screen,36
1.8,-0.4,0.05,0.36,2.9,0.04,0.44,0.03,0.02,0.68,screen,37
1.9,-0.39,0.05,0.3,3.4,0.06,0.25,0.04,0.02,0.58,screen,38
1.7,-0.41,0.05,0.36,3.2,0.05,0.35,0.03,0.01,0.65,screen,39
2.2,-0.31,0.09,0.39,3.5,0.07,0.3,0.04,0.03,0.51,screen,40
1.7,-0.42,0.05,0.36,2.5,0.03,0.6,0.02,0.01,0.76,screen,41
2.0,-0.43,0.09,0.41,2.2,0.03,0.72,0.01,0.02,0.77,screen,42
2.2,-0.31,0.09,0.31,3.8,0.07,0.17,0.04,0.02,0.52,screen,43
1.8,-0.37,0.05,0.29,3.5,0.06,0.24,0.04,0.02,0.6,screen,44
1.7,-0.4,0.05,0.3,3.4,0.06,0.21,0.04,0.01,0.6,screen,45
2.8,-0.3,0.15,0.22,4.1,0.08,0.13,0.04,0.04,0.47,screen,46
2.0,-0.32,0.07,0.27,3.7,0.07,0.18,0.04,0.02,0.55,screen,47
2.0,-0.32,0.07,0.31,3.3,0.06,0.31,0.03,0.02,0.59,screen,48
1.7,-0.4,0.04,0.36,3.4,0.06,0.28,0.04,0.01,0.63,screen,49
3.6,-0.27,0.23,0.37,3.9,0.08,0.16,0.04,0.06,0.48,screen,50
3.6,-0.32,0.25,0.55,4.7,0.09,0.09,0.05,0.05,0.43,refine,1
3.7,-0.29,0.24,0.47,4.0,0.08,0.15,0.04,0.06,0.47,refine,2
3.1,-0.32,0.19,0.27,4.0,0.08,0.14,0.04,0.05,0.47,refine,3
3.0,-0.32,0.18,0.48,4.0,0.08,0.14,0.04,0.04,0.46,refine,4
3.0,-0.32,0.18,0.42,3.9,0.08,0.15,0.04,0.04,0.47,refine,5
2.6,-0.36,0.13,0.29,3.8,0.07,0.18,0.04,0.03,0.48,refine,6
2.5,-0.36,0.12,0.44,3.6,0.06,0.26,0.04,0.03,0.53,refine,7
2.5,-0.37,0.12,0.23,3.5,0.06,0.26,0.04,0.03,0.53,refine,8
2.5,-0.37,0.12,0.2,3.7,0.07,0.2,0.04,0.03,0.5,refine,9
2.4,-0.39,0.11,0.38,3.4,0.06,0.3,0.03,0.03,0.55,refine,10
2.2,-0.39,0.08,0.35,3.3,0.05,0.32,0.03,0.02,0.57,refine,11
2.0,-0.45,0.07,0.38,2.7,0.03,0.57,0.02,0.02,0.7,refine,12
2.0,-0.43,0.07,0.35,2.7,0.04,0.56,0.02,0.02,0.69,refine,13
1.9,-0.45,0.06,0.34,3.0,0.05,0.43,0.03,0.02,0.65,refine,14
1.8,-0.48,0.05,0.37,2.6,0.03,0.61,0.02,0.01,0.74,refine,15
2.0,-0.44,0.06,0.35,3.3,0.05,0.39,0.03,0.02,0.61,refine,16
1.8,-0.5,0.05,0.41,3.2,0.05,0.34,0.03,0.02,0.61,refine,17
2.2,-0.42,0.1,0.5,3.8,0.07,0.17,0.04,0.03,0.49,refine,18
2.2,-0.41,0.09,0.27,3.4,0.06,0.24,0.04,0.03,0.53,refine,19
1.8,-0.47,0.05,0.41,2.6,0.03,0.59,0.02,0.01,0.74,refine,20
1.8,-0.5,0.06,0.41,2.7,0.03,0.54,0.02,0.01,0.71,refine,21
1.8,-0.51,0.05,0.39,2.7,0.04,0.52,0.02,0.01,0.71,refine,22
1.7,-0.53,0.05,0.39,1.9,0.02,0.77,0.01,0.01,0.81,refine,23
1.7,-0.54,0.05,0.4,1.9,0.02,0.75,0.01,0.01,0.81,refine,24
2.2,-0.43,0.11,0.32,3.9,0.07,0.16,0.04,0.03,0.5,refine,25
1.7,-0.52,0.05,0.37,3.5,0.07,0.21,0.04,0.02,0.58,anneal,1
1.6,-0.53,0.05,0.44,2.3,0.03,0.69,0.02,0.01,0.79,anneal,2
1.7,-0.52,0.05,0.38,3.1,0.05,0.37,0.03,0.01,0.66,anneal,3
1.7,-0.52,0.05,0.33,3.3,0.06,0.28,0.04,0.01,0.61,anneal,4
1.8,-0.5,0.06,0.38,2.5,0.03,0.66,0.02,0.01,0.76,anneal,5
1.7,-0.5,0.05,0.4,2.5,0.03,0.65,0.02,0.01,0.76,anneal,6
1.9,-0.48,0.06,0.36,3.2,0.05,0.36,0.03,0.02,0.62,anneal,7
1.7,-0.5,0.05,0.34,2.7,0.03,0.56,0.02,0.01,0.73,anneal,8
1.6,-0.54,0.05,0.43,2.1,0.02,0.73,0.01,0.01,0.81,anneal,9
1.5,-0.57,0.04,0.41,2.1,0.02,0.74,0.01,0.01,0.82,anneal,10
1.8,-0.49,0.06,0.35,2.0,0.02,0.75,0.01,0.01,0.8,anneal,11
1.9,-0.48,0.06,0.37,2.9,0.04,0.46,0.03,0.02,0.69,anneal,12
1.6,-0.58,0.05,0.45,2.2,0.02,0.74,0.01,0.01,0.8,anneal,13
1.7,-0.56,0.05,0.38,2.2,0.03,0.65,0.02,0.01,0.78,anneal,14
1.7,-0.55,0.05,0.39,2.3,0.03,0.65,0.02,0.01,0.78,anneal,15
1.9,-0.46,0.06,0.37,3.1,0.05,0.36,0.03,0.02,0.62,anneal,16
1.6,-0.56,0.05,0.37,2.1,0.02,0.76,0.01,0.01,0.82,anneal,17
1.8,-0.51,0.05,0.38,2.4,0.03,0.66,0.02,0.01,0.76,anneal,18
1.6,-0.57,0.05,0.4,2.0,0.02,0.75,0.01,0.01,0.82,anneal,19
1.6,-0.55,0.05,0.31,2.8,0.04,0.47,0.03,0.01,0.69,anneal,20
1.9,-0.47,0.06,0.4,2.6,0.03,0.62,0.02,0.02,0.74,anneal,21
2.5,-0.41,0.12,0.42,2.9,0.04,0.52,0.02,0.03,0.69,anneal,22
1.8,-0.54,0.05,0.39,2.8,0.03,0.51,0.02,0.01,0.68,anneal,23
2.9,-0.38,0.19,0.19,4.0,0.07,0.17,0.04,0.05,0.48,anneal,24
2.9,-0.39,0.2,0.16,3.9,0.07,0.16,0.04,0.05,0.48,anneal,25
2.4,-0.43,0.13,0.43,2.9,0.04,0.53,0.02,0.03,0.66,anneal,26
3.1,-0.38,0.2,0.15,4.2,0.08,0.15,0.04,0.05,0.48,anneal,27
2.4,-0.43,0.12,0.46,2.4,0.04,0.68,0.02,0.03,0.72,anneal,28
2.3,-0.43,0.11,0.52,2.6,0.04,0.58,0.02,0.03,0.71,anneal,29
2.8,-0.39,0.2,0.75,4.0,0.08,0.15,0.04,0.05,0.48,anneal,30
2.2,-0.47,0.09,0.44,3.7,0.07,0.18,0.04,0.03,0.5,anneal,31
1.8,-0.55,0.05,0.41,2.2,0.02,0.71,0.01,0.01,0.79,anneal,32
3.0,-0.39,0.2,0.32,4.3,0.08,0.11,0.04,0.05,0.45,anneal,33
3.0,-0.38,0.18,0.36,3.9,0.07,0.17,0.04,0.05,0.49,anneal,34
2.1,-0.51,0.09,0.55,2.5,0.03,0.63,0.02,0.02,0.73,anneal,35
3.1,-0.39,0.2,0.14,4.1,0.08,0.15,0.04,0.05,0.48,anneal,36
2.3,-0.48,0.1,0.49,2.7,0.04,0.56,0.02,0.02,0.7,anneal,37
2.2,-0.49,0.09,0.53,2.6,0.04,0.61,0.02,0.02,0.72,anneal,38
2.4,-0.41,0.13,0.44,2.9,0.05,0.49,0.03,0.03,0.62,anneal,39
2.4,-0.44,0.13,0.35,3.5,0.06,0.26,0.04,0.03,0.53,anneal,40
2.3,-0.44,0.1,0.44,3.5,0.06,0.26,0.04,0.03,0.53,anneal,41
1.8,-0.51,0.06,0.42,2.4,0.03,0.66,0.02,0.01,0.77,anneal,42
2.1,-0.49,0.08,0.55,2.3,0.03,0.7,0.01,0.02,0.77,anneal,43
2.4,-0.43,0.11,0.37,3.9,0.07,0.2,0.04,0.03,0.5,anneal,44
2.2,-0.45,0.09,0.44,3.3,0.05,0.38,0.03,0.02,0.61,anneal,45
1.7,-0.54,0.05,0.43,2.7,0.03,0.58,0.02,0.01,0.73,harden,1
1.9,-0.51,0.07,0.41,3.7,0.06,0.23,0.04,0.02,0.56,harden,2
1.8,-0.52,0.06,0.41,3.3,0.05,0.36,0.03,0.02,0.63,harden,3
1.6,-0.55,0.05,0.39,2.0,0.02,0.77,0.01,0.01,0.83,harden,4
2.4,-0.41,0.17,0.4,4.4,0.08,0.11,0.04,0.04,0.45,harden,5
,,,,,,0.24,,,0.57,mutate,1
,,,,,,0.13,,,0.46,mutate,2
,,,,,,0.58,,,0.74,mutate,3
,,,,,,0.15,,,0.47,mutate,4
,,,,,,0.75,,,0.82,mutate,5
,,,,,,0.14,,,0.47,mutate,6
,,,,,,0.71,,,0.79,mutate,7
,,,,,,0.14,,,0.47,mutate,8
,,,,,,0.21,,,0.51,mutate,9
,,,,,,0.74,,,0.81,mutate,10
,,,,,,0.17,,,0.48,mutate,11
,,,,,,0.23,,,0.58,mutate,12
,,,,,,0.19,,,0.54,mutate,13
,,,,,,0.32,,,0.58,mutate,14
,,,,,,0.32,,,0.57,mutate,15
