hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
5.0,-0.52,0.34,7.8,4.4,0.09,0.08,0.05,0.07,0.44,screen,1
4.6,-0.3,0.29,4.1,4.2,0.09,0.13,0.04,0.06,0.45,screen,2
4.1,-0.18,0.25,0.87,4.3,0.08,0.11,0.04,0.06,0.44,screen,3
3.7,-0.2,0.21,-0.04,4.1,0.08,0.13,0.04,0.05,0.45,screen,4
3.0,-0.23,0.13,0.2,4.2,0.08,0.16,0.04,0.04,0.48,screen,5
3.0,-0.24,0.17,-0.07,4.0,0.08,0.15,0.04,0.05,0.47,screen,6
3.1,-0.21,0.2,-0.26,4.2,0.08,0.13,0.04,0.05,0.46,screen,7
3.3,-0.22,0.2,-0.04,4.0,0.07,0.17,0.04,0.05,0.48,screen,8
3.1,-0.25,0.19,-0.13,4.2,0.08,0.13,0.04,0.05,0.46,screen,9
2.8,-0.28,0.13,-0.1,3.7,0.06,0.23,0.04,0.04,0.52,screen,10
2.5,-0.32,0.1,0.08,3.2,0.05,0.39,0.03,0.03,0.61,screen,11
2.5,-0.31,0.1,0.09,3.6,0.07,0.21,0.04,0.03,0.51,screen,12
2.3,-0.35,0.08,0.08,3.0,0.04,0.44,0.03,0.02,0.64,screen,13
2.2,-0.35,0.07,0.14,2.6,0.03,0.58,0.02,0.02,0.71,screen,14
1.8,-0.4,0.05,0.12,2.4,0.03,0.66,0.02,0.01,0.77,screen,15
2.4,-0.32,0.08,0.11,3.0,0.04,0.42,0.03,0.02,0.63,screen,16
2.0,-0.33,0.06,0.11,2.6,0.03,0.6,0.02,0.02,0.72,screen,17
2.4,-0.33,0.08,0.16,2.7,0.03,0.59,0.02,0.02,0.72,screen,18
2.0,-0.35,0.06,0.11,2.5,0.03,0.64,0.02,0.02,0.75,screen,19
1.7,-0.39,0.05,0.08,2.4,0.03,0.65,0.02,0.01,0.79,screen,20
1.8,-0.37,0.05,0.09,2.2,0.02,0.73,0.01,0.01,0.81,screen,21
1.9,-0.36,0.05,0.08,2.5,0.03,0.64,0.02,0.01,0.75,screen,22
1.6,-0.4,0.04,0.1,2.0,0.02,0.76,0.01,0.01,0.84,screen,23
1.9,-0.36,0.05,0.06,2.2,0.02,0.72,0.01,0.01,0.8,screen,24
