hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
5.0,-0.55,0.34,10.1,4.5,0.09,0.09,0.05,0.07,0.43,screen,1
4.7,-0.4,0.32,6.7,4.0,0.09,0.16,0.04,0.06,0.44,screen,2
3.9,-0.23,0.27,2.1,4.5,0.09,0.1,0.05,0.06,0.44,screen,3
4.0,-0.26,0.27,1.7,3.9,0.08,0.18,0.04,0.06,0.47,screen,4
3.8,-0.22,0.23,0.71,4.1,0.08,0.13,0.04,0.06,0.46,screen,5
3.3,-0.22,0.17,0.18,4.1,0.08,0.14,0.04,0.05,0.47,screen,6
3.3,-0.21,0.19,0.22,4.0,0.08,0.14,0.04,0.05,0.46,screen,7
3.3,-0.24,0.17,-0.04,3.6,0.07,0.24,0.04,0.05,0.51,screen,8
3.1,-0.25,0.15,0.08,3.9,0.08,0.16,0.04,0.04,0.47,screen,9
2.7,-0.24,0.11,0.07,3.5,0.06,0.22,0.04,0.03,0.51,screen,10
2.5,-0.27,0.09,0.09,3.5,0.06,0.28,0.04,0.03,0.54,screen,11
2.3,-0.28,0.08,0.13,3.2,0.05,0.36,0.03,0.02,0.59,screen,12
2.4,-0.24,0.09,0.06,3.6,0.06,0.21,0.04,0.03,0.52,screen,13
2.0,-0.31,0.06,0.26,2.4,0.03,0.67,0.02,0.02,0.75,screen,14
1.9,-0.32,0.06,0.18,2.3,0.03,0.7,0.02,0.01,0.79,screen,15
2.7,-0.22,0.17,0.49,3.8,0.08,0.14,0.04,0.03,0.46,screen,16
2.2,-0.23,0.08,0.08,3.4,0.05,0.3,0.03,0.02,0.58,screen,17
1.8,-0.28,0.06,0.16,3.2,0.06,0.32,0.03,0.02,0.63,screen,18
2.0,-0.26,0.07,0.1,3.3,0.05,0.38,0.03,0.02,0.61,screen,19
1.9,-0.26,0.06,0.12,3.2,0.05,0.37,0.03,0.02,0.63,screen,20
2.2,-0.22,0.08,0.13,3.1,0.04,0.48,0.03,0.02,0.63,screen,21
