hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.6,-0.49,0.33,7.9,4.1,0.09,0.12,0.04,0.07,0.45,screen,1
4.2,-0.23,0.28,2.0,4.3,0.08,0.1,0.04,0.06,0.44,screen,2
3.9,-0.23,0.25,-0.14,4.3,0.08,0.12,0.04,0.06,0.46,screen,3
3.9,-0.23,0.24,0.07,4.2,0.08,0.12,0.04,0.06,0.46,screen,4
3.6,-0.23,0.21,0.22,4.1,0.08,0.14,0.04,0.05,0.47,screen,5
3.8,-0.21,0.23,0.34,4.3,0.08,0.12,0.04,0.06,0.45,screen,6
3.4,-0.23,0.19,0.3,3.9,0.08,0.17,0.04,0.05,0.49,screen,7
3.1,-0.22,0.16,0.35,3.6,0.07,0.25,0.04,0.04,0.53,screen,8
2.8,-0.21,0.13,0.35,3.6,0.07,0.23,0.04,0.04,0.52,screen,9
2.5,-0.21,0.11,0.29,3.0,0.05,0.37,0.03,0.03,0.6,screen,10
2.4,-0.23,0.1,0.36,2.9,0.05,0.45,0.03,0.03,0.63,screen,11
2.5,-0.23,0.11,0.31,3.2,0.06,0.31,0.03,0.03,0.56,screen,12
2.2,-0.25,0.1,0.36,2.9,0.05,0.47,0.03,0.02,0.65,screen,13
2.5,-0.23,0.15,1.3,2.8,0.05,0.49,0.03,0.03,0.62,screen,14
3.4,-0.25,0.2,0.08,4.3,0.08,0.12,0.04,0.05,0.46,screen,15
2.6,-0.25,0.13,0.13,3.8,0.08,0.15,0.04,0.03,0.46,screen,16
3.5,-0.27,0.21,0.3,4.0,0.08,0.16,0.04,0.05,0.48,screen,17
3.6,-0.24,0.21,0.44,4.1,0.08,0.15,0.04,0.05,0.47,screen,18
3.1,-0.23,0.16,0.22,3.5,0.06,0.31,0.03,0.04,0.54,screen,19
2.6,-0.21,0.13,0.22,3.7,0.07,0.19,0.04,0.03,0.49,screen,20
2.4,-0.26,0.13,0.27,3.0,0.06,0.42,0.03,0.03,0.59,screen,21
3.3,-0.24,0.19,0.27,4.1,0.08,0.15,0.04,0.05,0.47,screen,22
2.5,-0.24,0.12,0.45,3.0,0.05,0.5,0.03,0.03,0.65,screen,23
2.2,-0.28,0.11,0.37,2.9,0.05,0.49,0.03,0.02,0.66,screen,24
3.1,-0.21,0.17,0.49,3.3,0.06,0.39,0.03,0.04,0.58,screen,25
2.5,-0.25,0.12,0.26,2.8,0.04,0.59,0.02,0.03,0.69,screen,26
2.6,-0.25,0.13,0.23,2.6,0.04,0.65,0.02,0.03,0.7,screen,27
3.3,-0.25,0.19,0.56,2.2,0.05,0.74,0.01,0.05,0.67,screen,28
2.5,-0.26,0.12,0.28,2.1,0.03,0.77,0.01,0.03,0.76,screen,29
2.4,-0.26,0.1,0.27,2.1,0.03,0.76,0.01,0.03,0.78,screen,30
2.1,-0.29,0.09,0.21,2.0,0.03,0.79,0.01,0.02,0.82,screen,31
