hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
5.0,-0.55,0.35,9.9,4.1,0.09,0.08,0.05,0.07,0.44,screen,1
4.8,-0.18,0.29,4.9,4.3,0.09,0.1,0.04,0.05,0.43,screen,2
4.3,-0.15,0.27,8.3,4.1,0.09,0.13,0.04,0.05,0.45,screen,3
4.5,-0.3,0.3,3.2,4.4,0.09,0.1,0.04,0.06,0.44,screen,4
3.9,-0.22,0.25,1.2,4.3,0.08,0.14,0.04,0.06,0.47,screen,5
3.9,-0.22,0.24,1.2,4.0,0.08,0.15,0.04,0.06,0.47,screen,6
4.0,-0.29,0.26,1.3,4.0,0.08,0.14,0.04,0.06,0.46,screen,7
3.8,-0.25,0.24,0.43,4.4,0.08,0.1,0.04,0.06,0.45,screen,8
3.6,-0.27,0.22,0.41,4.1,0.08,0.14,0.04,0.06,0.47,screen,9
3.7,-0.28,0.23,0.22,4.1,0.08,0.14,0.04,0.06,0.47,screen,10
3.5,-0.29,0.22,-0.14,3.9,0.07,0.17,0.04,0.05,0.49,screen,11
3.5,-0.28,0.22,-0.07,4.0,0.08,0.16,0.04,0.06,0.48,screen,12
3.6,-0.29,0.23,-0.14,4.1,0.08,0.14,0.04,0.06,0.46,screen,13
3.6,-0.29,0.22,0.06,4.0,0.08,0.15,0.04,0.06,0.47,screen,14
3.5,-0.3,0.21,-0.04,4.0,0.07,0.17,0.04,0.06,0.49,screen,15
3.2,-0.31,0.19,-0.24,4.0,0.08,0.16,0.04,0.05,0.47,screen,16
2.7,-0.37,0.14,-0.09,3.7,0.07,0.22,0.04,0.04,0.51,screen,17
2.7,-0.38,0.15,0.25,3.7,0.07,0.21,0.04,0.04,0.5,screen,18
2.3,-0.4,0.12,-0.08,3.7,0.07,0.18,0.04,0.03,0.5,screen,19
2.5,-0.37,0.12,-0.1,3.6,0.07,0.22,0.04,0.03,0.5,screen,20
2.8,-0.3,0.14,-0.11,3.7,0.07,0.24,0.04,0.04,0.52,screen,21
2.5,-0.36,0.14,-0.18,3.7,0.06,0.24,0.04,0.04,0.52,screen,22
2.9,-0.33,0.18,0.21,3.9,0.07,0.2,0.04,0.05,0.5,screen,23
2.9,-0.35,0.19,-0.05,4.4,0.08,0.11,0.04,0.05,0.45,screen,24
