hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.9,-0.42,0.33,3.7,4.1,0.09,0.11,0.04,0.07,0.45,screen,1
5.0,-0.49,0.32,9.2,4.2,0.09,0.09,0.05,0.06,0.44,screen,2
4.5,-0.33,0.29,3.5,4.1,0.08,0.11,0.04,0.06,0.45,screen,3
4.7,-0.34,0.3,4.1,4.0,0.08,0.13,0.04,0.06,0.44,screen,4
4.2,-0.32,0.28,3.0,4.1,0.08,0.12,0.04,0.06,0.45,screen,5
4.2,-0.27,0.27,2.4,4.2,0.08,0.1,0.04,0.06,0.44,screen,6
4.1,-0.25,0.26,1.8,4.1,0.08,0.12,0.04,0.06,0.45,screen,7
4.1,-0.22,0.27,1.1,4.4,0.08,0.11,0.04,0.06,0.45,screen,8
3.9,-0.25,0.24,1.3,4.1,0.08,0.14,0.04,0.05,0.47,screen,9
3.7,-0.24,0.23,0.33,4.2,0.08,0.11,0.04,0.06,0.45,screen,10
3.5,-0.24,0.21,0.59,4.2,0.08,0.12,0.04,0.05,0.46,screen,11
3.5,-0.23,0.21,0.5,4.1,0.08,0.13,0.04,0.05,0.46,screen,12
3.3,-0.24,0.17,0.33,4.2,0.08,0.13,0.04,0.04,0.45,screen,13
2.9,-0.26,0.13,0.31,4.0,0.07,0.17,0.04,0.04,0.48,screen,14
2.7,-0.27,0.11,0.34,3.9,0.08,0.16,0.04,0.03,0.47,screen,15
2.3,-0.31,0.09,0.38,3.9,0.07,0.15,0.04,0.03,0.47,screen,16
2.6,-0.29,0.1,0.3,4.0,0.08,0.16,0.04,0.03,0.48,screen,17
2.3,-0.33,0.08,0.41,3.5,0.06,0.31,0.03,0.02,0.56,screen,18
2.4,-0.3,0.09,0.28,3.5,0.06,0.31,0.03,0.03,0.56,screen,19
2.8,-0.28,0.14,0.25,3.3,0.06,0.39,0.03,0.04,0.56,screen,20
2.6,-0.31,0.12,0.29,2.9,0.05,0.54,0.02,0.03,0.61,screen,21
