hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.8,-0.57,0.34,6.3,4.2,0.09,0.13,0.04,0.07,0.45,screen,1
4.6,-0.34,0.31,5.5,4.2,0.09,0.09,0.05,0.06,0.44,screen,2
4.7,-0.38,0.31,5.3,4.1,0.09,0.11,0.04,0.06,0.45,screen,3
4.7,-0.31,0.3,4.5,4.3,0.09,0.09,0.05,0.06,0.44,screen,4
4.4,-0.29,0.29,4.2,4.1,0.08,0.12,0.04,0.06,0.45,screen,5
4.1,-0.21,0.25,0.42,4.5,0.08,0.11,0.04,0.06,0.44,screen,6
3.9,-0.27,0.25,1.1,4.2,0.08,0.12,0.04,0.06,0.46,screen,7
3.7,-0.24,0.2,0.31,4.2,0.08,0.12,0.04,0.05,0.46,screen,8
3.7,-0.21,0.23,0.7,4.1,0.08,0.12,0.04,0.06,0.45,screen,9
3.4,-0.24,0.17,0.37,3.8,0.07,0.17,0.04,0.05,0.48,screen,10
3.3,-0.23,0.16,0.33,4.0,0.08,0.15,0.04,0.05,0.47,screen,11
2.9,-0.24,0.12,0.31,3.5,0.06,0.27,0.04,0.03,0.54,screen,12
2.6,-0.26,0.1,0.39,3.5,0.06,0.27,0.04,0.03,0.54,screen,13
2.2,-0.28,0.08,0.34,3.4,0.06,0.24,0.04,0.02,0.57,screen,14
2.4,-0.28,0.09,0.35,3.4,0.06,0.3,0.03,0.03,0.56,screen,15
2.1,-0.3,0.08,0.41,2.9,0.04,0.52,0.02,0.02,0.67,screen,16
2.2,-0.3,0.08,0.36,2.8,0.04,0.55,0.02,0.02,0.69,screen,17
2.1,-0.3,0.07,0.4,3.0,0.05,0.41,0.03,0.02,0.62,screen,18
1.9,-0.32,0.06,0.39,2.2,0.03,0.74,0.01,0.01,0.79,screen,19
2.0,-0.3,0.07,0.38,2.8,0.04,0.57,0.02,0.02,0.7,screen,20
1.8,-0.33,0.06,0.38,2.1,0.03,0.76,0.01,0.01,0.82,screen,21
2.2,-0.28,0.07,0.38,2.1,0.03,0.73,0.01,0.02,0.78,screen,22
1.8,-0.31,0.06,0.38,1.9,0.03,0.8,0.01,0.01,0.84,screen,23
1.8,-0.3,0.06,0.33,2.2,0.03,0.75,0.01,0.01,0.81,screen,24
1.8,-0.33,0.05,0.35,1.9,0.02,0.8,0.01,0.01,0.84,screen,25
1.7,-0.34,0.05,0.36,2.0,0.02,0.77,0.01,0.01,0.83,screen,26
1.8,-0.33,0.06,0.4,2.0,0.03,0.77,0.01,0.01,0.82,screen,27
1.8,-0.33,0.06,0.38,2.0,0.03,0.78,0.01,0.01,0.82,screen,28
2.0,-0.31,0.06,0.35,2.2,0.03,0.69,0.02,0.01,0.77,screen,29
1.7,-0.39,0.05,0.37,1.7,0.02,0.81,0.01,0.01,0.84,screen,30
1.7,-0.34,0.05,0.4,1.7,0.02,0.82,0.01,0.01,0.86,screen,31
1.7,-0.38,0.05,0.39,1.7,0.02,0.82,0.01,0.01,0.86,screen,32
1.6,-0.41,0.04,0.37,1.6,0.02,0.83,0.01,0.01,0.87,screen,33
2.9,-0.24,0.14,0.6,2.0,0.04,0.77,0.01,0.03,0.71,screen,34
2.0,-0.26,0.07,0.4,1.9,0.03,0.8,0.01,0.01,0.83,screen,35
2.1,-0.27,0.07,0.41,1.7,0.03,0.83,0.01,0.02,0.84,screen,36
1.8,-0.31,0.06,0.39,1.9,0.03,0.8,0.01,0.01,0.84,screen,37
1.6,-0.36,0.05,0.3,1.7,0.02,0.83,0.01,0.01,0.87,screen,38
1.9,-0.33,0.06,0.36,1.9,0.03,0.77,0.01,0.01,0.81,screen,39
1.7,-0.38,0.05,0.29,1.6,0.02,0.83,0.01,0.01,0.86,screen,40
1.8,-0.34,0.05,0.35,1.9,0.02,0.78,0.01,0.01,0.83,screen,41
1.5,-0.43,0.04,0.27,1.6,0.02,0.84,0.01,0.01,0.88,screen,42
1.6,-0.4,0.05,0.28,1.7,0.02,0.83,0.01,0.01,0.87,screen,43
1.6,-0.4,0.04,0.29,1.6,0.02,0.84,0.01,0.01,0.88,screen,44
1.8,-0.35,0.05,0.39,1.7,0.02,0.83,0.01,0.01,0.85,screen,45
1.5,-0.4,0.04,0.26,1.7,0.02,0.82,0.01,0.01,0.87,screen,46
1.7,-0.39,0.05,0.33,1.7,0.02,0.82,0.01,0.01,0.86,screen,47
1.6,-0.39,0.05,0.27,1.7,0.02,0.81,0.01,0.01,0.86,screen,48
1.8,-0.36,0.05,0.3,1.7,0.02,0.83,0.01,0.01,0.86,screen,49
1.6,-0.4,0.04,0.31,1.7,0.02,0.81,0.01,0.01,0.86,screen,50
1.7,-0.34,0.05,0.34,1.9,0.02,0.78,0.01,0.01,0.84,refine,1
1.7,-0.37,0.05,0.33,1.7,0.02,0.81,0.01,0.01,0.86,refine,2
1.7,-0.37,0.05,0.29,1.7,0.02,0.82,0.01,0.01,0.86,refine,3
1.8,-0.37,0.05,0.29,1.7,0.02,0.83,0.01,0.01,0.86,refine,4
1.8,-0.36,0.05,0.33,2.0,0.02,0.77,0.01,0.01,0.82,refine,5
1.7,-0.38,0.05,0.27,1.8,0.02,0.81,0.01,0.01,0.86,refine,6
2.0,-0.32,0.06,0.3,2.6,0.03,0.58,0.02,0.02,0.71,refine,7
1.7,-0.37,0.05,0.25,1.8,0.02,0.81,0.01,0.01,0.85,refine,8
1.8,-0.36,0.05,0.32,1.7,0.02,0.82,0.01,0.01,0.85,refine,9
2.7,-0.27,0.12,0.44,2.8,0.04,0.55,0.02,0.03,0.65,refine,10
1.7,-0.38,0.05,0.32,1.8,0.02,0.81,0.01,0.01,0.85,refine,11
1.6,-0.4,0.05,0.35,1.6,0.02,0.84,0.01,0.01,0.87,refine,12
1.7,-0.37,0.05,0.29,1.8,0.02,0.81,0.01,0.01,0.86,refine,13
1.9,-0.35,0.06,0.33,1.8,0.03,0.8,0.01,0.01,0.84,refine,14
1.6,-0.4,0.05,0.32,1.6,0.02,0.84,0.01,0.01,0.87,refine,15
2.1,-0.32,0.07,0.37,2.0,0.03,0.77,0.01,0.02,0.8,refine,16
1.8,-0.37,0.05,0.29,1.7,0.02,0.84,0.01,0.01,0.87,refine,17
1.6,-0.38,0.05,0.31,1.8,0.02,0.82,0.01,0.01,0.86,refine,18
2.4,-0.28,0.08,0.34,1.9,0.03,0.79,0.01,0.02,0.79,refine,19
