hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
5.0,-0.46,0.34,5.6,4.3,0.09,0.08,0.05,0.07,0.44,screen,1
4.7,-0.28,0.3,5.6,4.2,0.09,0.1,0.04,0.06,0.44,screen,2
4.5,-0.28,0.3,6.4,4.5,0.09,0.09,0.05,0.06,0.43,screen,3
4.2,-0.25,0.28,4.2,4.4,0.09,0.1,0.05,0.06,0.44,screen,4
4.1,-0.24,0.27,3.3,4.5,0.09,0.09,0.05,0.06,0.43,screen,5
4.1,-0.23,0.25,4.5,5.0,0.09,0.07,0.05,0.05,0.43,screen,6
3.7,-0.22,0.21,1.5,4.1,0.08,0.12,0.04,0.05,0.45,screen,7
3.8,-0.27,0.23,0.96,4.0,0.08,0.13,0.04,0.06,0.46,screen,8
3.6,-0.28,0.19,1.4,3.8,0.07,0.18,0.04,0.05,0.48,screen,9
3.4,-0.31,0.18,0.91,4.0,0.08,0.14,0.04,0.05,0.46,screen,10
3.3,-0.3,0.17,1.3,3.9,0.07,0.17,0.04,0.04,0.48,screen,11
3.0,-0.33,0.15,0.93,4.0,0.08,0.15,0.04,0.04,0.47,screen,12
2.9,-0.32,0.14,0.8,3.8,0.07,0.18,0.04,0.04,0.49,screen,13
2.7,-0.33,0.13,0.68,3.6,0.07,0.2,0.04,0.03,0.5,screen,14
2.4,-0.35,0.11,0.81,3.6,0.07,0.21,0.04,0.03,0.52,screen,15
2.2,-0.4,0.09,0.66,3.3,0.06,0.3,0.04,0.03,0.59,screen,16
2.2,-0.4,0.1,0.62,3.2,0.06,0.29,0.04,0.03,0.59,screen,17
2.2,-0.41,0.09,0.61,3.2,0.06,0.24,0.04,0.03,0.55,screen,18
2.9,-0.35,0.16,0.55,3.3,0.06,0.25,0.04,0.04,0.53,screen,19
2.2,-0.41,0.09,0.63,3.1,0.05,0.32,0.03,0.03,0.59,screen,20
2.0,-0.43,0.07,0.67,3.2,0.06,0.28,0.04,0.02,0.6,screen,21
1.9,-0.48,0.06,0.68,2.7,0.04,0.52,0.02,0.02,0.71,screen,22
1.9,-0.48,0.07,0.65,2.7,0.04,0.55,0.02,0.02,0.72,screen,23
1.8,-0.47,0.06,0.68,2.9,0.05,0.37,0.03,0.02,0.66,screen,24
1.9,-0.48,0.07,0.72,3.1,0.05,0.34,0.03,0.02,0.64,screen,25
2.4,-0.43,0.09,0.72,3.0,0.05,0.41,0.03,0.03,0.62,screen,26
1.9,-0.46,0.07,0.77,2.4,0.03,0.66,0.02,0.02,0.77,screen,27
1.9,-0.49,0.07,0.71,2.7,0.04,0.56,0.02,0.02,0.72,screen,28
2.3,-0.41,0.1,0.6,3.3,0.06,0.28,0.04,0.03,0.56,screen,29
2.0,-0.44,0.07,0.68,3.0,0.05,0.41,0.03,0.02,0.66,screen,30
2.0,-0.47,0.08,0.69,2.9,0.04,0.5,0.02,0.02,0.69,screen,31
1.8,-0.53,0.06,0.71,2.5,0.03,0.64,0.02,0.01,0.78,screen,32
2.0,-0.47,0.08,0.62,2.3,0.03,0.72,0.01,0.02,0.8,screen,33
2.1,-0.42,0.08,0.67,3.5,0.06,0.25,0.04,0.02,0.58,screen,34
2.1,-0.44,0.09,0.68,2.5,0.03,0.64,0.02,0.02,0.74,screen,35
2.4,-0.39,0.09,0.63,2.8,0.04,0.5,0.03,0.02,0.66,screen,36
2.4,-0.39,0.1,0.68,2.6,0.04,0.55,0.02,0.02,0.69,screen,37
2.2,-0.43,0.09,0.73,2.3,0.03,0.69,0.02,0.02,0.76,screen,38
2.0,-0.48,0.08,0.69,2.4,0.03,0.67,0.02,0.02,0.77,screen,39
1.9,-0.47,0.08,0.79,2.4,0.03,0.62,0.02,0.02,0.75,screen,40
2.2,-0.42,0.1,0.83,2.7,0.04,0.52,0.02,0.02,0.68,screen,41
2.0,-0.49,0.08,0.74,2.3,0.03,0.69,0.02,0.02,0.78,screen,42
2.0,-0.48,0.08,0.77,2.5,0.03,0.64,0.02,0.02,0.77,screen,43
2.1,-0.46,0.09,0.75,3.3,0.06,0.27,0.04,0.02,0.58,screen,44
2.0,-0.44,0.08,0.61,3.7,0.07,0.19,0.04,0.02,0.55,screen,45
2.0,-0.46,0.08,0.66,2.8,0.04,0.47,0.03,0.02,0.68,screen,46
1.9,-0.46,0.08,0.75,2.3,0.03,0.7,0.02,0.02,0.79,screen,47
1.8,-0.51,0.07,0.73,2.0,0.02,0.77,0.01,0.01,0.83,screen,48
2.4,-0.42,0.1,0.64,3.8,0.07,0.16,0.04,0.03,0.5,screen,49
2.2,-0.46,0.09,0.85,2.2,0.03,0.72,0.01,0.02,0.77,screen,50
2.3,-0.44,0.09,0.79,2.5,0.03,0.64,0.02,0.02,0.74,refine,1
2.1,-0.47,0.08,0.67,2.5,0.03,0.66,0.02,0.02,0.77,refine,2
3.3,-0.37,0.17,0.65,3.8,0.07,0.19,0.04,0.04,0.49,refine,3
1.9,-0.51,0.07,0.7,2.1,0.02,0.75,0.01,0.02,0.81,refine,4
1.9,-0.51,0.07,0.68,2.3,0.03,0.71,0.01,0.02,0.8,refine,5
1.8,-0.53,0.07,0.73,2.4,0.03,0.7,0.01,0.01,0.79,refine,6
1.9,-0.53,0.07,0.71,2.2,0.02,0.75,0.01,0.02,0.82,refine,7
2.5,-0.41,0.13,0.82,2.8,0.05,0.53,0.02,0.03,0.64,refine,8
2.1,-0.46,0.08,0.71,2.2,0.03,0.72,0.01,0.02,0.8,refine,9
2.1,-0.41,0.1,1.4,2.2,0.03,0.75,0.01,0.02,0.79,refine,10
2.1,-0.45,0.09,0.76,2.4,0.03,0.72,0.01,0.02,0.78,refine,11
2.1,-0.45,0.09,1.3,2.4,0.03,0.69,0.02,0.02,0.76,refine,12
2.2,-0.39,0.1,0.98,3.7,0.07,0.17,0.04,0.03,0.52,refine,13
2.1,-0.43,0.09,0.68,3.5,0.06,0.23,0.04,0.02,0.56,refine,14
2.1,-0.43,0.09,0.66,2.7,0.04,0.58,0.02,0.02,0.72,refine,15
