hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.7,-0.43,0.34,7.7,4.7,0.09,0.07,0.05,0.07,0.43,screen,1
5.4,-0.36,0.29,15.2,3.9,0.09,0.17,0.04,0.05,0.44,screen,2
4.7,-0.51,0.31,4.3,4.1,0.08,0.14,0.04,0.06,0.45,screen,3
4.2,-0.36,0.28,3.1,4.2,0.08,0.13,0.04,0.06,0.45,screen,4
4.0,-0.33,0.26,1.5,4.0,0.08,0.15,0.04,0.06,0.47,screen,5
3.8,-0.33,0.25,0.02,4.0,0.08,0.16,0.04,0.06,0.47,screen,6
3.7,-0.33,0.24,-0.09,4.3,0.08,0.13,0.04,0.06,0.46,screen,7
3.6,-0.28,0.23,0.04,4.4,0.08,0.11,0.04,0.05,0.45,screen,8
3.6,-0.27,0.22,0.22,4.3,0.08,0.12,0.04,0.06,0.45,screen,9
3.6,-0.27,0.21,0.12,4.1,0.08,0.14,0.04,0.06,0.47,screen,10
3.4,-0.26,0.19,0.05,4.2,0.08,0.13,0.04,0.05,0.46,screen,11
3.4,-0.3,0.21,-0.07,4.2,0.08,0.14,0.04,0.05,0.47,screen,12
3.5,-0.31,0.21,-0.22,4.2,0.08,0.14,0.04,0.05,0.46,screen,13
3.2,-0.34,0.17,-0.2,3.9,0.07,0.17,0.04,0.05,0.48,screen,14
3.2,-0.36,0.15,-0.15,3.6,0.06,0.25,0.04,0.04,0.53,screen,15
2.8,-0.36,0.12,-0.12,3.5,0.06,0.29,0.04,0.03,0.55,screen,16
2.6,-0.37,0.1,-0.12,3.4,0.06,0.3,0.03,0.03,0.56,screen,17
2.3,-0.41,0.09,-0.11,3.1,0.05,0.35,0.03,0.03,0.6,screen,18
2.5,-0.38,0.1,-0.11,3.3,0.05,0.35,0.03,0.03,0.58,screen,19
2.6,-0.36,0.11,-0.1,3.5,0.06,0.24,0.04,0.03,0.52,screen,20
2.3,-0.41,0.09,-0.07,3.0,0.05,0.47,0.03,0.02,0.65,screen,21
2.2,-0.42,0.08,-0.13,2.9,0.05,0.45,0.03,0.02,0.65,screen,22
2.2,-0.44,0.09,-0.13,3.0,0.05,0.45,0.03,0.02,0.64,screen,23
2.3,-0.42,0.08,-0.13,2.6,0.04,0.62,0.02,0.02,0.71,screen,24
2.0,-0.44,0.07,-0.15,3.0,0.05,0.46,0.03,0.02,0.67,screen,25
2.0,-0.46,0.07,-0.1,2.2,0.03,0.74,0.01,0.02,0.79,screen,26
2.1,-0.45,0.07,-0.12,3.5,0.07,0.22,0.04,0.02,0.55,screen,27
2.9,-0.33,0.12,-0.11,3.2,0.05,0.45,0.03,0.04,0.61,screen,28
2.2,-0.43,0.08,-0.09,2.1,0.03,0.8,0.01,0.02,0.8,screen,29
2.2,-0.42,0.08,-0.1,2.1,0.03,0.78,0.01,0.02,0.8,screen,30
2.0,-0.45,0.07,-0.1,2.1,0.03,0.8,0.01,0.02,0.83,screen,31
2.0,-0.45,0.07,-0.1,2.4,0.03,0.7,0.01,0.01,0.79,screen,32
2.1,-0.47,0.07,-0.11,2.1,0.03,0.77,0.01,0.02,0.8,screen,33
1.9,-0.49,0.06,-0.13,1.7,0.02,0.85,0.01,0.01,0.86,screen,34
