hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.8,-0.45,0.33,8.7,4.4,0.09,0.08,0.05,0.07,0.43,screen,1
4.6,-0.29,0.31,3.4,4.6,0.09,0.08,0.05,0.06,0.43,screen,2
4.1,-0.28,0.27,1.4,4.2,0.08,0.13,0.04,0.06,0.45,screen,3
4.0,-0.31,0.26,1.6,3.9,0.08,0.15,0.04,0.06,0.47,screen,4
3.9,-0.29,0.24,0.6,4.2,0.08,0.14,0.04,0.06,0.47,screen,5
3.6,-0.3,0.21,0.57,4.3,0.08,0.12,0.04,0.05,0.46,screen,6
3.6,-0.32,0.21,0.35,4.1,0.08,0.15,0.04,0.05,0.47,screen,7
3.5,-0.31,0.21,0.17,4.2,0.08,0.12,0.04,0.05,0.45,screen,8
3.7,-0.3,0.21,0.25,4.3,0.08,0.13,0.04,0.05,0.46,screen,9
3.6,-0.28,0.2,0.29,4.0,0.08,0.16,0.04,0.05,0.47,screen,10
3.4,-0.31,0.18,0.4,3.8,0.07,0.24,0.04,0.05,0.52,screen,11
3.2,-0.32,0.18,0.56,2.8,0.05,0.58,0.02,0.04,0.66,screen,12
3.5,-0.31,0.2,0.35,4.0,0.08,0.15,0.04,0.05,0.48,screen,13
3.2,-0.31,0.18,0.21,4.1,0.08,0.14,0.04,0.05,0.47,screen,14
3.0,-0.31,0.15,0.56,2.7,0.04,0.6,0.02,0.04,0.69,screen,15
3.7,-0.29,0.23,0.82,4.2,0.08,0.13,0.04,0.06,0.45,screen,16
3.2,-0.32,0.18,0.4,3.8,0.07,0.22,0.04,0.04,0.51,screen,17
2.5,-0.34,0.11,0.41,3.5,0.06,0.27,0.04,0.03,0.54,screen,18
2.6,-0.35,0.11,0.43,3.4,0.06,0.27,0.04,0.03,0.53,screen,19
2.7,-0.34,0.12,0.48,2.6,0.04,0.59,0.02,0.03,0.69,screen,20
3.1,-0.34,0.14,0.36,3.7,0.06,0.24,0.04,0.04,0.53,screen,21
2.5,-0.37,0.13,0.41,3.1,0.05,0.43,0.03,0.03,0.61,screen,22
2.6,-0.35,0.13,0.38,2.9,0.04,0.54,0.02,0.03,0.65,screen,23
2.4,-0.38,0.13,0.4,2.4,0.04,0.68,0.02,0.02,0.73,screen,24
3.1,-0.33,0.16,0.26,4.0,0.08,0.15,0.04,0.04,0.47,screen,25
2.6,-0.37,0.15,0.44,2.7,0.04,0.6,0.02,0.03,0.67,screen,26
2.2,-0.38,0.09,0.58,2.3,0.03,0.71,0.01,0.02,0.76,screen,27
2.4,-0.35,0.1,0.56,2.4,0.03,0.68,0.02,0.02,0.75,screen,28
2.3,-0.37,0.09,0.52,2.0,0.03,0.78,0.01,0.02,0.8,screen,29
2.2,-0.41,0.09,0.57,2.0,0.03,0.78,0.01,0.02,0.82,screen,30
2.1,-0.4,0.08,0.54,1.9,0.03,0.8,0.01,0.02,0.83,screen,31
2.2,-0.39,0.09,0.47,3.3,0.06,0.28,0.04,0.02,0.59,screen,32
2.1,-0.36,0.08,0.55,2.0,0.03,0.8,0.01,0.02,0.82,screen,33
2.2,-0.38,0.08,0.47,3.3,0.05,0.31,0.03,0.02,0.6,screen,34
2.1,-0.4,0.08,0.45,2.1,0.03,0.75,0.01,0.02,0.81,screen,35
2.0,-0.42,0.07,0.51,2.2,0.03,0.74,0.01,0.02,0.81,screen,36
2.0,-0.4,0.07,0.49,1.9,0.03,0.78,0.01,0.02,0.83,screen,37
2.2,-0.36,0.09,0.5,2.2,0.03,0.72,0.01,0.02,0.78,screen,38
2.0,-0.41,0.07,0.48,2.5,0.03,0.61,0.02,0.02,0.75,screen,39
2.1,-0.42,0.08,0.49,3.3,0.05,0.34,0.03,0.02,0.62,screen,40
2.0,-0.4,0.07,0.51,1.6,0.02,0.85,0.01,0.01,0.87,screen,41
1.9,-0.43,0.07,0.48,1.9,0.02,0.79,0.01,0.01,0.84,screen,42
2.0,-0.44,0.07,0.56,2.0,0.02,0.79,0.01,0.01,0.83,screen,43
2.0,-0.43,0.07,0.47,1.8,0.02,0.82,0.01,0.02,0.85,screen,44
1.9,-0.47,0.06,0.52,1.9,0.02,0.8,0.01,0.01,0.84,screen,45
1.9,-0.42,0.07,0.53,1.8,0.02,0.82,0.01,0.01,0.86,screen,46
1.8,-0.46,0.06,0.53,1.7,0.02,0.84,0.01,0.01,0.87,screen,47
2.0,-0.43,0.07,0.54,1.8,0.02,0.81,0.01,0.01,0.84,screen,48
1.9,-0.44,0.06,0.54,1.7,0.02,0.83,0.01,0.01,0.86,screen,49
1.9,-0.45,0.06,0.47,2.3,0.03,0.69,0.02,0.01,0.8,screen,50
2.2,-0.41,0.07,0.4,2.4,0.03,0.64,0.02,0.02,0.75,refine,1
2.0,-0.43,0.07,0.46,1.9,0.02,0.78,0.01,0.01,0.83,refine,2
2.2,-0.41,0.08,0.47,2.6,0.04,0.58,0.02,0.02,0.72,refine,3
2.0,-0.41,0.08,0.45,3.2,0.05,0.36,0.03,0.02,0.64,refine,4
1.9,-0.43,0.07,0.49,2.2,0.03,0.71,0.01,0.02,0.8,refine,5
2.0,-0.43,0.08,0.5,1.8,0.02,0.82,0.01,0.02,0.84,refine,6
3.5,-0.3,0.21,0.39,4.3,0.08,0.12,0.04,0.05,0.45,refine,7
3.4,-0.31,0.21,0.64,4.2,0.08,0.12,0.04,0.05,0.46,refine,8
3.4,-0.31,0.2,0.48,4.0,0.07,0.17,0.04,0.05,0.48,refine,9
3.5,-0.31,0.21,0.7,4.0,0.08,0.17,0.04,0.05,0.48,refine,10
3.3,-0.3,0.2,0.56,4.1,0.08,0.14,0.04,0.05,0.46,refine,11
3.4,-0.3,0.23,0.54,4.0,0.08,0.14,0.04,0.05,0.47,refine,12
3.3,-0.33,0.21,0.5,4.1,0.08,0.14,0.04,0.05,0.47,refine,13
3.2,-0.34,0.2,0.59,3.9,0.07,0.18,0.04,0.05,0.48,refine,14
3.3,-0.33,0.18,0.52,2.5,0.05,0.64,0.02,0.04,0.66,refine,15
3.2,-0.31,0.19,0.5,3.8,0.07,0.17,0.04,0.05,0.49,refine,16
3.1,-0.33,0.17,0.59,3.9,0.07,0.19,0.04,0.04,0.49,refine,17
3.0,-0.32,0.18,0.56,3.9,0.07,0.18,0.04,0.04,0.48,refine,18
3.0,-0.33,0.16,0.46,3.8,0.07,0.18,0.04,0.04,0.49,refine,19
3.0,-0.33,0.17,0.6,3.9,0.07,0.17,0.04,0.04,0.48,refine,20
2.8,-0.38,0.14,0.64,3.1,0.05,0.45,0.03,0.04,0.59,refine,21
2.7,-0.38,0.14,0.61,3.5,0.06,0.3,0.03,0.04,0.53,refine,22
2.7,-0.38,0.13,0.63,3.8,0.07,0.2,0.04,0.03,0.49,refine,23
2.8,-0.35,0.16,0.6,3.9,0.07,0.15,0.04,0.04,0.47,refine,24
2.7,-0.37,0.12,0.54,3.8,0.07,0.21,0.04,0.03,0.49,refine,25
3.5,-0.3,0.22,0.57,3.8,0.08,0.16,0.04,0.05,0.48,anneal,1
2.1,-0.35,0.08,0.44,2.0,0.03,0.78,0.01,0.02,0.81,anneal,2
3.3,-0.32,0.2,0.62,3.4,0.06,0.38,0.03,0.05,0.53,anneal,3
2.1,-0.41,0.08,0.49,2.7,0.04,0.56,0.02,0.02,0.72,anneal,4
2.1,-0.4,0.08,0.53,2.2,0.03,0.76,0.01,0.02,0.8,anneal,5
2.2,-0.4,0.08,0.55,2.2,0.03,0.74,0.01,0.02,0.79,anneal,6
1.9,-0.42,0.07,0.5,1.7,0.02,0.83,0.01,0.01,0.85,anneal,7
2.5,-0.37,0.1,0.48,2.8,0.04,0.54,0.02,0.03,0.69,anneal,8
2.0,-0.43,0.07,0.49,2.5,0.03,0.61,0.02,0.02,0.75,anneal,9
2.1,-0.37,0.08,0.46,1.8,0.03,0.83,0.01,0.02,0.84,anneal,10
1.9,-0.41,0.07,0.47,2.0,0.03,0.8,0.01,0.02,0.84,anneal,11
1.9,-0.46,0.07,0.45,1.7,0.02,0.83,0.01,0.02,0.85,anneal,12
2.0,-0.45,0.08,0.49,1.7,0.02,0.84,0.01,0.02,0.85,anneal,13
2.0,-0.46,0.07,0.54,1.7,0.02,0.82,0.01,0.01,0.85,anneal,14
1.9,-0.46,0.07,0.51,1.8,0.02,0.83,0.01,0.01,0.85,anneal,15
1.9,-0.48,0.07,0.49,1.7,0.02,0.83,0.01,0.01,0.86,anneal,16
1.9,-0.46,0.07,0.53,1.6,0.02,0.84,0.01,0.01,0.87,anneal,17
1.8,-0.51,0.06,0.49,1.8,0.02,0.82,0.01,0.01,0.86,anneal,18
1.8,-0.45,0.07,0.5,1.6,0.02,0.85,0.01,0.01,0.87,anneal,19
1.8,-0.45,0.06,0.51,1.6,0.02,0.84,0.01,0.01,0.87,anneal,20
1.9,-0.48,0.07,0.46,1.6,0.02,0.83,0.01,0.01,0.86,anneal,21
1.8,-0.5,0.07,0.49,1.7,0.02,0.84,0.01,0.01,0.87,anneal,22
2.0,-0.47,0.07,0.49,1.7,0.02,0.84,0.01,0.02,0.85,anneal,23
1.8,-0.46,0.07,0.5,1.8,0.02,0.83,0.01,0.01,0.86,anneal,24
1.9,-0.43,0.07,0.49,1.7,0.02,0.84,0.01,0.01,0.86,anneal,25
1.8,-0.47,0.07,0.51,1.7,0.02,0.83,0.01,0.01,0.86,anneal,26
1.8,-0.47,0.07,0.47,1.7,0.02,0.84,0.01,0.01,0.86,anneal,27
1.9,-0.44,0.08,0.47,1.7,0.02,0.82,0.01,0.02,0.85,anneal,28
1.8,-0.48,0.07,0.48,1.8,0.02,0.83,0.01,0.01,0.86,anneal,29
2.1,-0.45,0.08,0.48,2.9,0.05,0.43,0.03,0.02,0.66,anneal,30
1.8,-0.47,0.07,0.51,1.8,0.02,0.82,0.01,0.01,0.85,anneal,31
2.0,-0.47,0.08,0.5,2.0,0.03,0.79,0.01,0.02,0.82,anneal,32
2.0,-0.48,0.08,0.52,1.9,0.03,0.77,0.01,0.02,0.81,anneal,33
1.8,-0.48,0.07,0.49,1.7,0.02,0.83,0.01,0.01,0.86,anneal,34
1.8,-0.47,0.07,0.48,1.8,0.02,0.81,0.01,0.01,0.84,anneal,35
1.8,-0.48,0.07,0.41,1.6,0.02,0.84,0.01,0.01,0.86,anneal,36
3.2,-0.34,0.18,0.21,3.9,0.07,0.17,0.04,0.05,0.49,anneal,37
1.8,-0.47,0.07,0.49,1.7,0.02,0.82,0.01,0.01,0.85,anneal,38
2.8,-0.35,0.14,0.3,3.3,0.05,0.37,0.03,0.04,0.6,anneal,39
2.8,-0.37,0.12,0.44,3.1,0.04,0.48,0.03,0.03,0.66,anneal,40
1.8,-0.48,0.06,0.43,1.9,0.02,0.8,0.01,0.01,0.85,anneal,41
1.8,-0.5,0.07,0.44,1.7,0.02,0.83,0.01,0.01,0.86,anneal,42
2.0,-0.46,0.08,0.37,3.2,0.05,0.31,0.03,0.02,0.62,anneal,43
2.3,-0.41,0.09,0.36,3.3,0.06,0.29,0.04,0.03,0.56,anneal,44
1.8,-0.48,0.07,0.44,2.0,0.02,0.79,0.01,0.01,0.83,anneal,45
1.8,-0.48,0.07,0.5,1.7,0.02,0.83,0.01,0.01,0.86,harden,1
1.9,-0.49,0.07,0.5,1.8,0.02,0.81,0.01,0.02,0.84,harden,2
1.8,-0.48,0.07,0.5,1.7,0.02,0.83,0.01,0.01,0.86,harden,3
1.8,-0.48,0.07,0.49,1.7,0.02,0.85,0.01,0.01,0.86,harden,4
1.9,-0.49,0.07,0.5,1.8,0.02,0.81,0.01,0.02,0.84,harden,5
,,,,,,0.81,,,0.84,mutate,1
,,,,,,0.86,,,0.87,mutate,2
,,,,,,0.84,,,0.84,mutate,3
,,,,,,0.22,,,0.51,mutate,4
,,,,,,0.43,,,0.57,mutate,5
,,,,,,0.84,,,0.86,mutate,6
,,,,,,0.83,,,0.85,mutate,7
,,,,,,0.13,,,0.46,mutate,8
,,,,,,0.84,,,0.86,mutate,9
,,,,,,0.2,,,0.5,mutate,10
,,,,,,0.37,,,0.6,mutate,11
,,,,,,0.84,,,0.84,mutate,12
,,,,,,0.82,,,0.84,mutate,13
,,,,,,0.84,,,0.87,mutate,14
,,,,,,0.84,,,0.86,mutate,15
