hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
5.6,-0.73,0.35,16.5,4.8,0.1,0.05,0.05,0.07,0.42,screen,1
4.7,-0.49,0.33,7.9,4.0,0.09,0.15,0.04,0.06,0.44,screen,2
4.2,-0.24,0.26,1.4,4.3,0.08,0.11,0.04,0.06,0.45,screen,3
3.7,-0.21,0.22,1.8,4.2,0.08,0.12,0.04,0.05,0.45,screen,4
3.8,-0.18,0.23,1.7,4.1,0.08,0.12,0.04,0.05,0.46,screen,5
3.6,-0.22,0.22,0.24,4.3,0.08,0.15,0.04,0.06,0.47,screen,6
3.7,-0.25,0.23,-0.09,4.1,0.08,0.15,0.04,0.06,0.47,screen,7
3.5,-0.25,0.21,-0.07,4.2,0.08,0.14,0.04,0.05,0.46,screen,8
3.4,-0.25,0.23,-0.25,4.3,0.08,0.12,0.04,0.06,0.45,screen,9
3.3,-0.25,0.22,-0.05,4.4,0.08,0.12,0.04,0.05,0.45,screen,10
3.0,-0.3,0.19,-0.04,4.0,0.08,0.14,0.04,0.05,0.46,screen,11
3.3,-0.28,0.21,-0.03,4.2,0.08,0.14,0.04,0.05,0.46,screen,12
2.9,-0.3,0.17,0.11,3.9,0.07,0.16,0.04,0.04,0.48,screen,13
3.0,-0.29,0.2,-0.04,4.1,0.08,0.13,0.04,0.05,0.45,screen,14
3.1,-0.31,0.21,0.4,3.8,0.07,0.16,0.04,0.05,0.48,screen,15
3.0,-0.31,0.2,0.62,3.6,0.07,0.29,0.04,0.04,0.53,screen,16
2.6,-0.34,0.17,0.28,3.5,0.06,0.31,0.03,0.04,0.55,screen,17
2.6,-0.32,0.15,0.22,3.9,0.07,0.19,0.04,0.04,0.49,screen,18
3.2,-0.33,0.22,-0.03,4.1,0.08,0.13,0.04,0.05,0.46,screen,19
2.7,-0.33,0.18,-0.24,4.1,0.08,0.12,0.04,0.04,0.46,screen,20
2.9,-0.28,0.17,-0.04,3.9,0.08,0.15,0.04,0.04,0.47,screen,21
2.6,-0.33,0.17,-0.13,4.1,0.08,0.14,0.04,0.04,0.46,screen,22
2.7,-0.3,0.17,-0.25,3.4,0.06,0.36,0.03,0.04,0.55,screen,23
3.2,-0.29,0.21,0.01,4.1,0.08,0.15,0.04,0.05,0.47,screen,24
2.5,-0.34,0.16,-0.15,3.7,0.07,0.19,0.04,0.04,0.5,screen,25
2.5,-0.35,0.13,-0.13,3.6,0.06,0.23,0.04,0.03,0.52,screen,26
2.5,-0.33,0.14,0.33,3.4,0.06,0.32,0.03,0.04,0.56,screen,27
2.4,-0.32,0.14,-0.15,3.6,0.06,0.22,0.04,0.03,0.5,screen,28
2.3,-0.33,0.14,0.35,3.3,0.06,0.33,0.03,0.03,0.56,screen,29
3.1,-0.28,0.19,-0.25,3.9,0.07,0.18,0.04,0.05,0.49,screen,30
2.3,-0.33,0.12,0.25,3.4,0.06,0.25,0.04,0.03,0.52,screen,31
2.3,-0.32,0.16,-0.11,3.7,0.07,0.18,0.04,0.04,0.49,screen,32
2.3,-0.34,0.13,-0.17,3.5,0.06,0.24,0.04,0.03,0.51,screen,33
2.5,-0.32,0.13,0.25,3.2,0.05,0.44,0.03,0.03,0.62,screen,34
2.2,-0.35,0.11,-0.2,3.5,0.06,0.22,0.04,0.03,0.5,screen,35
2.3,-0.36,0.12,-0.24,3.6,0.06,0.21,0.04,0.03,0.5,screen,36
2.2,-0.36,0.12,-0.11,3.7,0.06,0.22,0.04,0.03,0.51,screen,37
2.2,-0.34,0.1,-0.22,3.4,0.06,0.23,0.04,0.03,0.53,screen,38
2.6,-0.32,0.16,-0.24,3.9,0.08,0.15,0.04,0.04,0.46,screen,39
2.5,-0.33,0.16,0.52,3.3,0.06,0.37,0.03,0.03,0.57,screen,40
2.4,-0.33,0.14,-0.13,3.8,0.07,0.18,0.04,0.03,0.49,screen,41
2.3,-0.31,0.12,-0.14,3.6,0.07,0.22,0.04,0.03,0.5,screen,42
2.3,-0.33,0.11,-0.23,3.6,0.06,0.22,0.04,0.03,0.51,screen,43
2.1,-0.34,0.11,0.31,2.5,0.04,0.68,0.02,0.03,0.71,screen,44
2.0,-0.34,0.1,-0.15,3.1,0.05,0.42,0.03,0.02,0.61,screen,45
2.7,-0.29,0.17,-0.26,4.2,0.08,0.12,0.04,0.04,0.45,screen,46
2.4,-0.32,0.16,0.21,3.6,0.07,0.24,0.04,0.04,0.52,screen,47
2.4,-0.3,0.14,0.41,2.7,0.05,0.57,0.02,0.03,0.65,screen,48
2.2,-0.31,0.12,0.09,3.6,0.07,0.2,0.04,0.03,0.5,screen,49
2.4,-0.28,0.12,0.17,3.9,0.07,0.15,0.04,0.03,0.47,screen,50
3.1,-0.25,0.21,0.08,3.8,0.08,0.2,0.04,0.05,0.49,refine,1
3.7,-0.26,0.25,1.4,3.3,0.07,0.43,0.03,0.05,0.52,refine,2
3.1,-0.25,0.19,-0.14,4.0,0.08,0.15,0.04,0.05,0.47,refine,3
3.2,-0.27,0.21,1.1,3.5,0.07,0.28,0.04,0.05,0.51,refine,4
3.2,-0.24,0.2,0.52,4.0,0.08,0.14,0.04,0.05,0.46,refine,5
3.2,-0.26,0.21,0.59,3.7,0.08,0.19,0.04,0.05,0.48,refine,6
3.1,-0.27,0.19,0.88,2.7,0.05,0.62,0.02,0.04,0.63,refine,7
3.2,-0.24,0.2,0.51,3.4,0.07,0.35,0.03,0.05,0.53,refine,8
3.3,-0.27,0.22,0.32,2.5,0.06,0.66,0.02,0.05,0.6,refine,9
2.7,-0.3,0.14,0.03,2.4,0.04,0.67,0.02,0.03,0.7,refine,10
2.6,-0.3,0.13,-0.08,2.3,0.04,0.71,0.01,0.03,0.72,refine,11
2.5,-0.31,0.13,-0.14,3.3,0.06,0.3,0.04,0.03,0.55,refine,12
2.4,-0.29,0.11,0.06,2.3,0.04,0.72,0.01,0.03,0.74,refine,13
2.4,-0.31,0.12,-0.0,2.6,0.04,0.64,0.02,0.03,0.7,refine,14
2.4,-0.3,0.13,0.07,2.3,0.04,0.7,0.01,0.03,0.73,refine,15
2.7,-0.3,0.17,-0.15,3.9,0.08,0.13,0.04,0.04,0.46,refine,16
2.5,-0.31,0.11,-0.05,2.2,0.03,0.72,0.01,0.03,0.75,refine,17
2.2,-0.33,0.1,-0.05,2.2,0.03,0.75,0.01,0.02,0.77,refine,18
2.3,-0.33,0.12,-0.08,1.8,0.03,0.82,0.01,0.03,0.79,refine,19
2.4,-0.31,0.1,-0.11,3.3,0.05,0.34,0.03,0.03,0.58,refine,20
2.4,-0.33,0.11,0.02,2.1,0.03,0.74,0.01,0.03,0.76,refine,21
2.8,-0.3,0.14,-0.21,4.0,0.08,0.13,0.04,0.04,0.46,refine,22
2.5,-0.3,0.14,-0.13,3.8,0.07,0.17,0.04,0.04,0.48,refine,23
2.2,-0.33,0.1,-0.04,2.3,0.03,0.71,0.01,0.03,0.75,refine,24
2.4,-0.31,0.12,-0.23,3.5,0.07,0.21,0.04,0.03,0.51,refine,25
2.3,-0.32,0.11,-0.14,3.1,0.05,0.37,0.03,0.03,0.59,anneal,1
2.3,-0.31,0.1,-0.12,3.6,0.07,0.2,0.04,0.03,0.5,anneal,2
2.3,-0.34,0.11,-0.12,2.3,0.03,0.72,0.01,0.03,0.75,anneal,3
2.2,-0.33,0.1,-0.0,3.1,0.05,0.4,0.03,0.03,0.61,anneal,4
2.5,-0.31,0.14,-0.09,3.6,0.07,0.22,0.04,0.04,0.51,anneal,5
2.5,-0.32,0.16,-0.21,3.8,0.08,0.15,0.04,0.04,0.47,anneal,6
2.5,-0.32,0.15,-0.01,3.7,0.07,0.19,0.04,0.04,0.5,anneal,7
2.6,-0.31,0.15,-0.1,3.8,0.07,0.17,0.04,0.04,0.49,anneal,8
2.6,-0.33,0.16,-0.26,3.9,0.07,0.16,0.04,0.04,0.48,anneal,9
2.1,-0.35,0.09,-0.08,2.0,0.03,0.78,0.01,0.02,0.81,anneal,10
2.1,-0.35,0.1,-0.07,2.1,0.03,0.77,0.01,0.02,0.79,anneal,11
2.2,-0.36,0.1,-0.02,2.2,0.03,0.72,0.01,0.02,0.77,anneal,12
2.5,-0.33,0.15,-0.09,3.7,0.07,0.19,0.04,0.04,0.49,anneal,13
2.2,-0.34,0.1,-0.13,2.8,0.04,0.54,0.02,0.03,0.68,anneal,14
2.1,-0.36,0.09,-0.06,2.5,0.03,0.64,0.02,0.02,0.74,anneal,15
2.3,-0.33,0.11,-0.11,3.4,0.06,0.3,0.04,0.03,0.56,anneal,16
2.3,-0.33,0.13,0.03,3.4,0.06,0.27,0.04,0.03,0.54,anneal,17
2.2,-0.36,0.1,-0.09,2.2,0.03,0.74,0.01,0.02,0.77,anneal,18
2.3,-0.36,0.11,-0.07,2.8,0.04,0.54,0.02,0.03,0.68,anneal,19
2.3,-0.35,0.12,-0.1,3.6,0.06,0.25,0.04,0.03,0.53,anneal,20
2.1,-0.39,0.1,-0.1,2.3,0.03,0.7,0.02,0.02,0.76,anneal,21
2.3,-0.37,0.11,-0.04,2.4,0.03,0.69,0.02,0.03,0.75,anneal,22
2.1,-0.39,0.1,-0.06,2.2,0.03,0.71,0.01,0.02,0.78,anneal,23
2.3,-0.37,0.11,-0.06,2.2,0.03,0.73,0.01,0.03,0.77,anneal,24
2.2,-0.37,0.1,-0.12,3.5,0.07,0.2,0.04,0.03,0.51,anneal,25
2.2,-0.38,0.1,-0.13,3.3,0.06,0.26,0.04,0.03,0.55,anneal,26
2.6,-0.34,0.15,0.04,4.2,0.08,0.13,0.04,0.04,0.46,anneal,27
2.3,-0.38,0.13,-0.08,3.8,0.07,0.17,0.04,0.03,0.48,anneal,28
2.2,-0.44,0.12,0.07,2.0,0.03,0.77,0.01,0.02,0.78,anneal,29
2.0,-0.38,0.09,-0.07,2.0,0.03,0.76,0.01,0.02,0.8,anneal,30
2.0,-0.4,0.09,-0.05,2.2,0.03,0.73,0.01,0.02,0.79,anneal,31
3.4,-0.31,0.21,0.11,4.5,0.09,0.1,0.05,0.05,0.44,anneal,32
2.1,-0.4,0.1,0.0,2.6,0.03,0.63,0.02,0.02,0.72,anneal,33
2.3,-0.38,0.13,-0.06,3.8,0.07,0.15,0.04,0.03,0.47,anneal,34
2.4,-0.38,0.14,0.05,3.0,0.05,0.45,0.03,0.03,0.62,anneal,35
2.7,-0.33,0.15,-0.08,4.0,0.07,0.16,0.04,0.04,0.48,anneal,36
2.2,-0.38,0.11,-0.09,2.7,0.04,0.56,0.02,0.03,0.68,anneal,37
2.2,-0.41,0.12,-0.05,2.7,0.04,0.58,0.02,0.03,0.69,anneal,38
2.3,-0.42,0.14,0.11,2.7,0.04,0.59,0.02,0.03,0.68,anneal,39
