hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
5.0,-0.36,0.33,5.5,4.2,0.09,0.09,0.05,0.07,0.44,screen,1
4.4,-0.32,0.31,5.1,4.2,0.09,0.1,0.04,0.06,0.45,screen,2
4.4,-0.34,0.3,0.77,4.0,0.08,0.12,0.04,0.07,0.45,screen,3
4.4,-0.37,0.3,1.5,4.1,0.08,0.12,0.04,0.07,0.45,screen,4
4.2,-0.32,0.27,2.2,4.4,0.08,0.1,0.04,0.06,0.45,screen,5
3.9,-0.22,0.23,1.5,4.5,0.08,0.11,0.04,0.06,0.45,screen,6
4.2,-0.32,0.28,1.8,4.1,0.08,0.13,0.04,0.06,0.45,screen,7
3.8,-0.32,0.23,2.1,4.0,0.07,0.18,0.04,0.05,0.49,screen,8
3.9,-0.3,0.24,0.88,4.0,0.08,0.18,0.04,0.06,0.49,screen,9
3.6,-0.28,0.23,0.92,3.8,0.07,0.17,0.04,0.06,0.48,screen,10
3.9,-0.32,0.25,0.55,4.2,0.08,0.12,0.04,0.06,0.45,screen,11
3.3,-0.32,0.2,0.33,3.5,0.06,0.27,0.04,0.05,0.54,screen,12
3.1,-0.34,0.18,0.27,3.9,0.07,0.19,0.04,0.04,0.48,screen,13
3.0,-0.35,0.19,0.79,3.1,0.05,0.46,0.03,0.04,0.61,screen,14
3.3,-0.4,0.21,1.4,3.4,0.06,0.34,0.03,0.05,0.53,screen,15
3.7,-0.46,0.25,1.7,3.8,0.07,0.19,0.04,0.06,0.49,screen,16
3.8,-0.45,0.26,1.3,4.1,0.08,0.13,0.04,0.06,0.47,screen,17
3.2,-0.41,0.2,0.31,4.2,0.08,0.13,0.04,0.05,0.46,screen,18
3.2,-0.43,0.19,1.0,4.2,0.08,0.14,0.04,0.05,0.46,screen,19
2.9,-0.4,0.17,-0.0,4.3,0.08,0.13,0.04,0.04,0.46,screen,20
2.8,-0.44,0.16,-0.04,4.2,0.08,0.13,0.04,0.04,0.46,screen,21
3.0,-0.4,0.19,-0.06,4.3,0.08,0.12,0.04,0.05,0.45,screen,22
2.7,-0.45,0.16,0.05,4.0,0.07,0.16,0.04,0.04,0.48,screen,23
2.7,-0.45,0.17,0.08,4.1,0.08,0.14,0.04,0.04,0.47,screen,24
2.6,-0.47,0.16,-0.02,3.9,0.07,0.16,0.04,0.04,0.47,screen,25
2.7,-0.44,0.16,-0.08,4.0,0.08,0.12,0.04,0.04,0.46,screen,26
2.4,-0.52,0.13,0.03,4.0,0.08,0.12,0.04,0.03,0.46,screen,27
2.4,-0.47,0.14,0.0,3.9,0.08,0.14,0.04,0.03,0.47,screen,28
3.2,-0.39,0.22,0.03,4.1,0.08,0.13,0.04,0.05,0.46,screen,29
2.6,-0.46,0.14,-0.14,3.8,0.07,0.18,0.04,0.04,0.49,screen,30
2.5,-0.48,0.14,-0.04,4.1,0.08,0.13,0.04,0.03,0.46,screen,31
2.9,-0.44,0.18,0.22,4.1,0.08,0.13,0.04,0.05,0.47,screen,32
2.8,-0.41,0.16,0.14,3.9,0.07,0.17,0.04,0.04,0.48,screen,33
2.7,-0.45,0.14,0.16,3.7,0.07,0.19,0.04,0.04,0.5,screen,34
2.6,-0.44,0.14,0.12,3.9,0.07,0.17,0.04,0.04,0.49,screen,35
2.3,-0.51,0.12,0.21,3.7,0.07,0.2,0.04,0.03,0.5,screen,36
2.5,-0.48,0.13,0.15,3.4,0.06,0.3,0.03,0.03,0.56,screen,37
2.4,-0.51,0.12,0.24,2.7,0.04,0.53,0.02,0.03,0.68,screen,38
2.4,-0.48,0.13,0.17,3.4,0.06,0.26,0.04,0.03,0.53,screen,39
2.6,-0.45,0.13,0.12,3.3,0.06,0.29,0.04,0.04,0.55,screen,40
2.8,-0.42,0.16,0.16,3.7,0.07,0.19,0.04,0.04,0.5,screen,41
2.4,-0.51,0.12,0.13,3.3,0.06,0.28,0.04,0.03,0.55,screen,42
2.5,-0.46,0.13,0.11,3.2,0.05,0.33,0.03,0.03,0.57,screen,43
2.4,-0.49,0.12,0.01,3.3,0.06,0.31,0.03,0.04,0.56,screen,44
