campaign,scope,metric,samples,mean,std,min,max
pdl1_warm,campaign,trajectories,1,14.0,0.0,14.0,14.0
pdl1_warm,campaign,redesign_candidates,1,47.0,0.0,47.0,47.0
pdl1_warm,campaign,accepted_designs,1,4.0,0.0,4.0,4.0
pdl1_warm,campaign,terminated:completed,1,6.0,0.0,6.0,6.0
pdl1_warm,campaign,terminated:final,1,4.0,0.0,4.0,4.0
pdl1_warm,campaign,terminated:harden,1,1.0,0.0,1.0,1.0
pdl1_warm,campaign,terminated:mutate,1,2.0,0.0,2.0,2.0
pdl1_warm,campaign,terminated:refine,1,1.0,0.0,1.0,1.0
pdl1_warm,accepted,All_Atom_Clashes,4,4.8,3.0,1.0,9.0
pdl1_warm,accepted,Backbone_Clashes,4,0.0,0.0,0.0,0.0
pdl1_warm,accepted,Binder_BetaSheet_Fraction,4,0.0,0.0,0.0,0.0
pdl1_warm,accepted,Binder_Cysteines,4,0.0,0.0,0.0,0.0
pdl1_warm,accepted,Binder_Disulfides,4,0.0,0.0,0.0,0.0
pdl1_warm,accepted,Binder_Extinction,4,23090.0,12717.9,8480.0,38960.0
pdl1_warm,accepted,Binder_Free_Cysteines,4,0.0,0.0,0.0,0.0
pdl1_warm,accepted,Binder_Helix_Fraction,4,0.81,0.05,0.75,0.86
pdl1_warm,accepted,Binder_Loop_Fraction,4,0.19,0.05,0.14,0.25
pdl1_warm,accepted,Binder_Mass_kDa,4,17.4,0.28,17.0,17.8
pdl1_warm,accepted,Binder_Net_Charge,4,-10.4,5.8,-18.0,-1.9
pdl1_warm,accepted,Binder_RMSD,4,0.45,0.36,0.12,1.0
pdl1_warm,accepted,Binder_pI,4,4.8,0.59,4.3,5.8
pdl1_warm,accepted,Epitope_Residues_Contacted,4,17.8,1.9,15.0,20.0
pdl1_warm,accepted,Hotspot_Contact_Fraction,4,0.94,0.11,0.75,1.0
pdl1_warm,accepted,Interface_BetaSheet_Fraction,4,0.0,0.0,0.0,0.0
pdl1_warm,accepted,Interface_BuriedArea,4,884.0,51.2,831.2,964.6
pdl1_warm,accepted,Interface_BuriedArea_Fraction,4,0.11,0.0,0.1,0.11
pdl1_warm,accepted,Interface_Helix_Fraction,4,0.87,0.09,0.71,0.94
pdl1_warm,accepted,Interface_Hydrophobicity,4,0.48,0.06,0.44,0.59
pdl1_warm,accepted,Interface_Loop_Fraction,4,0.13,0.09,0.06,0.29
pdl1_warm,accepted,Interface_Residues,4,17.0,0.71,16.0,18.0
pdl1_warm,accepted,Off_Epitope_Contact_Fraction,4,0.01,0.03,0.0,0.06
pdl1_warm,accepted,SS_pLDDT,4,0.93,0.02,0.9,0.96
pdl1_warm,accepted,Surface_Hydrophobicity,4,0.24,0.03,0.2,0.29
pdl1_warm,accepted,Target_RMSD,4,0.33,0.01,0.31,0.34
pdl1_warm,accepted,Target_pLDDT,4,0.93,0.0,0.92,0.93
pdl1_warm,accepted,Unbound_Binder_pLDDT,4,0.92,0.04,0.88,0.97
pdl1_warm,accepted,i_pAE,4,0.21,0.02,0.19,0.24
pdl1_warm,accepted,i_pDAE,4,0.28,0.07,0.21,0.34
pdl1_warm,accepted,i_pTM,4,0.8,0.03,0.77,0.83
pdl1_warm,accepted,length,4,146.0,0.0,146.0,146.0
pdl1_warm,accepted,pLDDT,4,0.91,0.03,0.87,0.96
pdl1_warm,accepted,pTM,4,0.85,0.02,0.82,0.88
pdl1_warm,anneal,hPDL1.binder_contacts,13,2.0,0.34,1.4,2.4
pdl1_warm,anneal,hPDL1.binder_helicity,13,-0.45,0.06,-0.56,-0.35
pdl1_warm,anneal,hPDL1.binder_pae,13,0.08,0.03,0.03,0.12
pdl1_warm,anneal,hPDL1.compactness,13,0.15,0.25,-0.21,0.7
pdl1_warm,anneal,hPDL1.interface_contacts,13,2.6,0.49,1.6,3.2
pdl1_warm,anneal,hPDL1.interface_pae,13,0.04,0.01,0.02,0.05
pdl1_warm,anneal,hPDL1.iptm,13,0.58,0.13,0.4,0.82
pdl1_warm,anneal,hPDL1.iptm_loss,13,0.02,0.01,0.01,0.03
pdl1_warm,anneal,hPDL1.plddt_loss,13,0.02,0.01,0.01,0.03
pdl1_warm,anneal,hPDL1.ptm,13,0.72,0.08,0.61,0.87
pdl1_warm,candidate,All_Atom_Clashes,47,5.1,4.7,0.0,17.0
pdl1_warm,candidate,Backbone_Clashes,47,0.0,0.0,0.0,0.0
pdl1_warm,candidate,Binder_BetaSheet_Fraction,47,0.01,0.02,0.0,0.08
pdl1_warm,candidate,Binder_Cysteines,47,0.0,0.0,0.0,0.0
pdl1_warm,candidate,Binder_Disulfides,47,0.0,0.0,0.0,0.0
pdl1_warm,candidate,Binder_Extinction,47,25041.9,10056.2,8480.0,38960.0
pdl1_warm,candidate,Binder_Free_Cysteines,47,0.0,0.0,0.0,0.0
pdl1_warm,candidate,Binder_Helix_Fraction,47,0.74,0.1,0.51,0.86
pdl1_warm,candidate,Binder_Loop_Fraction,47,0.25,0.09,0.14,0.43
pdl1_warm,candidate,Binder_Mass_kDa,47,17.4,0.33,16.5,18.0
pdl1_warm,candidate,Binder_Net_Charge,47,-11.6,3.3,-18.9,-1.9
pdl1_warm,candidate,Binder_RMSD,47,1.3,2.7,0.08,11.4
pdl1_warm,candidate,Binder_pI,47,4.6,0.27,4.2,5.8
pdl1_warm,candidate,Epitope_Residues_Contacted,47,12.5,5.8,2.0,21.0
pdl1_warm,candidate,Hotspot_Contact_Fraction,47,0.72,0.34,0.0,1.0
pdl1_warm,candidate,Interface_BetaSheet_Fraction,47,0.01,0.04,0.0,0.18
pdl1_warm,candidate,Interface_BuriedArea,47,671.8,277.6,217.4,1068.3
pdl1_warm,candidate,Interface_BuriedArea_Fraction,47,0.08,0.03,0.02,0.13
pdl1_warm,candidate,Interface_Helix_Fraction,47,0.74,0.16,0.25,1.0
pdl1_warm,candidate,Interface_Hydrophobicity,47,0.53,0.19,0.0,1.0
pdl1_warm,candidate,Interface_Loop_Fraction,47,0.25,0.17,0.0,0.75
pdl1_warm,candidate,Interface_Residues,47,11.9,6.0,2.0,22.0
pdl1_warm,candidate,Off_Epitope_Contact_Fraction,47,0.02,0.05,0.0,0.25
pdl1_warm,candidate,SS_pLDDT,47,0.87,0.12,0.5,0.96
pdl1_warm,candidate,Surface_Hydrophobicity,47,0.28,0.06,0.16,0.44
pdl1_warm,candidate,Target_RMSD,47,0.31,0.02,0.28,0.35
pdl1_warm,candidate,Target_pLDDT,47,0.92,0.01,0.89,0.93
pdl1_warm,candidate,Unbound_Binder_pLDDT,47,0.87,0.11,0.49,0.97
pdl1_warm,candidate,i_pAE,47,0.54,0.24,0.19,0.86
pdl1_warm,candidate,i_pDAE,40,0.08,0.11,0.0,0.34
pdl1_warm,candidate,i_pTM,47,0.44,0.26,0.12,0.83
pdl1_warm,candidate,length,47,146.0,0.0,146.0,146.0
pdl1_warm,candidate,pLDDT,47,0.84,0.12,0.47,0.96
