1790310686 upd=0 loss= aiclk_pwr=[1350 32.0] load=25.06
1790310708 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 32.0] load=24.74
1790310729 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 35.0] load=25.76
1790310750 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 33.0] load=22.53
1790310771 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 33.0] load=20.99
1790310792 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 33.0] load=22.16
1790310813 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 32.0] load=23.81
1790310834 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 32.0] load=23.93
1790310855 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 32.0] load=23.42
1790310876 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 33.0] load=21.51
1790310898 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 32.0] load=21.81
1790310919 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 33.0] load=21.20
1790310940 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 32.0] load=22.11
1790310961 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 35.0] load=22.25
1790310982 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 32.0] load=21.39
1790311003 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 33.0] load=23.47
1790311024 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 33.0] load=25.34
1790311045 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 32.0] load=26.53
1790311066 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 32.0] load=26.17
1790311087 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 32.0] load=26.45
1790311109 upd=1 loss=28.888097763061523 aiclk_pwr=[1350 32.0] load=27.43
1790311130 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 33.0] load=28.71
1790311151 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 33.0] load=28.47
1790311172 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 32.0] load=25.91
1790311193 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 32.0] load=26.09
1790311214 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 33.0] load=26.76
1790311235 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 33.0] load=31.82
1790311257 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 33.0] load=31.81
1790311278 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 33.0] load=30.68
1790311299 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 32.0] load=30.38
1790311321 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 33.0] load=30.45
1790311342 upd=2 loss=12.99490737915039 aiclk_pwr=[1343 66.0] load=29.85
1790311363 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 35.0] load=31.72
1790311384 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 32.0] load=32.15
1790311405 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 33.0] load=31.35
1790311427 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 32.0] load=30.75
1790311448 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 33.0] load=28.50
1790311469 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 33.0] load=26.29
1790311490 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 32.0] load=25.79
1790311511 upd=2 loss=12.99490737915039 aiclk_pwr=[1350 32.0] load=27.02
1790311533 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 32.0] load=26.87
1790311554 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 32.0] load=25.81
1790311575 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 32.0] load=26.42
1790311596 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 33.0] load=26.72
1790311617 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 33.0] load=28.97
1790311638 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 32.0] load=28.77
1790311659 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 32.0] load=27.04
1790311680 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 32.0] load=24.51
1790311702 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 32.0] load=23.01
1790311723 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 33.0] load=21.65
1790311743 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 32.0] load=22.49
1790311765 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 52.0] load=21.99
1790311786 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 32.0] load=20.12
1790311808 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 32.0] load=19.99
1790311829 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 32.0] load=21.78
1790311850 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 32.0] load=23.14
1790311871 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 36.0] load=26.35
1790311892 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 32.0] load=30.28
1790311913 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 40.0] load=30.84
1790311934 upd=3 loss=11.276266098022461 aiclk_pwr=[1350 32.0] load=34.86
1790311955 upd=4 loss=9.708688735961914 aiclk_pwr=[1350 32.0] load=36.87
