hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
5.4,-0.67,0.36,12.7,4.6,0.1,0.06,0.05,0.07,0.43,screen,1
4.7,-0.25,0.28,8.2,4.2,0.09,0.1,0.05,0.05,0.45,screen,2
3.8,-0.16,0.22,4.5,4.3,0.08,0.11,0.04,0.05,0.44,screen,3
3.7,-0.19,0.24,2.4,4.6,0.09,0.1,0.05,0.05,0.45,screen,4
3.8,-0.25,0.25,0.9,4.2,0.08,0.12,0.04,0.06,0.46,screen,5
3.7,-0.22,0.24,0.61,4.2,0.08,0.13,0.04,0.06,0.46,screen,6
4.3,-0.18,0.26,4.4,4.3,0.08,0.11,0.04,0.05,0.45,screen,7
3.6,-0.21,0.24,2.4,4.1,0.08,0.15,0.04,0.05,0.47,screen,8
3.8,-0.22,0.25,0.64,4.3,0.08,0.12,0.04,0.06,0.45,screen,9
3.3,-0.21,0.21,0.69,4.3,0.08,0.13,0.04,0.05,0.45,screen,10
3.1,-0.24,0.19,0.44,4.4,0.08,0.12,0.04,0.05,0.46,screen,11
2.9,-0.23,0.16,0.46,3.8,0.07,0.18,0.04,0.04,0.48,screen,12
3.1,-0.23,0.18,0.92,4.2,0.08,0.12,0.04,0.04,0.45,screen,13
3.1,-0.22,0.17,0.51,4.1,0.08,0.13,0.04,0.05,0.46,screen,14
2.9,-0.26,0.17,0.59,3.9,0.07,0.16,0.04,0.04,0.48,screen,15
3.1,-0.26,0.18,0.7,4.1,0.08,0.14,0.04,0.04,0.46,screen,16
2.9,-0.29,0.15,0.35,4.1,0.08,0.13,0.04,0.04,0.46,screen,17
2.7,-0.31,0.13,0.82,4.1,0.08,0.14,0.04,0.04,0.45,screen,18
3.1,-0.25,0.17,0.48,3.8,0.07,0.16,0.04,0.04,0.47,screen,19
3.3,-0.26,0.19,0.16,4.2,0.08,0.12,0.04,0.05,0.45,screen,20
3.6,-0.27,0.22,0.61,4.2,0.08,0.12,0.04,0.05,0.45,screen,21
3.3,-0.27,0.19,0.12,4.2,0.08,0.11,0.04,0.05,0.45,screen,22
3.1,-0.27,0.2,4.4,4.0,0.08,0.16,0.04,0.04,0.46,screen,23
3.0,-0.31,0.16,0.34,4.0,0.07,0.15,0.04,0.04,0.47,screen,24
3.0,-0.29,0.15,0.37,3.9,0.07,0.16,0.04,0.04,0.48,screen,25
2.6,-0.32,0.11,0.26,4.1,0.08,0.14,0.04,0.03,0.46,screen,26
2.7,-0.3,0.12,0.26,3.8,0.07,0.19,0.04,0.04,0.49,screen,27
2.8,-0.31,0.17,0.4,3.6,0.07,0.22,0.04,0.04,0.51,screen,28
2.8,-0.3,0.16,0.41,3.7,0.07,0.21,0.04,0.04,0.5,screen,29
2.6,-0.35,0.14,0.33,3.5,0.06,0.27,0.04,0.03,0.52,screen,30
2.8,-0.32,0.15,0.26,3.4,0.06,0.28,0.04,0.04,0.52,screen,31
2.6,-0.34,0.12,0.19,3.0,0.05,0.41,0.03,0.03,0.61,screen,32
2.6,-0.35,0.1,0.12,3.0,0.04,0.46,0.03,0.03,0.65,screen,33
2.4,-0.36,0.09,0.04,3.4,0.06,0.33,0.03,0.03,0.59,screen,34
2.6,-0.34,0.1,0.09,3.3,0.06,0.24,0.04,0.03,0.53,screen,35
2.5,-0.36,0.1,-0.01,3.2,0.05,0.32,0.03,0.03,0.58,screen,36
2.5,-0.38,0.11,0.14,2.4,0.03,0.71,0.01,0.03,0.75,screen,37
2.7,-0.33,0.13,0.14,2.7,0.04,0.59,0.02,0.03,0.67,screen,38
2.6,-0.33,0.12,0.18,2.8,0.04,0.55,0.02,0.03,0.66,screen,39
2.5,-0.35,0.12,0.27,2.6,0.04,0.65,0.02,0.03,0.71,screen,40
2.6,-0.34,0.12,0.09,3.4,0.06,0.23,0.04,0.03,0.53,screen,41
2.5,-0.33,0.1,-0.02,3.5,0.06,0.23,0.04,0.03,0.53,screen,42
2.3,-0.36,0.09,0.13,2.8,0.04,0.5,0.02,0.02,0.68,screen,43
2.2,-0.39,0.08,0.07,2.5,0.03,0.67,0.02,0.02,0.73,screen,44
2.6,-0.35,0.1,0.16,2.4,0.03,0.67,0.02,0.03,0.74,screen,45
2.3,-0.36,0.09,0.02,2.4,0.03,0.7,0.02,0.02,0.77,screen,46
2.3,-0.37,0.09,0.02,2.3,0.03,0.7,0.01,0.02,0.77,screen,47
3.7,-0.26,0.23,0.26,4.3,0.08,0.12,0.04,0.06,0.45,screen,48
3.8,-0.29,0.24,1.1,4.1,0.08,0.12,0.04,0.06,0.45,screen,49
3.8,-0.28,0.25,0.73,4.3,0.08,0.12,0.04,0.06,0.45,screen,50
2.4,-0.35,0.1,0.06,2.2,0.03,0.74,0.01,0.02,0.78,refine,1
2.2,-0.36,0.07,0.13,2.2,0.03,0.72,0.01,0.02,0.79,refine,2
2.4,-0.33,0.08,0.09,2.3,0.03,0.72,0.01,0.02,0.8,refine,3
