hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.6,-0.83,0.25,4.6,1.5,0.06,0.34,0.03,0.05,0.5,screen,1
4.4,-0.87,0.24,4.5,1.4,0.05,0.46,0.03,0.05,0.53,screen,2
4.0,-0.97,0.21,3.1,1.2,0.05,0.6,0.02,0.04,0.6,screen,3
3.8,-1.1,0.19,1.7,1.1,0.04,0.63,0.02,0.04,0.63,screen,4
3.6,-1.2,0.17,1.7,0.95,0.04,0.7,0.02,0.04,0.67,screen,5
3.4,-1.2,0.17,1.6,0.89,0.04,0.72,0.01,0.04,0.69,screen,6
3.5,-1.2,0.17,1.6,0.89,0.04,0.7,0.01,0.04,0.67,screen,7
3.4,-1.2,0.16,1.5,0.85,0.04,0.72,0.01,0.04,0.68,screen,8
3.4,-1.2,0.16,1.5,0.83,0.04,0.73,0.01,0.04,0.69,screen,9
3.4,-1.2,0.16,1.6,0.79,0.03,0.74,0.01,0.04,0.69,screen,10
3.4,-1.2,0.16,1.6,0.82,0.03,0.73,0.01,0.04,0.7,screen,11
3.3,-1.3,0.15,1.6,0.78,0.03,0.76,0.01,0.03,0.72,screen,12
3.3,-1.3,0.15,1.6,0.79,0.03,0.75,0.01,0.03,0.72,screen,13
3.3,-1.2,0.15,1.5,0.77,0.03,0.74,0.01,0.03,0.71,screen,14
3.1,-1.3,0.14,1.6,0.68,0.03,0.77,0.01,0.03,0.74,screen,15
3.2,-1.3,0.15,1.8,0.7,0.03,0.77,0.01,0.03,0.74,screen,16
3.1,-1.3,0.14,1.6,0.68,0.03,0.78,0.01,0.03,0.75,screen,17
3.1,-1.4,0.14,1.6,0.67,0.03,0.79,0.01,0.03,0.76,screen,18
3.1,-1.3,0.14,1.8,0.64,0.03,0.81,0.01,0.03,0.76,screen,19
3.1,-1.4,0.13,1.6,0.64,0.03,0.8,0.01,0.03,0.77,screen,20
3.1,-1.4,0.13,1.7,0.65,0.03,0.8,0.01,0.03,0.77,screen,21
3.0,-1.4,0.13,1.6,0.61,0.03,0.81,0.01,0.03,0.78,screen,22
3.0,-1.4,0.13,1.6,0.68,0.03,0.81,0.01,0.03,0.78,screen,23
3.0,-1.4,0.13,1.7,0.58,0.03,0.78,0.01,0.02,0.78,screen,24
3.0,-1.4,0.13,1.6,0.61,0.03,0.76,0.01,0.03,0.77,screen,25
3.0,-1.5,0.12,1.7,0.55,0.03,0.79,0.01,0.02,0.78,screen,26
3.0,-1.4,0.13,1.7,0.55,0.03,0.79,0.01,0.03,0.78,screen,27
