hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.6,-0.74,0.26,4.3,1.6,0.06,0.29,0.04,0.05,0.47,screen,1
4.6,-0.81,0.25,4.2,1.5,0.06,0.3,0.03,0.05,0.48,screen,2
4.3,-0.86,0.24,2.5,1.3,0.06,0.4,0.03,0.05,0.5,screen,3
4.0,-0.94,0.22,2.1,1.2,0.05,0.53,0.02,0.05,0.58,screen,4
3.7,-1.0,0.19,1.8,1.1,0.04,0.62,0.02,0.04,0.63,screen,5
3.7,-1.1,0.19,1.9,1.1,0.04,0.63,0.02,0.04,0.65,screen,6
3.6,-1.1,0.18,1.7,0.97,0.04,0.66,0.02,0.04,0.65,screen,7
3.5,-1.2,0.17,1.7,0.87,0.04,0.71,0.01,0.04,0.69,screen,8
3.4,-1.3,0.17,1.7,0.82,0.04,0.74,0.01,0.04,0.71,screen,9
3.3,-1.3,0.16,1.5,0.82,0.03,0.73,0.01,0.03,0.71,screen,10
3.3,-1.3,0.16,1.7,0.83,0.03,0.75,0.01,0.04,0.71,screen,11
3.3,-1.2,0.16,1.6,0.83,0.04,0.73,0.01,0.04,0.71,screen,12
3.3,-1.3,0.16,1.6,0.82,0.03,0.75,0.01,0.03,0.71,screen,13
3.2,-1.4,0.15,1.7,0.75,0.03,0.79,0.01,0.03,0.74,screen,14
3.3,-1.3,0.16,1.7,0.78,0.03,0.77,0.01,0.03,0.73,screen,15
3.3,-1.3,0.16,1.6,0.72,0.03,0.77,0.01,0.03,0.73,screen,16
3.2,-1.3,0.16,1.6,0.72,0.03,0.77,0.01,0.04,0.73,screen,17
3.2,-1.3,0.16,1.7,0.71,0.03,0.79,0.01,0.03,0.74,screen,18
3.2,-1.4,0.15,1.6,0.7,0.03,0.8,0.01,0.03,0.74,screen,19
3.2,-1.3,0.15,1.6,0.77,0.03,0.76,0.01,0.03,0.72,screen,20
3.2,-1.3,0.16,1.7,0.64,0.03,0.76,0.01,0.04,0.73,screen,21
3.2,-1.3,0.16,1.6,0.67,0.03,0.76,0.01,0.03,0.72,screen,22
3.2,-1.3,0.16,1.6,0.64,0.03,0.77,0.01,0.03,0.72,screen,23
3.1,-1.3,0.15,1.6,0.61,0.03,0.79,0.01,0.03,0.74,screen,24
3.2,-1.3,0.15,1.5,0.66,0.03,0.76,0.01,0.03,0.71,screen,25
3.1,-1.4,0.14,1.6,0.6,0.03,0.79,0.01,0.03,0.75,screen,26
3.2,-1.3,0.16,1.6,0.64,0.03,0.77,0.01,0.03,0.72,screen,27
3.3,-1.3,0.16,1.6,0.67,0.03,0.77,0.01,0.03,0.72,screen,28
3.1,-1.4,0.14,1.5,0.63,0.03,0.77,0.01,0.03,0.74,screen,29
3.2,-1.4,0.15,1.6,0.65,0.03,0.77,0.01,0.03,0.73,screen,30
3.2,-1.3,0.15,1.6,0.64,0.03,0.76,0.01,0.03,0.73,screen,31
3.2,-1.3,0.15,1.7,0.64,0.03,0.78,0.01,0.03,0.74,screen,32
3.1,-1.4,0.15,1.6,0.63,0.03,0.79,0.01,0.03,0.73,screen,33
3.2,-1.3,0.15,1.6,0.63,0.03,0.77,0.01,0.03,0.74,screen,34
3.1,-1.4,0.14,1.6,0.6,0.03,0.79,0.01,0.03,0.75,screen,35
3.2,-1.3,0.15,1.8,0.59,0.03,0.8,0.01,0.03,0.74,screen,36
3.1,-1.4,0.15,1.7,0.59,0.03,0.8,0.01,0.03,0.74,screen,37
3.0,-1.4,0.14,1.6,0.58,0.03,0.81,0.01,0.03,0.76,screen,38
3.0,-1.4,0.14,1.5,0.61,0.03,0.8,0.01,0.03,0.75,screen,39
3.1,-1.3,0.14,1.5,0.61,0.03,0.79,0.01,0.03,0.76,screen,40
3.0,-1.3,0.14,1.5,0.66,0.03,0.8,0.01,0.03,0.76,screen,41
3.1,-1.3,0.14,1.5,0.62,0.03,0.78,0.01,0.03,0.76,screen,42
3.0,-1.4,0.14,1.5,0.66,0.03,0.8,0.01,0.03,0.76,screen,43
3.1,-1.4,0.14,1.6,0.6,0.03,0.8,0.01,0.03,0.75,screen,44
3.0,-1.4,0.14,1.6,0.6,0.03,0.8,0.01,0.03,0.76,screen,45
3.1,-1.4,0.14,1.6,0.59,0.03,0.8,0.01,0.03,0.75,screen,46
3.1,-1.4,0.14,1.5,0.6,0.03,0.78,0.01,0.03,0.75,screen,47
3.1,-1.4,0.15,1.6,0.61,0.03,0.79,0.01,0.03,0.74,screen,48
3.0,-1.4,0.14,1.5,0.65,0.03,0.79,0.01,0.03,0.76,screen,49
3.0,-1.4,0.14,1.6,0.64,0.03,0.8,0.01,0.03,0.77,screen,50
3.2,-1.3,0.15,1.7,0.67,0.03,0.78,0.01,0.03,0.75,refine,1
3.1,-1.4,0.15,1.9,0.61,0.03,0.8,0.01,0.03,0.75,refine,2
3.3,-1.3,0.16,1.9,0.69,0.03,0.78,0.01,0.03,0.74,refine,3
3.1,-1.4,0.15,1.7,0.62,0.03,0.79,0.01,0.03,0.75,refine,4
3.4,-1.3,0.16,2.2,0.63,0.03,0.76,0.01,0.03,0.73,refine,5
3.2,-1.4,0.15,1.8,0.6,0.03,0.78,0.01,0.03,0.74,refine,6
3.3,-1.4,0.16,2.0,0.65,0.03,0.79,0.01,0.03,0.74,refine,7
3.2,-1.4,0.15,1.7,0.61,0.03,0.77,0.01,0.03,0.73,refine,8
3.3,-1.3,0.16,1.8,0.67,0.03,0.73,0.01,0.04,0.72,refine,9
3.2,-1.3,0.16,1.7,0.66,0.03,0.76,0.01,0.03,0.73,refine,10
3.3,-1.3,0.16,1.9,0.65,0.04,0.75,0.01,0.03,0.72,refine,11
3.2,-1.3,0.16,1.8,0.63,0.03,0.76,0.01,0.03,0.73,refine,12
3.2,-1.3,0.16,1.8,0.64,0.03,0.76,0.01,0.03,0.73,refine,13
3.1,-1.4,0.15,1.9,0.62,0.03,0.8,0.01,0.03,0.74,refine,14
3.2,-1.4,0.16,2.1,0.61,0.03,0.79,0.01,0.03,0.74,refine,15
3.1,-1.4,0.15,1.8,0.61,0.03,0.81,0.01,0.03,0.76,refine,16
3.1,-1.4,0.15,1.9,0.61,0.03,0.81,0.01,0.03,0.75,refine,17
3.3,-1.3,0.16,1.9,0.62,0.03,0.77,0.01,0.03,0.73,refine,18
3.2,-1.3,0.16,1.8,0.62,0.03,0.76,0.01,0.04,0.73,refine,19
3.2,-1.3,0.16,1.7,0.63,0.03,0.75,0.01,0.04,0.72,refine,20
3.2,-1.3,0.16,1.7,0.64,0.03,0.77,0.01,0.03,0.73,refine,21
3.2,-1.3,0.15,1.6,0.65,0.03,0.75,0.01,0.03,0.73,refine,22
3.2,-1.4,0.15,1.8,0.64,0.03,0.77,0.01,0.03,0.74,refine,23
3.2,-1.3,0.16,1.7,0.66,0.03,0.77,0.01,0.03,0.73,refine,24
3.3,-1.3,0.16,1.8,0.62,0.03,0.76,0.01,0.04,0.72,refine,25
3.3,-1.3,0.16,1.9,0.64,0.03,0.79,0.01,0.03,0.75,anneal,1
3.2,-1.3,0.15,1.6,0.61,0.03,0.79,0.01,0.03,0.74,anneal,2
3.1,-1.4,0.15,1.6,0.6,0.03,0.79,0.01,0.03,0.75,anneal,3
3.2,-1.3,0.15,1.5,0.59,0.03,0.76,0.01,0.03,0.72,anneal,4
3.2,-1.3,0.15,1.5,0.61,0.03,0.75,0.01,0.03,0.73,anneal,5
3.0,-1.5,0.14,1.7,0.6,0.03,0.81,0.01,0.03,0.76,anneal,6
3.2,-1.3,0.15,1.6,0.6,0.03,0.78,0.01,0.03,0.75,anneal,7
3.3,-1.3,0.16,1.8,0.69,0.03,0.75,0.01,0.03,0.72,anneal,8
3.2,-1.3,0.15,1.7,0.62,0.03,0.75,0.01,0.03,0.73,anneal,9
3.2,-1.3,0.16,1.7,0.61,0.03,0.78,0.01,0.03,0.73,anneal,10
3.2,-1.3,0.16,1.7,0.65,0.03,0.74,0.01,0.03,0.72,anneal,11
3.3,-1.2,0.16,1.7,0.64,0.04,0.74,0.01,0.04,0.71,anneal,12
3.2,-1.3,0.15,1.8,0.58,0.03,0.78,0.01,0.03,0.75,anneal,13
3.1,-1.4,0.15,1.7,0.57,0.03,0.79,0.01,0.03,0.75,anneal,14
3.3,-1.3,0.16,1.8,0.62,0.03,0.76,0.01,0.03,0.74,anneal,15
3.2,-1.3,0.15,1.7,0.65,0.03,0.76,0.01,0.03,0.72,anneal,16
3.1,-1.3,0.15,1.7,0.58,0.03,0.77,0.01,0.03,0.74,anneal,17
3.1,-1.4,0.15,1.7,0.6,0.03,0.78,0.01,0.03,0.75,anneal,18
3.2,-1.3,0.15,1.8,0.63,0.03,0.76,0.01,0.03,0.74,anneal,19
3.2,-1.3,0.16,1.8,0.61,0.03,0.74,0.01,0.03,0.73,anneal,20
