hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.6,-0.86,0.29,5.2,0.66,0.07,0.37,0.03,0.06,0.34,screen,1
4.9,-0.9,0.3,5.5,0.63,0.07,0.3,0.03,0.06,0.29,screen,2
4.5,-0.93,0.29,4.2,0.58,0.07,0.44,0.03,0.06,0.37,screen,3
4.4,-0.91,0.28,3.8,0.59,0.06,0.44,0.03,0.06,0.41,screen,4
4.3,-0.86,0.28,3.7,0.59,0.07,0.4,0.03,0.06,0.38,screen,5
4.3,-0.89,0.29,4.2,0.58,0.07,0.42,0.03,0.06,0.39,screen,6
4.1,-0.88,0.28,3.4,0.56,0.06,0.44,0.03,0.06,0.4,screen,7
4.1,-0.88,0.28,2.3,0.62,0.06,0.46,0.03,0.06,0.41,screen,8
4.1,-0.86,0.28,2.5,0.58,0.06,0.42,0.03,0.06,0.38,screen,9
4.0,-0.91,0.27,2.7,0.56,0.06,0.52,0.02,0.06,0.44,screen,10
4.1,-0.87,0.28,3.2,0.58,0.06,0.49,0.03,0.06,0.42,screen,11
4.1,-0.87,0.28,2.7,0.55,0.06,0.45,0.03,0.06,0.38,screen,12
4.0,-0.87,0.27,1.4,0.51,0.06,0.47,0.03,0.06,0.39,screen,13
3.9,-0.85,0.27,1.2,0.48,0.06,0.54,0.02,0.06,0.44,screen,14
3.8,-0.84,0.26,0.95,0.48,0.06,0.53,0.02,0.06,0.45,screen,15
3.6,-0.85,0.25,0.78,0.46,0.06,0.62,0.02,0.05,0.51,screen,16
3.6,-0.88,0.25,0.59,0.48,0.06,0.6,0.02,0.05,0.5,screen,17
3.5,-0.88,0.24,0.3,0.44,0.05,0.61,0.02,0.05,0.52,screen,18
3.4,-0.9,0.24,0.31,0.41,0.05,0.66,0.02,0.05,0.56,screen,19
3.4,-0.92,0.23,0.25,0.42,0.05,0.67,0.02,0.05,0.57,screen,20
3.4,-0.95,0.23,0.25,0.44,0.05,0.66,0.02,0.05,0.57,screen,21
3.3,-0.95,0.22,0.05,0.42,0.05,0.68,0.02,0.05,0.59,screen,22
3.2,-1.0,0.22,0.14,0.4,0.05,0.73,0.01,0.04,0.61,screen,23
3.2,-1.0,0.22,0.06,0.42,0.05,0.72,0.01,0.04,0.61,screen,24
3.2,-1.0,0.22,0.05,0.43,0.05,0.69,0.02,0.04,0.62,screen,25
3.2,-1.0,0.22,-0.06,0.4,0.05,0.69,0.02,0.05,0.6,screen,26
3.3,-0.96,0.23,0.48,0.39,0.05,0.7,0.02,0.05,0.59,screen,27
3.3,-1.0,0.22,0.52,0.39,0.05,0.71,0.01,0.05,0.62,screen,28
3.3,-0.99,0.22,0.37,0.4,0.05,0.73,0.01,0.05,0.62,screen,29
3.1,-1.0,0.21,-0.07,0.39,0.05,0.74,0.01,0.05,0.63,screen,30
3.3,-0.95,0.23,0.31,0.41,0.05,0.65,0.02,0.05,0.55,screen,31
3.1,-1.0,0.21,0.14,0.4,0.05,0.74,0.01,0.05,0.63,screen,32
3.2,-0.99,0.22,0.25,0.36,0.05,0.72,0.01,0.05,0.61,screen,33
3.2,-0.98,0.22,0.05,0.38,0.05,0.69,0.02,0.05,0.61,screen,34
3.0,-1.0,0.2,-0.14,0.39,0.04,0.74,0.01,0.04,0.65,screen,35
3.2,-1.0,0.22,0.14,0.39,0.05,0.72,0.01,0.05,0.61,screen,36
3.1,-1.0,0.21,0.21,0.39,0.05,0.74,0.01,0.04,0.64,screen,37
3.1,-1.0,0.21,-0.07,0.37,0.05,0.74,0.01,0.05,0.64,screen,38
3.2,-1.0,0.22,0.38,0.38,0.05,0.74,0.01,0.05,0.63,screen,39
3.2,-0.99,0.22,-0.08,0.38,0.05,0.71,0.01,0.05,0.61,screen,40
3.2,-0.98,0.22,0.1,0.38,0.05,0.72,0.01,0.05,0.61,screen,41
3.2,-0.99,0.23,0.05,0.38,0.05,0.73,0.01,0.05,0.61,screen,42
3.2,-0.96,0.22,-0.05,0.37,0.05,0.73,0.01,0.05,0.62,screen,43
3.1,-1.0,0.21,0.1,0.36,0.05,0.77,0.01,0.04,0.65,screen,44
3.2,-1.0,0.22,0.15,0.37,0.05,0.76,0.01,0.05,0.64,screen,45
3.1,-1.0,0.22,0.03,0.37,0.05,0.77,0.01,0.05,0.65,screen,46
3.1,-1.0,0.22,0.02,0.38,0.05,0.76,0.01,0.05,0.65,screen,47
3.2,-0.98,0.23,0.14,0.34,0.05,0.74,0.01,0.05,0.63,screen,48
3.2,-1.0,0.22,0.25,0.34,0.05,0.75,0.01,0.05,0.63,screen,49
3.2,-1.0,0.22,0.21,0.41,0.05,0.75,0.01,0.05,0.63,screen,50
