hPDL1.binder_coldspot,hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
-4.6,4.3,-0.73,0.29,2.0,2.2,0.07,0.22,0.04,0.06,0.2,screen,1
-4.4,4.2,-0.74,0.28,1.5,2.1,0.07,0.28,0.04,0.06,0.26,screen,2
-4.4,4.2,-0.77,0.28,1.3,2.1,0.07,0.29,0.04,0.06,0.26,screen,3
-4.4,4.2,-0.76,0.28,1.3,2.1,0.07,0.29,0.04,0.06,0.27,screen,4
-4.3,4.1,-0.8,0.26,1.1,2.0,0.06,0.33,0.03,0.06,0.31,screen,5
-4.2,3.9,-0.83,0.26,0.91,1.9,0.06,0.38,0.03,0.06,0.36,screen,6
-4.2,3.9,-0.84,0.25,0.86,1.9,0.06,0.39,0.03,0.05,0.39,screen,7
-4.2,3.9,-0.84,0.25,0.72,1.9,0.06,0.39,0.03,0.05,0.4,screen,8
-4.2,3.9,-0.85,0.25,0.74,1.9,0.06,0.41,0.03,0.05,0.42,screen,9
-4.1,3.8,-0.85,0.25,0.68,1.9,0.06,0.43,0.03,0.05,0.41,screen,10
-4.2,3.9,-0.86,0.25,0.69,1.9,0.06,0.42,0.03,0.05,0.41,screen,11
-4.1,3.8,-0.87,0.24,0.66,1.8,0.06,0.43,0.03,0.05,0.43,screen,12
-4.1,3.8,-0.88,0.24,0.61,1.8,0.06,0.45,0.03,0.05,0.45,screen,13
-4.0,3.8,-0.88,0.24,0.71,1.8,0.06,0.43,0.03,0.05,0.44,screen,14
-4.1,3.9,-0.86,0.25,0.78,1.8,0.06,0.4,0.03,0.06,0.41,screen,15
-4.0,3.7,-0.89,0.24,0.64,1.8,0.06,0.46,0.03,0.05,0.47,screen,16
-4.0,3.7,-0.89,0.24,0.6,1.8,0.06,0.46,0.03,0.05,0.47,screen,17
-4.0,3.6,-0.9,0.24,0.69,1.8,0.06,0.47,0.03,0.05,0.49,screen,18
-4.0,3.5,-0.94,0.23,0.67,1.7,0.05,0.49,0.03,0.04,0.52,screen,19
-4.0,3.5,-0.95,0.23,0.55,1.7,0.05,0.5,0.03,0.04,0.52,screen,20
-4.0,3.6,-0.92,0.23,0.59,1.7,0.05,0.47,0.03,0.05,0.5,screen,21
-4.1,3.8,-0.87,0.24,0.67,1.8,0.06,0.42,0.03,0.05,0.43,screen,22
-4.0,3.5,-0.94,0.23,0.55,1.7,0.05,0.49,0.03,0.04,0.51,screen,23
-4.0,3.6,-0.92,0.23,0.62,1.7,0.05,0.47,0.03,0.05,0.49,screen,24
-4.0,3.5,-0.94,0.23,0.58,1.7,0.05,0.49,0.03,0.04,0.51,screen,25
-4.0,3.6,-0.92,0.23,0.62,1.7,0.05,0.47,0.03,0.05,0.49,screen,26
-4.0,3.6,-0.9,0.23,0.64,1.7,0.06,0.46,0.03,0.05,0.47,screen,27
-4.0,3.6,-0.9,0.23,0.63,1.8,0.06,0.46,0.03,0.05,0.49,screen,28
-4.0,3.8,-0.87,0.24,0.67,1.8,0.06,0.43,0.03,0.05,0.43,screen,29
-4.0,3.6,-0.91,0.23,0.56,1.7,0.05,0.47,0.03,0.05,0.48,screen,30
-4.0,3.7,-0.89,0.24,0.64,1.8,0.06,0.46,0.03,0.05,0.47,screen,31
-4.0,3.7,-0.88,0.24,0.55,1.8,0.06,0.45,0.03,0.05,0.47,screen,32
-4.0,3.6,-0.91,0.23,0.56,1.7,0.05,0.48,0.03,0.05,0.49,screen,33
-4.0,3.6,-0.9,0.23,0.55,1.8,0.05,0.47,0.03,0.05,0.48,screen,34
-4.0,3.6,-0.91,0.23,0.6,1.8,0.05,0.47,0.03,0.05,0.49,screen,35
-4.0,3.7,-0.88,0.24,0.63,1.8,0.06,0.47,0.03,0.05,0.47,screen,36
-4.0,3.6,-0.89,0.23,0.7,1.8,0.05,0.47,0.03,0.05,0.49,screen,37
-4.0,3.6,-0.9,0.23,0.7,1.7,0.06,0.47,0.03,0.05,0.48,screen,38
-4.1,3.8,-0.87,0.24,0.76,1.8,0.06,0.46,0.03,0.05,0.46,screen,39
-4.0,3.7,-0.89,0.24,0.56,1.7,0.06,0.45,0.03,0.05,0.46,screen,40
-4.1,3.7,-0.87,0.24,0.63,1.8,0.06,0.46,0.03,0.05,0.46,screen,41
-4.0,3.7,-0.87,0.24,0.63,1.8,0.06,0.46,0.03,0.05,0.46,screen,42
-4.0,3.6,-0.9,0.23,0.58,1.8,0.05,0.48,0.03,0.05,0.49,screen,43
-4.0,3.7,-0.89,0.24,0.57,1.8,0.06,0.46,0.03,0.05,0.46,screen,44
-4.0,3.7,-0.89,0.23,0.64,1.8,0.06,0.47,0.03,0.05,0.48,screen,45
-4.0,3.8,-0.87,0.24,0.61,1.8,0.06,0.44,0.03,0.05,0.44,screen,46
-4.0,3.7,-0.89,0.23,0.63,1.8,0.06,0.46,0.03,0.05,0.48,screen,47
-4.0,3.7,-0.89,0.24,0.56,1.8,0.06,0.46,0.03,0.05,0.47,screen,48
-4.1,3.7,-0.89,0.24,0.71,1.8,0.06,0.45,0.03,0.05,0.47,screen,49
-4.1,3.9,-0.83,0.25,0.76,1.9,0.06,0.39,0.03,0.06,0.38,screen,50
