hPDL1.binder_coldspot,hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
-4.5,4.3,-0.76,0.27,1.1,1.6,0.07,0.3,0.04,0.06,0.28,screen,1
-4.3,3.9,-0.88,0.25,0.67,1.5,0.06,0.42,0.03,0.05,0.42,screen,2
-4.4,4.0,-0.89,0.25,0.7,1.4,0.06,0.41,0.03,0.05,0.4,screen,3
-4.4,3.9,-0.9,0.25,0.6,1.4,0.06,0.42,0.03,0.05,0.4,screen,4
-4.2,3.8,-0.94,0.24,0.53,1.3,0.05,0.45,0.03,0.05,0.47,screen,5
-4.2,3.7,-0.93,0.23,0.51,1.3,0.05,0.46,0.03,0.05,0.47,screen,6
-4.3,3.7,-0.94,0.23,0.49,1.3,0.05,0.47,0.03,0.05,0.47,screen,7
-4.3,3.7,-0.95,0.23,0.48,1.3,0.05,0.47,0.03,0.05,0.49,screen,8
-4.3,3.7,-0.94,0.23,0.45,1.3,0.05,0.48,0.03,0.05,0.49,screen,9
-4.3,3.6,-0.94,0.23,0.44,1.3,0.05,0.48,0.03,0.05,0.5,screen,10
-4.2,3.6,-0.94,0.23,0.5,1.3,0.05,0.48,0.03,0.05,0.5,screen,11
-4.2,3.6,-0.95,0.23,0.47,1.3,0.05,0.49,0.03,0.05,0.51,screen,12
-4.2,3.7,-0.93,0.23,0.49,1.3,0.05,0.47,0.03,0.05,0.5,screen,13
-4.3,3.7,-0.94,0.23,0.49,1.3,0.05,0.48,0.03,0.05,0.5,screen,14
-4.3,3.7,-0.94,0.23,0.46,1.3,0.05,0.47,0.03,0.05,0.48,screen,15
-4.2,3.6,-0.94,0.23,0.41,1.2,0.05,0.49,0.03,0.05,0.48,screen,16
-4.2,3.6,-0.95,0.23,0.38,1.2,0.05,0.48,0.03,0.05,0.49,screen,17
-4.2,3.6,-0.95,0.23,0.39,1.2,0.05,0.48,0.03,0.05,0.49,screen,18
-4.2,3.5,-0.96,0.22,0.38,1.2,0.05,0.51,0.02,0.04,0.51,screen,19
-4.2,3.6,-0.95,0.22,0.39,1.2,0.05,0.5,0.02,0.05,0.51,screen,20
-4.2,3.6,-0.96,0.22,0.4,1.2,0.05,0.51,0.02,0.05,0.51,screen,21
-4.2,3.6,-0.95,0.22,0.37,1.2,0.05,0.5,0.02,0.05,0.5,screen,22
-4.1,3.6,-0.96,0.22,0.41,1.2,0.05,0.51,0.02,0.05,0.51,screen,23
-4.2,3.6,-0.94,0.23,0.38,1.2,0.05,0.48,0.03,0.05,0.49,screen,24
-4.2,3.6,-0.95,0.23,0.4,1.2,0.05,0.49,0.03,0.05,0.5,screen,25
-4.2,3.5,-0.97,0.22,0.38,1.1,0.05,0.52,0.02,0.04,0.53,screen,26
-4.2,3.5,-0.98,0.22,0.4,1.2,0.05,0.52,0.02,0.04,0.52,screen,27
-4.2,3.5,-0.98,0.22,0.37,1.1,0.05,0.52,0.02,0.04,0.52,screen,28
-4.2,3.6,-0.97,0.22,0.36,1.1,0.05,0.5,0.02,0.05,0.51,screen,29
-4.2,3.7,-0.93,0.23,0.47,1.1,0.05,0.45,0.03,0.05,0.45,screen,30
-4.2,3.7,-0.93,0.23,0.46,1.1,0.05,0.45,0.03,0.05,0.46,screen,31
-4.2,3.7,-0.92,0.24,0.5,1.1,0.06,0.45,0.03,0.05,0.44,screen,32
-4.2,3.7,-0.93,0.23,0.39,1.2,0.05,0.46,0.03,0.05,0.46,screen,33
-4.2,3.8,-0.91,0.24,0.49,1.1,0.06,0.43,0.03,0.05,0.44,screen,34
-4.2,3.7,-0.92,0.23,0.41,1.2,0.05,0.46,0.03,0.05,0.47,screen,35
-4.1,3.7,-0.91,0.24,0.46,1.1,0.06,0.43,0.03,0.05,0.45,screen,36
-4.2,3.8,-0.91,0.24,0.39,1.2,0.06,0.44,0.03,0.05,0.46,screen,37
-4.1,3.8,-0.91,0.24,0.45,1.1,0.06,0.44,0.03,0.05,0.46,screen,38
-4.1,3.7,-0.93,0.23,0.38,1.1,0.05,0.48,0.03,0.05,0.49,screen,39
-4.2,3.7,-0.94,0.23,0.4,1.1,0.05,0.46,0.03,0.05,0.48,screen,40
-4.1,3.7,-0.93,0.23,0.39,1.1,0.05,0.47,0.03,0.05,0.48,screen,41
-4.2,3.7,-0.92,0.24,0.42,1.1,0.05,0.46,0.03,0.05,0.47,screen,42
-4.2,3.7,-0.92,0.23,0.41,1.1,0.05,0.47,0.03,0.05,0.48,screen,43
-4.2,3.7,-0.93,0.23,0.4,1.1,0.05,0.47,0.03,0.05,0.48,screen,44
-4.2,3.7,-0.93,0.23,0.4,1.1,0.05,0.46,0.03,0.05,0.47,screen,45
-4.2,3.7,-0.93,0.23,0.45,1.2,0.05,0.47,0.03,0.05,0.48,screen,46
-4.2,3.7,-0.91,0.24,0.42,1.2,0.05,0.45,0.03,0.05,0.46,screen,47
-4.1,3.7,-0.92,0.23,0.38,1.2,0.05,0.48,0.03,0.05,0.49,screen,48
-4.2,3.8,-0.9,0.24,0.39,1.2,0.06,0.44,0.03,0.05,0.45,screen,49
-4.2,3.7,-0.92,0.23,0.38,1.2,0.05,0.49,0.03,0.05,0.5,screen,50
