hPDL1.binder_coldspot,hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
-5.1,0.28,-0.68,0.3,7.1,1.7,0.08,0.18,0.04,0.06,0.17,screen,1
-5.1,0.27,-0.71,0.31,6.3,1.7,0.08,0.18,0.04,0.06,0.17,screen,2
-5.2,0.27,-0.69,0.31,6.2,1.7,0.08,0.18,0.04,0.06,0.17,screen,3
-5.0,0.25,-0.72,0.3,6.4,1.7,0.07,0.18,0.04,0.06,0.18,screen,4
-4.8,0.23,-0.71,0.3,6.0,1.7,0.07,0.19,0.04,0.06,0.19,screen,5
-4.9,0.24,-0.71,0.3,5.6,1.7,0.07,0.18,0.04,0.06,0.18,screen,6
-4.9,0.24,-0.7,0.3,5.6,1.7,0.07,0.18,0.04,0.06,0.18,screen,7
-4.9,0.24,-0.71,0.3,5.3,1.6,0.07,0.18,0.04,0.06,0.18,screen,8
-4.8,0.24,-0.71,0.3,5.9,1.7,0.07,0.18,0.04,0.06,0.19,screen,9
-4.8,0.25,-0.69,0.3,5.7,1.6,0.07,0.18,0.04,0.06,0.18,screen,10
-4.8,0.24,-0.69,0.3,5.5,1.6,0.07,0.18,0.04,0.06,0.18,screen,11
-4.9,0.24,-0.7,0.3,5.9,1.6,0.07,0.18,0.04,0.06,0.19,screen,12
-4.9,0.24,-0.7,0.3,5.4,1.7,0.07,0.18,0.04,0.06,0.18,screen,13
-4.9,0.26,-0.69,0.3,5.8,1.7,0.07,0.18,0.04,0.06,0.17,screen,14
-4.9,0.26,-0.68,0.3,6.3,1.7,0.07,0.18,0.04,0.06,0.17,screen,15
-4.9,0.26,-0.67,0.3,6.3,1.7,0.07,0.17,0.04,0.06,0.17,screen,16
-4.8,0.26,-0.68,0.3,6.3,1.7,0.07,0.18,0.04,0.06,0.17,screen,17
-4.8,0.26,-0.69,0.3,6.2,1.7,0.07,0.18,0.04,0.06,0.17,screen,18
-4.8,0.26,-0.68,0.3,6.1,1.7,0.07,0.18,0.04,0.06,0.17,screen,19
-4.9,0.26,-0.68,0.3,5.9,1.7,0.07,0.18,0.04,0.06,0.17,screen,20
-4.9,0.26,-0.68,0.3,5.7,1.7,0.07,0.18,0.04,0.06,0.17,screen,21
-4.8,0.26,-0.66,0.3,5.6,1.7,0.07,0.18,0.04,0.06,0.17,screen,22
-4.8,0.26,-0.67,0.3,5.2,1.7,0.07,0.18,0.04,0.06,0.17,screen,23
-4.9,0.26,-0.67,0.3,6.4,1.7,0.07,0.18,0.04,0.06,0.17,screen,24
-4.8,0.26,-0.67,0.3,5.5,1.7,0.07,0.18,0.04,0.06,0.17,screen,25
-4.8,0.26,-0.68,0.3,5.4,1.7,0.07,0.18,0.04,0.06,0.17,screen,26
-4.9,0.26,-0.67,0.3,6.3,1.7,0.07,0.18,0.04,0.06,0.17,screen,27
-4.9,0.26,-0.68,0.3,5.8,1.7,0.07,0.18,0.04,0.06,0.17,screen,28
-4.8,0.26,-0.68,0.3,6.4,1.7,0.07,0.17,0.04,0.06,0.17,screen,29
-4.8,0.26,-0.67,0.3,5.2,1.7,0.07,0.18,0.04,0.06,0.17,screen,30
-4.9,0.26,-0.68,0.3,6.0,1.7,0.07,0.18,0.04,0.06,0.17,screen,31
-4.8,0.27,-0.68,0.3,6.0,1.7,0.07,0.18,0.04,0.06,0.17,screen,32
-4.8,0.26,-0.67,0.3,6.2,1.7,0.07,0.18,0.04,0.06,0.17,screen,33
-4.8,0.26,-0.67,0.3,5.5,1.7,0.07,0.18,0.04,0.06,0.17,screen,34
-4.8,0.26,-0.68,0.3,5.4,1.7,0.07,0.18,0.04,0.06,0.17,screen,35
-4.8,0.26,-0.67,0.3,5.8,1.7,0.07,0.18,0.04,0.06,0.17,screen,36
-4.8,0.26,-0.68,0.3,5.3,1.7,0.07,0.18,0.04,0.06,0.17,screen,37
-4.8,0.26,-0.67,0.3,6.0,1.7,0.07,0.18,0.04,0.06,0.17,screen,38
-4.8,0.26,-0.67,0.3,5.1,1.7,0.07,0.18,0.04,0.06,0.17,screen,39
-4.8,0.26,-0.67,0.3,5.8,1.7,0.07,0.18,0.04,0.06,0.17,screen,40
-4.8,0.26,-0.68,0.3,5.8,1.7,0.07,0.18,0.04,0.06,0.17,screen,41
-4.8,0.26,-0.67,0.3,6.7,1.7,0.07,0.17,0.04,0.06,0.17,screen,42
-4.8,0.26,-0.69,0.3,5.5,1.7,0.07,0.18,0.04,0.06,0.17,screen,43
-4.9,0.26,-0.7,0.3,5.6,1.7,0.07,0.18,0.04,0.06,0.17,screen,44
-4.9,0.26,-0.72,0.3,5.1,1.7,0.07,0.18,0.04,0.06,0.18,screen,45
-4.9,0.26,-0.7,0.3,5.9,1.7,0.07,0.18,0.04,0.06,0.17,screen,46
-4.9,0.27,-0.7,0.3,5.9,1.7,0.07,0.18,0.04,0.06,0.17,screen,47
-4.9,0.27,-0.7,0.3,6.1,1.7,0.07,0.18,0.04,0.06,0.17,screen,48
-4.8,0.26,-0.71,0.3,5.5,1.7,0.07,0.18,0.04,0.06,0.18,screen,49
-4.8,0.25,-0.71,0.3,5.6,1.7,0.07,0.18,0.04,0.06,0.18,screen,50
