campaign,scope,metric,samples,mean,std,min,max
device_vhh_301efdd_seed0,campaign,trajectories,1,3.0,0.0,3.0,3.0
device_vhh_301efdd_seed0,campaign,redesign_candidates,1,0.0,0.0,0.0,0.0
device_vhh_301efdd_seed0,campaign,accepted_designs,1,0.0,0.0,0.0,0.0
device_vhh_301efdd_seed0,campaign,terminated:screen,1,3.0,0.0,3.0,3.0
device_vhh_301efdd_seed0,final,length,3,129.0,4.3,123.0,133.0
device_vhh_301efdd_seed0,final,trajectory,3,2.0,0.82,1.0,3.0
device_vhh_301efdd_seed0,screen,hPDL1.binder_coldspot,3,-4.4,0.34,-4.9,-4.1
device_vhh_301efdd_seed0,screen,hPDL1.binder_contacts,3,2.6,1.6,0.26,3.8
device_vhh_301efdd_seed0,screen,hPDL1.binder_helicity,3,-0.83,0.1,-0.93,-0.69
device_vhh_301efdd_seed0,screen,hPDL1.binder_pae,3,0.26,0.03,0.23,0.3
device_vhh_301efdd_seed0,screen,hPDL1.compactness,3,2.3,2.5,0.45,5.8
device_vhh_301efdd_seed0,screen,hPDL1.interface_contacts,3,1.6,0.26,1.2,1.8
device_vhh_301efdd_seed0,screen,hPDL1.interface_pae,3,0.06,0.01,0.05,0.07
device_vhh_301efdd_seed0,screen,hPDL1.iptm,3,0.36,0.13,0.18,0.47
device_vhh_301efdd_seed0,screen,hPDL1.iptm_loss,3,0.03,0.0,0.03,0.04
device_vhh_301efdd_seed0,screen,hPDL1.plddt_loss,3,0.05,0.0,0.05,0.06
device_vhh_301efdd_seed0,screen,hPDL1.ptm,3,0.36,0.14,0.17,0.48
device_vhh_301efdd_seed0,trajectory,hPDL1.binder_coldspot,3,-4.4,0.34,-4.9,-4.1
device_vhh_301efdd_seed0,trajectory,hPDL1.binder_contacts,3,2.6,1.6,0.26,3.8
device_vhh_301efdd_seed0,trajectory,hPDL1.binder_helicity,3,-0.83,0.1,-0.93,-0.69
device_vhh_301efdd_seed0,trajectory,hPDL1.binder_pae,3,0.26,0.03,0.23,0.3
device_vhh_301efdd_seed0,trajectory,hPDL1.compactness,3,2.3,2.5,0.45,5.8
device_vhh_301efdd_seed0,trajectory,hPDL1.interface_contacts,3,1.6,0.26,1.2,1.8
device_vhh_301efdd_seed0,trajectory,hPDL1.interface_pae,3,0.06,0.01,0.05,0.07
device_vhh_301efdd_seed0,trajectory,hPDL1.iptm,3,0.36,0.13,0.18,0.47
device_vhh_301efdd_seed0,trajectory,hPDL1.iptm_loss,3,0.03,0.0,0.03,0.04
device_vhh_301efdd_seed0,trajectory,hPDL1.plddt_loss,3,0.05,0.0,0.05,0.06
device_vhh_301efdd_seed0,trajectory,hPDL1.ptm,3,0.36,0.14,0.17,0.48
