hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.6,-0.55,0.32,4.6,4.1,0.08,0.11,0.04,0.07,0.5,screen,1
4.4,-0.37,0.29,1.3,4.0,0.08,0.14,0.04,0.07,0.52,screen,2
3.7,-0.22,0.2,0.14,4.0,0.07,0.16,0.04,0.06,0.53,screen,3
3.6,-0.15,0.17,0.33,3.9,0.07,0.15,0.04,0.05,0.52,screen,4
3.4,-0.17,0.15,0.15,3.9,0.07,0.15,0.04,0.05,0.52,screen,5
3.2,-0.21,0.13,0.24,3.8,0.07,0.18,0.04,0.04,0.54,screen,6
3.0,-0.23,0.13,0.26,3.9,0.07,0.15,0.04,0.04,0.52,screen,7
2.8,-0.29,0.14,0.25,3.7,0.06,0.22,0.04,0.04,0.56,screen,8
2.5,-0.27,0.09,0.33,3.3,0.05,0.37,0.03,0.03,0.64,screen,9
2.1,-0.32,0.07,0.44,2.7,0.03,0.63,0.02,0.02,0.75,screen,10
1.9,-0.38,0.05,0.34,2.1,0.02,0.77,0.01,0.01,0.82,screen,11
2.1,-0.27,0.07,0.44,2.9,0.04,0.46,0.03,0.02,0.67,screen,12
3.2,-0.27,0.14,0.45,2.7,0.04,0.62,0.02,0.04,0.69,screen,13
2.6,-0.27,0.09,0.48,2.1,0.03,0.76,0.01,0.02,0.8,screen,14
1.9,-0.35,0.06,0.48,1.8,0.02,0.82,0.01,0.01,0.86,screen,15
2.0,-0.33,0.06,0.49,1.9,0.02,0.79,0.01,0.01,0.84,screen,16
1.7,-0.37,0.05,0.52,1.6,0.02,0.84,0.01,0.01,0.88,screen,17
1.7,-0.36,0.05,0.51,1.8,0.02,0.82,0.01,0.01,0.86,screen,18
1.6,-0.4,0.05,0.53,1.6,0.02,0.85,0.01,0.01,0.87,screen,19
1.7,-0.36,0.05,0.49,2.4,0.03,0.65,0.02,0.01,0.77,screen,20
1.7,-0.37,0.05,0.47,1.7,0.02,0.84,0.01,0.01,0.87,screen,21
1.5,-0.42,0.04,0.48,1.5,0.02,0.86,0.01,0.01,0.88,screen,22
1.5,-0.43,0.04,0.48,1.5,0.02,0.87,0.01,0.01,0.89,screen,23
1.5,-0.43,0.04,0.45,1.7,0.02,0.85,0.01,0.01,0.88,screen,24
1.5,-0.4,0.04,0.51,1.7,0.02,0.83,0.01,0.01,0.87,screen,25
1.4,-0.44,0.04,0.49,1.6,0.02,0.86,0.01,0.01,0.88,screen,26
1.6,-0.43,0.04,0.49,1.8,0.02,0.81,0.01,0.01,0.86,screen,27
2.4,-0.29,0.09,0.37,3.7,0.07,0.18,0.04,0.03,0.54,screen,28
2.2,-0.3,0.08,0.37,3.6,0.06,0.24,0.04,0.02,0.57,screen,29
2.0,-0.36,0.06,0.4,2.3,0.03,0.72,0.01,0.02,0.8,screen,30
2.8,-0.27,0.12,0.32,3.8,0.07,0.19,0.04,0.04,0.54,screen,31
2.8,-0.28,0.13,0.3,3.7,0.07,0.21,0.04,0.04,0.55,screen,32
2.6,-0.3,0.11,0.48,3.4,0.06,0.27,0.04,0.03,0.58,screen,33
2.5,-0.3,0.1,0.48,3.8,0.07,0.15,0.04,0.03,0.52,screen,34
2.3,-0.31,0.08,0.46,3.7,0.07,0.17,0.04,0.03,0.53,screen,35
2.4,-0.3,0.1,0.43,3.6,0.06,0.23,0.04,0.03,0.56,screen,36
2.2,-0.32,0.08,0.45,3.6,0.06,0.2,0.04,0.02,0.55,screen,37
2.8,-0.29,0.12,0.23,3.7,0.07,0.19,0.04,0.04,0.54,screen,38
2.4,-0.29,0.08,0.39,3.6,0.06,0.23,0.04,0.03,0.56,screen,39
2.0,-0.33,0.07,0.43,3.5,0.06,0.24,0.04,0.02,0.56,screen,40
2.2,-0.28,0.07,0.41,3.5,0.05,0.28,0.04,0.02,0.59,screen,41
1.9,-0.33,0.06,0.48,3.6,0.06,0.24,0.04,0.02,0.55,screen,42
2.0,-0.33,0.07,0.43,3.4,0.05,0.31,0.03,0.02,0.6,screen,43
2.1,-0.31,0.07,0.44,3.5,0.06,0.23,0.04,0.02,0.56,screen,44
2.5,-0.3,0.11,0.51,3.6,0.06,0.22,0.04,0.03,0.56,screen,45
2.0,-0.33,0.06,0.48,3.6,0.06,0.24,0.04,0.02,0.56,screen,46
2.8,-0.26,0.11,0.29,3.8,0.07,0.18,0.04,0.04,0.54,screen,47
2.9,-0.25,0.12,0.34,3.9,0.07,0.19,0.04,0.04,0.54,screen,48
2.2,-0.28,0.07,0.35,3.6,0.06,0.2,0.04,0.02,0.55,screen,49
2.0,-0.29,0.06,0.43,3.5,0.06,0.22,0.04,0.02,0.55,screen,50
2.8,-0.2,0.11,0.43,4.1,0.08,0.13,0.04,0.04,0.51,refine,1
3.9,-0.2,0.23,1.7,4.1,0.08,0.12,0.04,0.05,0.51,refine,2
