hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.5,-0.46,0.34,4.9,4.3,0.09,0.1,0.05,0.07,0.42,screen,1
4.7,-0.24,0.3,6.0,4.2,0.09,0.11,0.04,0.06,0.42,screen,2
4.4,-0.34,0.31,3.9,4.2,0.09,0.12,0.04,0.07,0.42,screen,3
4.2,-0.33,0.29,2.3,4.4,0.09,0.11,0.04,0.07,0.42,screen,4
3.7,-0.27,0.23,0.44,4.0,0.08,0.18,0.04,0.06,0.47,screen,5
3.5,-0.28,0.22,0.26,4.0,0.08,0.17,0.04,0.05,0.46,screen,6
3.5,-0.26,0.2,-0.01,4.1,0.08,0.14,0.04,0.05,0.44,screen,7
3.1,-0.3,0.17,0.19,4.1,0.08,0.17,0.04,0.04,0.46,screen,8
2.8,-0.31,0.14,0.12,3.8,0.07,0.2,0.04,0.04,0.47,screen,9
2.8,-0.3,0.13,0.04,4.1,0.08,0.15,0.04,0.04,0.46,screen,10
2.7,-0.31,0.12,0.15,3.5,0.06,0.3,0.03,0.03,0.53,screen,11
2.4,-0.33,0.1,0.08,3.4,0.06,0.26,0.04,0.03,0.54,screen,12
2.9,-0.29,0.14,-0.02,3.7,0.07,0.25,0.04,0.04,0.5,screen,13
3.0,-0.31,0.16,-0.07,3.8,0.07,0.18,0.04,0.04,0.47,screen,14
2.8,-0.28,0.14,-0.07,3.8,0.07,0.18,0.04,0.04,0.46,screen,15
2.5,-0.32,0.11,-0.04,3.7,0.07,0.22,0.04,0.03,0.54,screen,16
2.4,-0.32,0.1,-0.03,3.5,0.06,0.29,0.04,0.03,0.56,screen,17
2.3,-0.34,0.08,0.04,3.2,0.05,0.4,0.03,0.02,0.62,screen,18
2.0,-0.38,0.07,0.05,2.8,0.03,0.61,0.02,0.02,0.77,screen,19
2.0,-0.38,0.07,0.08,3.4,0.05,0.31,0.03,0.02,0.65,screen,20
2.1,-0.37,0.07,0.07,3.6,0.07,0.2,0.04,0.02,0.59,screen,21
2.0,-0.4,0.06,0.06,3.2,0.05,0.36,0.03,0.02,0.66,screen,22
2.2,-0.35,0.08,0.09,3.3,0.05,0.33,0.03,0.02,0.62,screen,23
1.9,-0.42,0.06,0.11,2.9,0.03,0.52,0.02,0.01,0.74,screen,24
1.9,-0.43,0.06,0.07,2.8,0.04,0.54,0.02,0.01,0.74,screen,25
1.8,-0.42,0.05,0.08,2.7,0.03,0.65,0.02,0.01,0.8,screen,26
1.9,-0.42,0.06,0.1,2.6,0.03,0.65,0.02,0.01,0.76,screen,27
2.0,-0.4,0.06,0.1,2.8,0.03,0.55,0.02,0.02,0.73,screen,28
1.9,-0.41,0.06,0.09,2.8,0.03,0.55,0.02,0.02,0.74,screen,29
1.8,-0.43,0.05,0.1,2.6,0.03,0.64,0.02,0.01,0.78,screen,30
2.0,-0.41,0.07,0.06,3.5,0.05,0.31,0.03,0.02,0.64,screen,31
2.5,-0.37,0.13,0.01,3.9,0.07,0.21,0.04,0.03,0.52,screen,32
2.3,-0.35,0.11,-0.03,3.7,0.06,0.27,0.04,0.03,0.58,screen,33
2.1,-0.4,0.08,0.06,3.4,0.05,0.33,0.03,0.02,0.63,screen,34
2.5,-0.37,0.13,-0.01,4.0,0.07,0.19,0.04,0.03,0.52,screen,35
3.0,-0.33,0.17,0.15,3.9,0.07,0.21,0.04,0.04,0.48,screen,36
2.7,-0.34,0.13,0.02,3.8,0.07,0.23,0.04,0.03,0.5,screen,37
