hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
5.2,-0.59,0.36,14.5,4.3,0.09,0.08,0.05,0.07,0.4,screen,1
4.6,-0.44,0.32,5.9,4.1,0.09,0.14,0.04,0.06,0.41,screen,2
5.0,-0.53,0.31,8.3,3.3,0.08,0.42,0.03,0.05,0.44,screen,3
4.6,-0.38,0.32,4.8,3.7,0.09,0.25,0.04,0.06,0.42,screen,4
4.4,-0.3,0.31,4.6,3.9,0.08,0.22,0.04,0.06,0.42,screen,5
4.5,-0.25,0.3,4.4,4.2,0.09,0.14,0.04,0.06,0.41,screen,6
3.9,-0.23,0.24,1.5,4.4,0.08,0.13,0.04,0.05,0.43,screen,7
3.7,-0.23,0.22,1.3,4.1,0.08,0.15,0.04,0.05,0.43,screen,8
3.5,-0.25,0.22,1.3,4.0,0.08,0.22,0.04,0.05,0.46,screen,9
3.3,-0.26,0.2,0.97,4.0,0.07,0.2,0.04,0.05,0.47,screen,10
3.0,-0.25,0.18,1.3,3.8,0.07,0.2,0.04,0.04,0.47,screen,11
3.3,-0.26,0.2,1.1,3.9,0.08,0.2,0.04,0.05,0.46,screen,12
3.0,-0.25,0.17,0.81,3.8,0.08,0.15,0.04,0.04,0.44,screen,13
3.2,-0.26,0.18,0.72,3.8,0.07,0.22,0.04,0.04,0.47,screen,14
2.8,-0.27,0.12,0.4,3.4,0.06,0.34,0.03,0.04,0.55,screen,15
2.4,-0.29,0.09,0.88,3.3,0.06,0.33,0.03,0.03,0.58,screen,16
2.5,-0.26,0.1,0.87,3.0,0.05,0.5,0.02,0.03,0.63,screen,17
2.3,-0.3,0.09,0.9,2.2,0.03,0.77,0.01,0.02,0.79,screen,18
2.2,-0.3,0.08,0.94,1.9,0.03,0.81,0.01,0.02,0.81,screen,19
2.5,-0.29,0.1,0.93,2.5,0.04,0.67,0.02,0.03,0.71,screen,20
2.5,-0.3,0.1,0.87,2.3,0.03,0.72,0.01,0.02,0.74,screen,21
2.8,-0.31,0.14,0.78,4.3,0.08,0.12,0.04,0.04,0.45,screen,22
2.5,-0.29,0.11,0.84,4.0,0.08,0.16,0.04,0.03,0.51,screen,23
2.0,-0.31,0.08,0.92,2.2,0.03,0.74,0.01,0.01,0.8,screen,24
2.0,-0.32,0.06,0.89,2.0,0.03,0.78,0.01,0.01,0.82,screen,25
2.0,-0.31,0.07,0.97,1.9,0.03,0.8,0.01,0.01,0.83,screen,26
2.0,-0.31,0.07,0.88,2.0,0.03,0.8,0.01,0.02,0.83,screen,27
1.7,-0.34,0.06,0.81,2.2,0.03,0.76,0.01,0.01,0.84,screen,28
1.8,-0.31,0.06,0.82,2.1,0.03,0.76,0.01,0.01,0.83,screen,29
1.8,-0.33,0.07,0.86,1.9,0.03,0.79,0.01,0.01,0.84,screen,30
1.9,-0.32,0.07,0.88,1.7,0.02,0.84,0.01,0.01,0.85,screen,31
1.8,-0.32,0.06,0.88,2.1,0.03,0.78,0.01,0.01,0.84,screen,32
1.8,-0.35,0.06,0.88,1.8,0.02,0.81,0.01,0.01,0.85,screen,33
1.7,-0.35,0.06,0.87,1.6,0.02,0.85,0.01,0.01,0.88,screen,34
1.7,-0.35,0.06,0.87,1.7,0.02,0.86,0.01,0.01,0.88,screen,35
1.6,-0.37,0.05,0.85,1.6,0.02,0.86,0.01,0.01,0.89,screen,36
1.7,-0.36,0.05,0.89,1.7,0.02,0.84,0.01,0.01,0.87,screen,37
1.7,-0.38,0.05,0.83,1.7,0.02,0.83,0.01,0.01,0.88,screen,38
2.4,-0.33,0.09,0.98,2.0,0.03,0.75,0.01,0.02,0.74,screen,39
1.7,-0.4,0.05,0.85,1.5,0.02,0.87,0.01,0.01,0.9,screen,40
2.9,-0.33,0.18,0.72,4.6,0.08,0.12,0.04,0.04,0.42,screen,41
1.8,-0.37,0.05,0.9,1.7,0.02,0.84,0.01,0.01,0.87,screen,42
1.7,-0.39,0.05,0.86,1.5,0.02,0.85,0.01,0.01,0.87,screen,43
1.7,-0.4,0.05,0.89,1.7,0.02,0.84,0.01,0.01,0.87,screen,44
1.8,-0.39,0.05,0.93,1.7,0.02,0.82,0.01,0.01,0.86,screen,45
1.6,-0.43,0.04,0.9,1.6,0.02,0.83,0.01,0.01,0.88,screen,46
1.8,-0.37,0.05,0.85,3.4,0.07,0.23,0.04,0.01,0.64,screen,47
1.7,-0.4,0.04,0.88,1.7,0.02,0.83,0.01,0.01,0.88,screen,48
1.8,-0.39,0.05,0.93,1.7,0.02,0.82,0.01,0.01,0.86,screen,49
1.7,-0.38,0.05,0.87,1.8,0.02,0.83,0.01,0.01,0.88,screen,50
2.0,-0.31,0.06,0.9,1.6,0.02,0.84,0.01,0.01,0.85,refine,1
2.5,-0.32,0.1,0.96,1.9,0.03,0.78,0.01,0.02,0.76,refine,2
2.1,-0.34,0.07,0.92,2.5,0.03,0.67,0.02,0.02,0.72,refine,3
2.0,-0.33,0.06,0.95,1.7,0.02,0.84,0.01,0.01,0.85,refine,4
1.8,-0.37,0.05,0.93,1.7,0.02,0.84,0.01,0.01,0.86,refine,5
2.8,-0.31,0.19,0.95,4.5,0.08,0.11,0.04,0.04,0.41,refine,6
3.0,-0.29,0.21,0.92,4.3,0.08,0.12,0.04,0.04,0.41,refine,7
2.6,-0.32,0.17,0.12,4.3,0.08,0.12,0.04,0.04,0.43,refine,8
2.3,-0.28,0.09,0.83,2.1,0.03,0.75,0.01,0.02,0.79,refine,9
1.9,-0.33,0.07,0.66,4.0,0.08,0.12,0.04,0.02,0.56,refine,10
2.7,-0.27,0.15,0.51,4.3,0.08,0.12,0.04,0.04,0.44,refine,11
2.1,-0.34,0.09,0.59,4.2,0.08,0.12,0.04,0.02,0.54,refine,12
2.2,-0.29,0.09,0.6,3.9,0.08,0.13,0.04,0.02,0.55,refine,13
2.8,-0.28,0.16,0.66,3.9,0.08,0.16,0.04,0.04,0.46,refine,14
2.1,-0.31,0.09,0.6,4.0,0.08,0.14,0.04,0.02,0.56,refine,15
2.1,-0.3,0.08,0.6,3.9,0.08,0.14,0.04,0.02,0.58,refine,16
2.2,-0.29,0.09,0.62,3.7,0.07,0.17,0.04,0.02,0.56,refine,17
1.9,-0.32,0.08,0.74,2.1,0.03,0.73,0.01,0.02,0.81,refine,18
1.8,-0.32,0.07,0.59,4.0,0.08,0.13,0.04,0.02,0.57,refine,19
1.9,-0.33,0.08,0.6,3.8,0.08,0.16,0.04,0.02,0.58,refine,20
1.8,-0.33,0.07,0.61,3.9,0.08,0.13,0.04,0.02,0.58,refine,21
1.8,-0.33,0.07,0.59,4.0,0.08,0.14,0.04,0.02,0.58,refine,22
1.8,-0.33,0.07,0.59,3.7,0.08,0.15,0.04,0.02,0.59,refine,23
1.8,-0.34,0.06,0.65,3.7,0.07,0.16,0.04,0.02,0.6,refine,24
2.5,-0.28,0.11,0.63,3.8,0.08,0.16,0.04,0.03,0.49,refine,25
2.1,-0.3,0.07,0.95,1.8,0.03,0.82,0.01,0.02,0.82,anneal,1
2.0,-0.34,0.07,0.95,1.8,0.03,0.81,0.01,0.01,0.82,anneal,2
2.9,-0.3,0.17,1.5,1.8,0.04,0.84,0.01,0.04,0.72,anneal,3
