hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.9,-0.69,0.28,1.8,3.9,0.08,0.12,0.04,0.07,0.6,screen,1
4.9,-0.44,0.27,3.4,3.7,0.08,0.14,0.04,0.06,0.6,screen,2
4.4,-0.36,0.23,1.8,3.7,0.07,0.19,0.04,0.06,0.62,screen,3
4.0,-0.35,0.21,1.3,3.8,0.07,0.16,0.04,0.06,0.61,screen,4
4.3,-0.35,0.25,0.96,3.8,0.08,0.14,0.04,0.06,0.59,screen,5
3.9,-0.4,0.22,1.3,3.8,0.07,0.15,0.04,0.06,0.59,screen,6
3.6,-0.42,0.19,1.2,3.7,0.07,0.17,0.04,0.05,0.6,screen,7
3.3,-0.4,0.15,0.36,3.7,0.06,0.21,0.04,0.05,0.62,screen,8
3.0,-0.4,0.14,0.23,3.7,0.06,0.2,0.04,0.05,0.62,screen,9
2.7,-0.41,0.13,0.27,3.6,0.06,0.24,0.04,0.04,0.63,screen,10
2.9,-0.45,0.13,0.35,3.5,0.06,0.22,0.04,0.04,0.62,screen,11
2.8,-0.42,0.11,-0.02,3.7,0.06,0.21,0.04,0.04,0.62,screen,12
3.5,-0.39,0.16,0.05,3.7,0.06,0.2,0.04,0.05,0.62,screen,13
2.6,-0.45,0.11,0.15,3.6,0.06,0.21,0.04,0.04,0.62,screen,14
2.8,-0.42,0.1,0.04,3.6,0.06,0.22,0.04,0.04,0.62,screen,15
2.6,-0.43,0.1,0.38,3.1,0.04,0.44,0.03,0.03,0.7,screen,16
2.9,-0.4,0.12,0.35,3.0,0.04,0.45,0.03,0.04,0.72,screen,17
2.5,-0.43,0.09,0.35,2.7,0.04,0.57,0.02,0.03,0.75,screen,18
2.6,-0.43,0.1,0.2,3.3,0.05,0.3,0.04,0.03,0.65,screen,19
2.6,-0.45,0.09,0.31,2.9,0.04,0.46,0.03,0.03,0.72,screen,20
2.3,-0.47,0.07,0.24,2.8,0.03,0.58,0.02,0.02,0.76,screen,21
2.1,-0.51,0.05,0.34,2.7,0.03,0.61,0.02,0.02,0.77,screen,22
3.5,-0.44,0.17,-0.17,3.7,0.06,0.21,0.04,0.05,0.63,screen,23
3.0,-0.52,0.12,-0.23,3.6,0.06,0.23,0.04,0.05,0.64,screen,24
3.0,-0.5,0.13,-0.21,3.7,0.06,0.19,0.04,0.05,0.62,screen,25
2.1,-0.63,0.06,0.12,3.7,0.06,0.18,0.04,0.03,0.62,screen,26
2.3,-0.63,0.08,-0.04,3.7,0.06,0.18,0.04,0.04,0.62,screen,27
3.4,-0.47,0.16,-0.22,3.9,0.07,0.17,0.04,0.05,0.62,screen,28
2.1,-0.67,0.06,0.11,3.5,0.06,0.24,0.04,0.02,0.64,screen,29
2.2,-0.6,0.07,0.03,3.7,0.06,0.18,0.04,0.03,0.61,screen,30
1.9,-0.7,0.05,0.15,3.5,0.06,0.2,0.04,0.02,0.62,screen,31
2.3,-0.61,0.07,0.02,3.6,0.06,0.2,0.04,0.03,0.63,screen,32
1.8,-0.69,0.05,0.13,3.6,0.06,0.2,0.04,0.02,0.61,screen,33
3.3,-0.45,0.14,-0.12,3.7,0.06,0.26,0.04,0.05,0.65,screen,34
3.5,-0.44,0.16,-0.22,3.7,0.06,0.25,0.04,0.05,0.65,screen,35
3.7,-0.45,0.18,-0.22,3.8,0.07,0.19,0.04,0.06,0.62,screen,36
3.0,-0.61,0.14,0.17,3.5,0.06,0.25,0.04,0.04,0.64,screen,37
3.0,-0.61,0.13,0.09,3.7,0.06,0.2,0.04,0.05,0.62,screen,38
3.2,-0.55,0.14,-0.2,3.8,0.07,0.17,0.04,0.05,0.61,screen,39
3.4,-0.55,0.17,-0.13,3.7,0.06,0.22,0.04,0.05,0.64,screen,40
2.5,-0.6,0.09,0.01,3.1,0.04,0.41,0.03,0.03,0.7,screen,41
3.6,-0.43,0.17,-0.14,3.8,0.07,0.19,0.04,0.05,0.61,screen,42
3.5,-0.46,0.18,-0.12,3.8,0.06,0.2,0.04,0.05,0.63,screen,43
3.4,-0.47,0.18,0.36,3.8,0.07,0.18,0.04,0.06,0.62,screen,44
3.4,-0.43,0.16,0.17,3.5,0.06,0.24,0.04,0.05,0.64,screen,45
3.6,-0.43,0.18,-0.24,3.8,0.07,0.19,0.04,0.06,0.61,screen,46
3.5,-0.4,0.17,0.12,3.7,0.07,0.18,0.04,0.05,0.61,screen,47
3.4,-0.44,0.17,0.16,3.7,0.06,0.21,0.04,0.05,0.63,screen,48
3.4,-0.4,0.17,0.2,3.8,0.06,0.19,0.04,0.05,0.62,screen,49
3.1,-0.43,0.12,0.09,3.5,0.05,0.3,0.03,0.04,0.66,screen,50
3.4,-0.33,0.17,0.44,3.5,0.06,0.23,0.04,0.05,0.63,refine,1
2.9,-0.36,0.14,0.32,3.5,0.06,0.24,0.04,0.04,0.63,refine,2
2.9,-0.34,0.12,0.17,3.6,0.06,0.25,0.04,0.04,0.64,refine,3
4.1,-0.34,0.22,1.0,3.9,0.07,0.15,0.04,0.06,0.61,refine,4
3.0,-0.32,0.13,0.14,3.8,0.06,0.2,0.04,0.04,0.63,refine,5
2.9,-0.3,0.11,0.03,3.7,0.06,0.23,0.04,0.04,0.63,refine,6
2.7,-0.31,0.11,0.05,3.8,0.06,0.17,0.04,0.04,0.62,refine,7
2.8,-0.29,0.1,0.09,3.5,0.06,0.25,0.04,0.04,0.63,refine,8
2.8,-0.29,0.1,0.07,3.5,0.06,0.25,0.04,0.04,0.64,refine,9
2.7,-0.32,0.12,-0.13,3.7,0.06,0.22,0.04,0.04,0.62,refine,10
2.5,-0.31,0.08,0.12,3.6,0.06,0.21,0.04,0.03,0.62,refine,11
2.4,-0.31,0.07,0.14,3.3,0.05,0.28,0.04,0.03,0.65,refine,12
2.1,-0.37,0.05,0.17,3.2,0.05,0.28,0.04,0.03,0.64,refine,13
2.0,-0.37,0.06,0.26,3.3,0.05,0.23,0.04,0.03,0.63,refine,14
2.0,-0.37,0.05,0.22,3.2,0.05,0.25,0.04,0.03,0.64,refine,15
2.2,-0.29,0.07,0.21,3.4,0.06,0.24,0.04,0.03,0.63,refine,16
2.9,-0.29,0.13,-0.04,4.0,0.07,0.15,0.04,0.04,0.6,refine,17
2.3,-0.3,0.07,0.19,3.4,0.05,0.25,0.04,0.03,0.64,refine,18
2.0,-0.34,0.05,0.22,3.4,0.05,0.24,0.04,0.03,0.64,refine,19
2.1,-0.33,0.06,0.17,3.4,0.06,0.24,0.04,0.03,0.63,refine,20
2.0,-0.33,0.06,0.21,3.4,0.06,0.23,0.04,0.03,0.63,refine,21
2.1,-0.31,0.06,0.26,3.4,0.05,0.26,0.04,0.03,0.64,refine,22
2.1,-0.32,0.06,0.24,3.4,0.06,0.23,0.04,0.03,0.63,refine,23
2.0,-0.32,0.06,0.23,3.2,0.05,0.27,0.04,0.03,0.64,refine,24
1.8,-0.33,0.05,-0.05,2.7,0.03,0.46,0.03,0.03,0.71,refine,25
1.8,-0.33,0.05,-0.01,2.8,0.04,0.42,0.03,0.03,0.7,anneal,1
2.0,-0.33,0.06,0.23,3.4,0.06,0.25,0.04,0.03,0.63,anneal,2
1.7,-0.41,0.05,0.28,3.3,0.05,0.23,0.04,0.02,0.63,anneal,3
1.7,-0.41,0.04,0.33,3.2,0.05,0.25,0.04,0.02,0.64,anneal,4
1.7,-0.42,0.04,0.3,3.2,0.05,0.25,0.04,0.02,0.63,anneal,5
1.7,-0.41,0.04,0.28,3.2,0.05,0.28,0.04,0.02,0.65,anneal,6
1.6,-0.43,0.04,0.27,3.2,0.05,0.24,0.04,0.02,0.63,anneal,7
1.7,-0.35,0.04,0.28,3.1,0.05,0.3,0.03,0.02,0.66,anneal,8
1.7,-0.41,0.04,0.34,3.3,0.06,0.22,0.04,0.02,0.62,anneal,9
1.5,-0.43,0.03,0.01,2.9,0.04,0.39,0.03,0.03,0.68,anneal,10
1.6,-0.44,0.04,0.23,3.1,0.05,0.29,0.04,0.02,0.65,anneal,11
1.6,-0.41,0.04,-0.05,2.9,0.04,0.4,0.03,0.03,0.69,anneal,12
1.6,-0.43,0.04,0.3,3.1,0.05,0.28,0.04,0.02,0.65,anneal,13
1.6,-0.43,0.03,0.3,3.1,0.05,0.28,0.04,0.02,0.64,anneal,14
1.6,-0.42,0.04,0.13,3.0,0.04,0.33,0.03,0.02,0.66,anneal,15
1.5,-0.44,0.03,-0.01,3.0,0.04,0.34,0.03,0.02,0.67,anneal,16
1.6,-0.44,0.03,0.24,3.1,0.05,0.3,0.04,0.02,0.65,anneal,17
1.5,-0.45,0.03,0.24,3.1,0.05,0.3,0.03,0.02,0.66,anneal,18
1.6,-0.43,0.03,0.23,3.0,0.05,0.3,0.03,0.02,0.65,anneal,19
1.6,-0.42,0.04,0.3,3.2,0.05,0.25,0.04,0.02,0.63,anneal,20
1.6,-0.43,0.04,0.26,3.1,0.05,0.29,0.04,0.02,0.64,anneal,21
1.6,-0.43,0.04,0.28,3.2,0.05,0.28,0.04,0.02,0.64,anneal,22
1.6,-0.45,0.03,0.39,2.6,0.03,0.53,0.02,0.01,0.74,anneal,23
1.6,-0.43,0.04,0.3,3.3,0.05,0.25,0.04,0.02,0.63,anneal,24
1.6,-0.44,0.04,0.12,3.0,0.04,0.35,0.03,0.02,0.67,anneal,25
1.6,-0.45,0.03,0.24,2.9,0.04,0.4,0.03,0.03,0.69,anneal,26
1.6,-0.44,0.03,0.27,3.0,0.04,0.35,0.03,0.02,0.67,anneal,27
1.5,-0.44,0.03,0.37,2.5,0.03,0.57,0.02,0.01,0.75,anneal,28
1.5,-0.46,0.03,-0.19,2.9,0.04,0.43,0.03,0.03,0.7,anneal,29
1.5,-0.43,0.03,0.35,2.9,0.04,0.38,0.03,0.02,0.68,anneal,30
1.5,-0.44,0.03,0.36,2.5,0.03,0.59,0.02,0.01,0.76,anneal,31
1.6,-0.42,0.03,0.06,2.9,0.04,0.39,0.03,0.02,0.68,anneal,32
1.5,-0.44,0.03,-0.46,2.4,0.02,0.71,0.01,0.04,0.81,anneal,33
1.6,-0.43,0.03,0.34,2.8,0.04,0.34,0.03,0.02,0.66,anneal,34
1.6,-0.43,0.03,0.22,2.9,0.04,0.37,0.03,0.02,0.68,anneal,35
1.6,-0.42,0.04,0.21,3.1,0.05,0.3,0.04,0.02,0.65,anneal,36
1.6,-0.43,0.03,0.23,2.9,0.04,0.36,0.03,0.02,0.67,anneal,37
1.6,-0.42,0.03,0.31,3.0,0.05,0.32,0.03,0.02,0.66,anneal,38
1.5,-0.44,0.03,-0.47,2.3,0.02,0.72,0.01,0.05,0.82,anneal,39
1.6,-0.43,0.04,0.26,3.1,0.05,0.27,0.04,0.02,0.64,anneal,40
1.7,-0.42,0.04,0.19,3.0,0.04,0.34,0.03,0.02,0.67,anneal,41
1.6,-0.43,0.03,0.32,2.9,0.05,0.32,0.03,0.02,0.65,anneal,42
1.6,-0.42,0.04,0.26,3.2,0.05,0.26,0.04,0.02,0.64,anneal,43
1.8,-0.41,0.04,0.33,3.3,0.05,0.26,0.04,0.02,0.64,anneal,44
1.7,-0.42,0.04,0.21,2.9,0.04,0.39,0.03,0.02,0.68,anneal,45
