hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.9,-0.47,0.29,4.0,4.0,0.08,0.11,0.04,0.07,0.59,screen,1
4.4,-0.24,0.23,1.6,3.9,0.07,0.14,0.04,0.06,0.6,screen,2
4.0,-0.23,0.2,2.1,3.8,0.07,0.2,0.04,0.05,0.61,screen,3
3.7,-0.2,0.17,0.19,3.8,0.07,0.18,0.04,0.05,0.61,screen,4
3.9,-0.29,0.2,-0.04,3.9,0.07,0.18,0.04,0.06,0.62,screen,5
3.1,-0.26,0.13,0.16,3.6,0.06,0.24,0.04,0.05,0.63,screen,6
3.7,-0.28,0.18,-0.14,3.8,0.07,0.18,0.04,0.05,0.6,screen,7
3.6,-0.32,0.17,-0.27,3.8,0.06,0.2,0.04,0.06,0.63,screen,8
3.4,-0.3,0.14,-0.15,3.8,0.07,0.18,0.04,0.05,0.61,screen,9
3.4,-0.31,0.15,-0.06,3.7,0.06,0.22,0.04,0.05,0.62,screen,10
3.1,-0.31,0.12,0.25,3.4,0.05,0.32,0.03,0.04,0.66,screen,11
3.3,-0.28,0.13,0.16,3.6,0.06,0.24,0.04,0.04,0.63,screen,12
3.5,-0.3,0.17,-0.11,3.9,0.07,0.17,0.04,0.05,0.6,screen,13
3.0,-0.33,0.11,0.26,3.6,0.06,0.23,0.04,0.04,0.63,screen,14
2.9,-0.34,0.1,0.34,3.6,0.06,0.24,0.04,0.04,0.63,screen,15
2.7,-0.36,0.08,0.38,3.6,0.05,0.25,0.04,0.03,0.64,screen,16
3.0,-0.31,0.11,0.28,3.6,0.06,0.25,0.04,0.04,0.63,screen,17
2.8,-0.36,0.1,0.28,3.6,0.06,0.22,0.04,0.04,0.62,screen,18
2.5,-0.37,0.07,0.42,3.3,0.05,0.3,0.03,0.03,0.66,screen,19
2.3,-0.4,0.06,0.52,2.5,0.03,0.62,0.02,0.02,0.79,screen,20
1.9,-0.47,0.05,0.51,1.9,0.02,0.78,0.01,0.01,0.84,screen,21
2.1,-0.43,0.05,0.52,2.0,0.02,0.75,0.01,0.01,0.83,screen,22
2.2,-0.38,0.05,0.44,3.1,0.04,0.37,0.03,0.02,0.68,screen,23
1.8,-0.45,0.04,0.51,2.0,0.02,0.76,0.01,0.01,0.83,screen,24
1.8,-0.46,0.04,0.51,1.8,0.02,0.8,0.01,0.01,0.86,screen,25
1.7,-0.47,0.04,0.51,1.8,0.02,0.81,0.01,0.01,0.86,screen,26
1.7,-0.54,0.04,0.54,1.6,0.02,0.84,0.01,0.01,0.88,screen,27
2.0,-0.48,0.06,0.49,1.6,0.02,0.81,0.01,0.01,0.86,screen,28
1.8,-0.48,0.04,0.52,1.6,0.02,0.83,0.01,0.01,0.88,screen,29
1.9,-0.48,0.04,0.52,1.7,0.02,0.82,0.01,0.01,0.87,screen,30
1.8,-0.49,0.04,0.51,1.7,0.02,0.82,0.01,0.01,0.86,screen,31
1.7,-0.49,0.04,0.54,1.7,0.02,0.83,0.01,0.01,0.87,screen,32
1.8,-0.51,0.04,0.53,1.6,0.02,0.84,0.01,0.01,0.87,screen,33
1.7,-0.49,0.04,0.52,1.6,0.02,0.84,0.01,0.01,0.87,screen,34
1.8,-0.49,0.04,0.5,1.8,0.02,0.81,0.01,0.01,0.86,screen,35
1.8,-0.5,0.04,0.51,1.5,0.02,0.85,0.01,0.01,0.89,screen,36
1.7,-0.54,0.04,0.51,1.5,0.02,0.85,0.01,0.01,0.88,screen,37
1.6,-0.54,0.03,0.52,1.7,0.02,0.83,0.01,0.01,0.87,screen,38
2.6,-0.34,0.12,0.67,3.7,0.06,0.19,0.04,0.04,0.61,screen,39
1.7,-0.49,0.04,0.48,1.9,0.02,0.79,0.01,0.01,0.85,screen,40
2.1,-0.46,0.06,0.48,1.6,0.02,0.81,0.01,0.01,0.86,screen,41
1.7,-0.55,0.04,0.48,1.6,0.02,0.86,0.01,0.01,0.88,screen,42
1.7,-0.49,0.04,0.49,2.0,0.02,0.77,0.01,0.01,0.83,screen,43
1.8,-0.49,0.04,0.54,2.0,0.02,0.74,0.01,0.01,0.82,screen,44
1.7,-0.52,0.04,0.53,1.5,0.02,0.86,0.01,0.01,0.88,screen,45
1.6,-0.55,0.04,0.51,1.5,0.02,0.85,0.01,0.01,0.88,screen,46
1.6,-0.56,0.03,0.5,1.5,0.02,0.86,0.01,0.01,0.88,screen,47
1.6,-0.58,0.03,0.49,1.5,0.02,0.86,0.01,0.01,0.89,screen,48
1.6,-0.55,0.03,0.52,1.5,0.02,0.85,0.01,0.01,0.88,screen,49
1.6,-0.56,0.03,0.48,1.5,0.02,0.87,0.01,0.01,0.89,screen,50
1.6,-0.53,0.03,0.48,1.5,0.02,0.87,0.01,0.01,0.89,refine,1
1.8,-0.48,0.05,0.48,2.0,0.02,0.75,0.01,0.01,0.83,refine,2
1.6,-0.55,0.04,0.47,1.5,0.02,0.85,0.01,0.01,0.89,refine,3
1.6,-0.53,0.04,0.55,1.6,0.02,0.84,0.01,0.01,0.87,refine,4
1.7,-0.52,0.04,0.55,1.7,0.02,0.83,0.01,0.01,0.86,refine,5
