hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.9,-0.46,0.3,5.0,4.0,0.08,0.11,0.04,0.07,0.57,screen,1
4.7,-0.53,0.29,4.3,3.9,0.08,0.13,0.04,0.07,0.58,screen,2
4.8,-0.32,0.27,4.8,3.7,0.08,0.14,0.04,0.06,0.57,screen,3
3.9,-0.31,0.21,0.17,3.9,0.07,0.18,0.04,0.06,0.6,screen,4
3.0,-0.66,0.14,1.0,4.1,0.08,0.12,0.04,0.05,0.56,screen,5
3.3,-0.78,0.19,0.76,3.9,0.07,0.17,0.04,0.05,0.58,screen,6
3.0,-0.84,0.16,0.86,3.9,0.07,0.15,0.04,0.05,0.58,screen,7
3.0,-0.65,0.14,0.38,3.7,0.06,0.21,0.04,0.04,0.6,screen,8
3.0,-0.91,0.15,1.1,3.9,0.07,0.15,0.04,0.05,0.57,screen,9
2.9,-0.87,0.13,0.6,3.9,0.07,0.16,0.04,0.04,0.58,screen,10
3.0,-0.69,0.13,0.29,3.8,0.07,0.2,0.04,0.04,0.59,screen,11
2.7,-0.83,0.11,0.41,3.8,0.07,0.17,0.04,0.04,0.58,screen,12
2.7,-0.78,0.11,0.41,3.6,0.06,0.25,0.04,0.04,0.61,screen,13
2.7,-0.82,0.11,0.59,3.2,0.05,0.4,0.03,0.03,0.68,screen,14
2.1,-1.0,0.06,0.34,3.4,0.05,0.28,0.04,0.03,0.63,screen,15
2.6,-0.93,0.11,0.4,3.7,0.06,0.2,0.04,0.04,0.6,screen,16
3.0,-0.71,0.13,0.17,3.7,0.07,0.2,0.04,0.04,0.6,screen,17
3.1,-0.74,0.16,0.06,3.7,0.06,0.19,0.04,0.05,0.6,screen,18
3.4,-0.72,0.2,0.0,3.4,0.06,0.33,0.03,0.06,0.64,screen,19
3.3,-0.79,0.2,-0.04,3.7,0.07,0.2,0.04,0.06,0.6,screen,20
3.0,-0.81,0.18,0.33,3.7,0.07,0.18,0.04,0.05,0.59,screen,21
3.1,-0.72,0.16,-0.09,3.8,0.07,0.17,0.04,0.05,0.58,screen,22
2.7,-0.84,0.11,0.31,3.7,0.06,0.22,0.04,0.04,0.6,screen,23
2.5,-0.92,0.1,0.26,3.7,0.06,0.2,0.04,0.03,0.6,screen,24
2.3,-0.97,0.09,0.22,3.7,0.06,0.18,0.04,0.03,0.59,screen,25
2.8,-0.86,0.14,0.15,3.7,0.07,0.18,0.04,0.04,0.59,screen,26
2.2,-1.0,0.08,0.25,3.6,0.06,0.22,0.04,0.03,0.61,screen,27
3.6,-0.56,0.2,0.27,3.5,0.06,0.26,0.04,0.06,0.62,screen,28
2.3,-0.95,0.09,0.26,3.8,0.07,0.17,0.04,0.03,0.58,screen,29
2.0,-1.1,0.06,0.28,3.5,0.05,0.23,0.04,0.03,0.62,screen,30
2.2,-1.1,0.08,0.27,3.6,0.06,0.2,0.04,0.03,0.6,screen,31
1.8,-1.2,0.05,0.23,3.5,0.05,0.24,0.04,0.02,0.61,screen,32
1.7,-1.3,0.04,0.3,2.4,0.03,0.61,0.02,0.01,0.76,screen,33
1.7,-1.3,0.04,0.28,3.4,0.05,0.25,0.04,0.02,0.62,screen,34
1.7,-1.3,0.05,0.22,3.4,0.05,0.27,0.04,0.02,0.62,screen,35
1.7,-1.3,0.04,0.3,3.0,0.04,0.37,0.03,0.02,0.67,screen,36
2.1,-1.1,0.08,0.36,3.5,0.05,0.26,0.04,0.03,0.62,screen,37
1.8,-1.2,0.04,0.3,3.1,0.04,0.37,0.03,0.02,0.66,screen,38
1.7,-1.3,0.04,0.29,2.4,0.03,0.62,0.02,0.01,0.77,screen,39
1.8,-1.3,0.04,0.29,2.6,0.03,0.56,0.02,0.02,0.74,screen,40
2.2,-1.0,0.08,0.34,3.6,0.06,0.2,0.04,0.03,0.59,screen,41
3.8,-0.51,0.22,1.3,3.8,0.07,0.17,0.04,0.06,0.59,screen,42
2.1,-1.1,0.05,0.35,3.2,0.05,0.35,0.03,0.02,0.66,screen,43
3.7,-0.5,0.21,0.84,3.9,0.07,0.15,0.04,0.06,0.59,screen,44
1.9,-1.2,0.05,0.29,3.1,0.04,0.41,0.03,0.02,0.69,screen,45
2.0,-1.2,0.06,0.27,3.0,0.04,0.43,0.03,0.02,0.69,screen,46
1.9,-1.1,0.05,0.22,2.9,0.04,0.46,0.03,0.02,0.7,screen,47
1.8,-1.2,0.05,0.26,2.9,0.04,0.46,0.03,0.02,0.7,screen,48
1.8,-1.2,0.04,0.26,2.7,0.03,0.53,0.02,0.01,0.73,screen,49
2.6,-0.78,0.1,0.15,3.6,0.06,0.23,0.04,0.04,0.61,screen,50
4.2,-0.49,0.25,1.3,3.9,0.07,0.15,0.04,0.06,0.58,refine,1
2.9,-0.66,0.13,0.16,3.7,0.07,0.2,0.04,0.05,0.59,refine,2
2.2,-0.96,0.07,0.35,3.5,0.06,0.25,0.04,0.03,0.61,refine,3
2.3,-0.89,0.09,0.33,3.7,0.06,0.21,0.04,0.03,0.59,refine,4
2.3,-0.94,0.08,0.27,3.7,0.06,0.2,0.04,0.03,0.59,refine,5
3.8,-0.51,0.21,0.46,3.9,0.07,0.17,0.04,0.06,0.59,refine,6
2.3,-0.92,0.08,0.24,3.5,0.05,0.29,0.04,0.03,0.64,refine,7
2.1,-1.0,0.06,0.34,3.4,0.05,0.28,0.04,0.03,0.62,refine,8
2.1,-1.0,0.07,0.3,3.7,0.06,0.2,0.04,0.03,0.59,refine,9
2.9,-0.69,0.13,0.12,3.8,0.07,0.18,0.04,0.05,0.6,refine,10
1.9,-1.1,0.05,0.2,3.4,0.05,0.27,0.04,0.02,0.62,refine,11
2.8,-0.7,0.13,0.21,3.8,0.07,0.18,0.04,0.04,0.59,refine,12
2.3,-0.92,0.09,0.32,3.7,0.06,0.2,0.04,0.03,0.59,refine,13
2.0,-1.1,0.06,0.23,3.4,0.05,0.28,0.04,0.02,0.63,refine,14
