hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
5.1,-0.68,0.33,8.6,4.1,0.09,0.09,0.05,0.07,0.5,screen,1
4.3,-0.35,0.28,2.3,3.8,0.08,0.15,0.04,0.07,0.52,screen,2
3.8,-0.29,0.22,-0.38,4.0,0.07,0.16,0.04,0.06,0.53,screen,3
3.9,-0.28,0.24,0.55,4.1,0.08,0.15,0.04,0.06,0.52,screen,4
3.7,-0.34,0.22,-0.23,4.0,0.07,0.17,0.04,0.06,0.53,screen,5
3.2,-0.28,0.16,-0.2,4.1,0.08,0.14,0.04,0.05,0.51,screen,6
2.7,-0.33,0.1,-0.18,3.6,0.06,0.21,0.04,0.03,0.55,screen,7
3.1,-0.31,0.13,-0.24,3.9,0.07,0.18,0.04,0.04,0.54,screen,8
2.6,-0.35,0.09,-0.17,3.6,0.06,0.21,0.04,0.03,0.55,screen,9
3.3,-0.27,0.17,-0.29,4.1,0.08,0.14,0.04,0.05,0.51,screen,10
2.9,-0.31,0.11,-0.15,3.8,0.07,0.19,0.04,0.04,0.54,screen,11
2.9,-0.29,0.13,-0.14,3.8,0.07,0.17,0.04,0.04,0.53,screen,12
2.8,-0.34,0.1,-0.13,3.4,0.05,0.32,0.03,0.03,0.61,screen,13
3.0,-0.3,0.14,-0.16,3.6,0.06,0.26,0.04,0.04,0.57,screen,14
2.7,-0.33,0.11,-0.1,3.0,0.04,0.48,0.03,0.03,0.67,screen,15
2.6,-0.36,0.1,0.05,2.6,0.03,0.63,0.02,0.03,0.74,screen,16
2.9,-0.34,0.12,-0.02,2.8,0.04,0.54,0.02,0.03,0.67,screen,17
2.6,-0.34,0.11,-0.15,3.1,0.04,0.48,0.03,0.03,0.67,screen,18
2.8,-0.36,0.12,-0.12,2.6,0.04,0.62,0.02,0.03,0.71,screen,19
2.6,-0.39,0.13,0.19,2.3,0.04,0.7,0.02,0.03,0.75,screen,20
2.3,-0.43,0.11,-0.07,2.1,0.03,0.74,0.01,0.02,0.76,screen,21
