hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
5.0,-0.48,0.33,4.1,4.2,0.09,0.11,0.04,0.07,0.47,screen,1
4.1,-0.31,0.27,0.92,4.1,0.08,0.13,0.04,0.07,0.49,screen,2
3.9,-0.24,0.23,0.53,3.8,0.07,0.17,0.04,0.06,0.51,screen,3
3.8,-0.28,0.22,0.28,4.0,0.07,0.17,0.04,0.06,0.5,screen,4
3.7,-0.28,0.21,0.39,4.1,0.08,0.15,0.04,0.06,0.49,screen,5
3.5,-0.3,0.21,0.07,4.0,0.08,0.16,0.04,0.06,0.5,screen,6
3.5,-0.25,0.2,0.11,3.8,0.07,0.19,0.04,0.05,0.51,screen,7
3.2,-0.29,0.16,-0.02,3.8,0.07,0.19,0.04,0.05,0.52,screen,8
3.1,-0.3,0.15,0.03,3.6,0.07,0.25,0.04,0.04,0.55,screen,9
3.0,-0.33,0.14,0.06,3.7,0.07,0.22,0.04,0.04,0.53,screen,10
3.0,-0.34,0.15,0.31,3.8,0.07,0.21,0.04,0.04,0.52,screen,11
2.8,-0.36,0.12,0.16,3.3,0.05,0.37,0.03,0.03,0.6,screen,12
3.1,-0.42,0.16,0.63,3.8,0.07,0.2,0.04,0.04,0.52,screen,13
2.9,-0.36,0.15,0.22,3.6,0.07,0.2,0.04,0.04,0.52,screen,14
3.0,-0.35,0.13,0.2,3.8,0.07,0.17,0.04,0.04,0.5,screen,15
2.8,-0.39,0.14,0.24,3.6,0.07,0.2,0.04,0.04,0.52,screen,16
2.4,-0.44,0.08,0.28,3.7,0.07,0.15,0.04,0.02,0.49,screen,17
2.8,-0.35,0.13,0.23,3.8,0.07,0.15,0.04,0.04,0.5,screen,18
2.0,-0.47,0.07,0.28,3.4,0.07,0.21,0.04,0.02,0.54,screen,19
2.9,-0.37,0.13,0.23,3.5,0.06,0.29,0.04,0.04,0.57,screen,20
2.2,-0.42,0.08,0.2,2.7,0.04,0.55,0.02,0.02,0.7,screen,21
2.2,-0.5,0.08,0.19,3.4,0.06,0.26,0.04,0.03,0.55,screen,22
1.8,-0.54,0.06,0.16,3.3,0.06,0.24,0.04,0.02,0.57,screen,23
3.4,-0.4,0.21,0.14,4.0,0.08,0.15,0.04,0.05,0.5,screen,24
3.7,-0.35,0.22,0.03,4.1,0.08,0.13,0.04,0.06,0.49,screen,25
3.5,-0.35,0.2,-0.08,4.0,0.08,0.16,0.04,0.05,0.5,screen,26
3.3,-0.36,0.2,0.4,3.7,0.07,0.21,0.04,0.04,0.51,screen,27
2.8,-0.41,0.16,0.25,3.9,0.07,0.17,0.04,0.04,0.51,screen,28
2.9,-0.37,0.17,-0.04,3.8,0.07,0.17,0.04,0.04,0.5,screen,29
3.3,-0.35,0.22,-0.16,3.9,0.08,0.15,0.04,0.05,0.5,screen,30
3.1,-0.38,0.19,-0.17,3.8,0.07,0.18,0.04,0.05,0.5,screen,31
3.0,-0.4,0.19,-0.22,3.8,0.07,0.18,0.04,0.05,0.51,screen,32
2.7,-0.44,0.14,-0.17,3.7,0.07,0.2,0.04,0.04,0.52,screen,33
3.4,-0.39,0.23,0.08,3.9,0.08,0.15,0.04,0.05,0.49,screen,34
2.7,-0.45,0.14,0.09,3.8,0.07,0.21,0.04,0.04,0.52,screen,35
2.8,-0.4,0.17,-0.24,3.7,0.07,0.2,0.04,0.04,0.52,screen,36
2.8,-0.44,0.15,0.08,3.7,0.07,0.22,0.04,0.04,0.53,screen,37
2.9,-0.43,0.16,-0.03,3.7,0.07,0.2,0.04,0.04,0.52,screen,38
2.7,-0.45,0.13,-0.19,3.8,0.07,0.18,0.04,0.04,0.51,screen,39
2.7,-0.45,0.14,0.09,3.8,0.07,0.18,0.04,0.04,0.51,screen,40
2.5,-0.47,0.12,-0.02,3.5,0.06,0.22,0.04,0.03,0.53,screen,41
2.5,-0.46,0.12,0.06,3.6,0.07,0.18,0.04,0.03,0.51,screen,42
2.8,-0.43,0.14,-0.14,3.4,0.06,0.29,0.04,0.04,0.57,screen,43
3.4,-0.37,0.21,0.03,4.0,0.07,0.17,0.04,0.06,0.5,screen,44
2.7,-0.41,0.13,-0.1,3.4,0.06,0.29,0.04,0.04,0.57,screen,45
3.3,-0.37,0.2,-0.19,3.9,0.08,0.15,0.04,0.05,0.49,screen,46
3.7,-0.34,0.23,-0.0,4.1,0.08,0.15,0.04,0.06,0.5,screen,47
2.9,-0.36,0.15,-0.26,3.8,0.07,0.19,0.04,0.04,0.51,screen,48
3.5,-0.33,0.22,-0.2,4.0,0.08,0.14,0.04,0.06,0.49,screen,49
3.0,-0.36,0.18,-0.21,4.0,0.08,0.15,0.04,0.05,0.49,screen,50
3.9,-0.27,0.23,0.11,4.1,0.08,0.13,0.04,0.06,0.48,refine,1
3.6,-0.29,0.21,-0.11,4.1,0.08,0.14,0.04,0.05,0.48,refine,2
3.8,-0.3,0.24,0.29,4.0,0.08,0.14,0.04,0.05,0.49,refine,3
3.6,-0.31,0.2,-0.12,3.9,0.08,0.16,0.04,0.05,0.5,refine,4
3.4,-0.31,0.19,-0.15,4.0,0.07,0.16,0.04,0.05,0.5,refine,5
3.1,-0.32,0.15,0.09,3.9,0.07,0.18,0.04,0.04,0.5,refine,6
2.9,-0.35,0.13,0.21,3.7,0.07,0.21,0.04,0.04,0.52,refine,7
3.0,-0.33,0.13,0.05,3.7,0.07,0.23,0.04,0.04,0.53,refine,8
2.9,-0.33,0.14,-0.08,3.8,0.07,0.18,0.04,0.04,0.51,refine,9
2.6,-0.37,0.1,-0.05,3.8,0.07,0.17,0.04,0.03,0.5,refine,10
2.9,-0.36,0.14,-0.08,3.7,0.06,0.24,0.04,0.04,0.54,refine,11
2.8,-0.33,0.13,-0.08,3.7,0.07,0.2,0.04,0.04,0.52,refine,12
3.0,-0.28,0.14,0.37,3.4,0.06,0.31,0.03,0.04,0.57,refine,13
2.5,-0.38,0.1,0.02,3.6,0.06,0.22,0.04,0.03,0.53,refine,14
2.6,-0.35,0.11,-0.06,3.7,0.07,0.2,0.04,0.03,0.51,refine,15
2.5,-0.38,0.11,-0.08,3.7,0.06,0.2,0.04,0.03,0.53,refine,16
2.8,-0.37,0.13,-0.13,3.7,0.07,0.19,0.04,0.04,0.51,refine,17
2.7,-0.36,0.12,-0.12,3.9,0.07,0.15,0.04,0.04,0.5,refine,18
2.8,-0.36,0.15,-0.1,4.0,0.07,0.17,0.04,0.04,0.51,refine,19
2.5,-0.36,0.1,0.1,3.8,0.07,0.19,0.04,0.03,0.51,refine,20
3.1,-0.36,0.19,0.56,4.1,0.08,0.14,0.04,0.05,0.49,refine,21
2.6,-0.35,0.11,-0.12,3.6,0.06,0.23,0.04,0.03,0.54,refine,22
2.4,-0.39,0.1,-0.02,3.6,0.06,0.25,0.04,0.03,0.55,refine,23
