hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.5,-0.46,0.33,3.4,4.1,0.09,0.12,0.04,0.07,0.45,screen,1
4.3,-0.26,0.29,1.3,3.9,0.08,0.15,0.04,0.06,0.46,screen,2
4.0,-0.28,0.26,0.84,4.3,0.08,0.12,0.04,0.06,0.46,screen,3
3.7,-0.26,0.25,0.35,4.2,0.08,0.14,0.04,0.06,0.47,screen,4
3.8,-0.24,0.25,-0.16,4.3,0.08,0.14,0.04,0.06,0.47,screen,5
3.7,-0.27,0.24,0.04,4.1,0.08,0.16,0.04,0.06,0.48,screen,6
3.4,-0.27,0.21,-0.17,4.2,0.08,0.13,0.04,0.05,0.46,screen,7
3.3,-0.3,0.2,-0.26,4.1,0.08,0.16,0.04,0.05,0.48,screen,8
2.9,-0.31,0.14,-0.16,3.9,0.07,0.17,0.04,0.04,0.48,screen,9
3.2,-0.33,0.17,-0.07,4.0,0.07,0.15,0.04,0.05,0.48,screen,10
3.0,-0.32,0.15,-0.2,4.0,0.07,0.16,0.04,0.04,0.49,screen,11
3.5,-0.31,0.22,-0.23,4.2,0.08,0.13,0.04,0.06,0.46,screen,12
3.1,-0.32,0.17,-0.09,4.0,0.08,0.14,0.04,0.05,0.48,screen,13
2.7,-0.3,0.13,0.25,4.1,0.08,0.14,0.04,0.04,0.47,screen,14
2.7,-0.3,0.13,-0.14,4.0,0.08,0.16,0.04,0.04,0.48,screen,15
2.6,-0.33,0.12,0.03,4.1,0.07,0.15,0.04,0.04,0.48,screen,16
3.2,-0.31,0.18,-0.16,4.1,0.08,0.14,0.04,0.05,0.47,screen,17
2.6,-0.33,0.12,-0.06,3.7,0.07,0.2,0.04,0.04,0.5,screen,18
2.7,-0.33,0.13,0.08,3.7,0.06,0.21,0.04,0.04,0.51,screen,19
2.5,-0.35,0.12,0.1,3.7,0.06,0.22,0.04,0.03,0.52,screen,20
2.4,-0.33,0.11,0.15,3.8,0.07,0.17,0.04,0.03,0.49,screen,21
2.5,-0.32,0.11,-0.0,3.7,0.06,0.22,0.04,0.03,0.52,screen,22
2.5,-0.32,0.14,0.33,3.9,0.07,0.17,0.04,0.04,0.49,screen,23
2.5,-0.33,0.12,-0.04,3.7,0.06,0.22,0.04,0.04,0.52,screen,24
2.1,-0.38,0.09,-0.17,3.4,0.05,0.3,0.03,0.03,0.57,screen,25
2.2,-0.36,0.09,-0.17,3.2,0.04,0.42,0.03,0.03,0.63,screen,26
3.0,-0.28,0.16,-0.17,3.9,0.07,0.16,0.04,0.05,0.47,screen,27
2.5,-0.36,0.11,-0.15,3.4,0.05,0.33,0.03,0.04,0.58,screen,28
2.4,-0.34,0.1,-0.15,3.5,0.06,0.25,0.04,0.04,0.53,screen,29
2.2,-0.39,0.08,-0.13,3.1,0.04,0.44,0.03,0.04,0.63,screen,30
2.7,-0.38,0.14,-0.08,2.9,0.05,0.54,0.02,0.05,0.64,screen,31
2.4,-0.37,0.1,-0.39,2.2,0.03,0.73,0.01,0.05,0.77,screen,32
2.5,-0.35,0.1,-0.23,2.7,0.04,0.61,0.02,0.04,0.69,screen,33
2.3,-0.38,0.09,-0.16,2.8,0.04,0.55,0.02,0.04,0.69,screen,34
2.2,-0.35,0.08,-0.41,2.6,0.03,0.65,0.02,0.05,0.72,screen,35
2.2,-0.34,0.08,-0.32,2.4,0.03,0.69,0.02,0.04,0.74,screen,36
2.1,-0.37,0.08,-0.24,2.2,0.03,0.75,0.01,0.04,0.79,screen,37
1.8,-0.43,0.06,-0.29,2.1,0.02,0.76,0.01,0.04,0.81,screen,38
1.9,-0.43,0.06,-0.32,1.9,0.02,0.79,0.01,0.04,0.83,screen,39
1.9,-0.44,0.06,-0.36,1.9,0.02,0.81,0.01,0.04,0.84,screen,40
1.8,-0.41,0.06,-0.36,2.0,0.02,0.8,0.01,0.04,0.83,screen,41
2.5,-0.34,0.12,0.03,3.2,0.04,0.43,0.03,0.04,0.63,screen,42
2.3,-0.38,0.1,-0.27,3.2,0.04,0.45,0.03,0.04,0.65,screen,43
2.3,-0.36,0.09,-0.29,2.7,0.03,0.59,0.02,0.04,0.73,screen,44
2.3,-0.36,0.11,-0.02,3.6,0.06,0.23,0.04,0.03,0.52,screen,45
2.2,-0.38,0.08,-0.21,2.4,0.03,0.67,0.02,0.04,0.75,screen,46
2.1,-0.38,0.08,-0.2,2.8,0.03,0.59,0.02,0.04,0.73,screen,47
3.3,-0.29,0.19,-0.17,3.6,0.07,0.24,0.04,0.05,0.53,screen,48
3.2,-0.32,0.22,0.21,4.3,0.08,0.12,0.04,0.05,0.46,screen,49
2.6,-0.35,0.12,-0.15,2.9,0.04,0.51,0.02,0.04,0.66,screen,50
