hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.6,-0.44,0.29,4.1,3.8,0.08,0.12,0.04,0.06,0.55,screen,1
4.5,-0.34,0.28,3.0,4.1,0.08,0.12,0.04,0.06,0.55,screen,2
4.5,-0.32,0.28,1.7,4.1,0.08,0.11,0.04,0.07,0.54,screen,3
4.1,-0.26,0.23,0.49,4.0,0.08,0.13,0.04,0.06,0.55,screen,4
3.8,-0.21,0.19,0.73,4.0,0.08,0.14,0.04,0.05,0.56,screen,5
3.5,-0.27,0.18,0.33,3.9,0.07,0.17,0.04,0.05,0.56,screen,6
3.9,-0.26,0.22,0.37,4.0,0.08,0.13,0.04,0.06,0.55,screen,7
4.0,-0.33,0.25,0.98,3.9,0.08,0.14,0.04,0.06,0.56,screen,8
4.0,-0.3,0.24,1.2,4.0,0.08,0.13,0.04,0.06,0.56,screen,9
4.2,-0.45,0.27,0.8,3.9,0.08,0.14,0.04,0.07,0.55,screen,10
3.9,-0.36,0.23,-0.23,4.0,0.07,0.16,0.04,0.06,0.57,screen,11
3.9,-0.36,0.22,0.6,3.7,0.07,0.17,0.04,0.06,0.57,screen,12
3.7,-0.37,0.2,-0.14,3.8,0.07,0.19,0.04,0.06,0.58,screen,13
3.9,-0.42,0.23,-0.37,3.9,0.07,0.16,0.04,0.07,0.57,screen,14
3.8,-0.36,0.21,-0.27,3.9,0.07,0.19,0.04,0.06,0.58,screen,15
3.7,-0.44,0.21,-0.29,4.0,0.07,0.16,0.04,0.06,0.57,screen,16
3.5,-0.39,0.19,-0.25,3.8,0.07,0.19,0.04,0.06,0.58,screen,17
3.3,-0.4,0.16,-0.32,3.9,0.07,0.15,0.04,0.05,0.55,screen,18
3.2,-0.52,0.16,-0.25,3.8,0.07,0.18,0.04,0.05,0.58,screen,19
2.7,-0.52,0.12,-0.17,3.7,0.07,0.19,0.04,0.04,0.58,screen,20
2.8,-0.56,0.12,-0.2,3.7,0.07,0.2,0.04,0.04,0.59,screen,21
2.6,-0.62,0.1,-0.18,3.5,0.06,0.25,0.04,0.04,0.61,screen,22
2.3,-0.7,0.08,-0.35,2.8,0.03,0.58,0.02,0.04,0.76,screen,23
2.3,-0.71,0.08,-0.14,2.9,0.04,0.53,0.02,0.04,0.73,screen,24
2.1,-0.77,0.08,-0.15,2.6,0.03,0.59,0.02,0.04,0.76,screen,25
3.1,-0.54,0.16,-0.11,3.7,0.06,0.21,0.04,0.05,0.59,screen,26
3.2,-0.56,0.17,-0.34,3.8,0.07,0.19,0.04,0.05,0.58,screen,27
3.1,-0.55,0.16,-0.14,4.0,0.07,0.15,0.04,0.05,0.56,screen,28
3.1,-0.58,0.17,-0.27,3.8,0.07,0.18,0.04,0.05,0.57,screen,29
3.1,-0.57,0.15,-0.27,3.7,0.07,0.2,0.04,0.05,0.58,screen,30
2.9,-0.57,0.15,-0.29,3.9,0.07,0.15,0.04,0.05,0.56,screen,31
2.8,-0.58,0.13,-0.25,3.7,0.06,0.23,0.04,0.04,0.6,screen,32
2.3,-0.73,0.08,-0.23,3.6,0.07,0.19,0.04,0.03,0.58,screen,33
2.5,-0.72,0.09,-0.22,3.7,0.06,0.21,0.04,0.03,0.59,screen,34
2.4,-0.72,0.08,-0.17,3.3,0.05,0.38,0.03,0.03,0.66,screen,35
2.6,-0.66,0.11,-0.18,3.6,0.06,0.23,0.04,0.04,0.6,screen,36
2.1,-0.82,0.06,-0.13,3.4,0.05,0.29,0.04,0.03,0.62,screen,37
2.1,-0.85,0.06,-0.15,3.3,0.05,0.32,0.03,0.02,0.63,screen,38
2.4,-0.73,0.08,-0.15,3.4,0.05,0.31,0.03,0.03,0.63,screen,39
2.7,-0.64,0.11,-0.04,3.5,0.06,0.23,0.04,0.04,0.59,screen,40
2.2,-0.8,0.07,-0.08,2.8,0.04,0.54,0.02,0.02,0.74,screen,41
2.2,-0.79,0.08,0.06,2.4,0.03,0.65,0.02,0.02,0.79,screen,42
2.3,-0.74,0.08,-0.13,2.9,0.04,0.53,0.02,0.03,0.72,screen,43
3.0,-0.62,0.16,0.34,3.8,0.06,0.21,0.04,0.05,0.59,screen,44
2.1,-0.82,0.07,-0.1,2.6,0.03,0.61,0.02,0.02,0.77,screen,45
3.3,-0.49,0.2,0.42,3.8,0.07,0.17,0.04,0.06,0.58,screen,46
2.8,-0.63,0.17,-0.3,3.8,0.07,0.17,0.04,0.05,0.57,screen,47
