hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.6,-0.5,0.3,2.7,4.2,0.08,0.1,0.04,0.07,0.53,screen,1
4.5,-0.45,0.3,4.4,3.9,0.08,0.14,0.04,0.07,0.54,screen,2
3.6,-0.68,0.23,1.4,3.7,0.07,0.17,0.04,0.05,0.56,screen,3
3.0,-0.76,0.17,0.59,3.9,0.07,0.17,0.04,0.05,0.55,screen,4
3.6,-0.68,0.21,0.99,3.9,0.07,0.16,0.04,0.05,0.56,screen,5
3.6,-0.68,0.22,-0.05,3.8,0.07,0.18,0.04,0.06,0.57,screen,6
3.4,-0.71,0.2,0.68,3.7,0.07,0.22,0.04,0.06,0.58,screen,7
3.5,-0.76,0.2,-0.03,4.1,0.08,0.14,0.04,0.06,0.54,screen,8
3.4,-0.89,0.2,-0.19,3.9,0.07,0.16,0.04,0.06,0.56,screen,9
3.4,-0.85,0.19,0.98,3.8,0.07,0.19,0.04,0.05,0.57,screen,10
3.3,-0.9,0.18,0.34,3.8,0.07,0.2,0.04,0.05,0.57,screen,11
2.7,-1.1,0.13,0.01,3.8,0.07,0.18,0.04,0.04,0.56,screen,12
2.9,-1.1,0.13,-0.02,3.7,0.06,0.2,0.04,0.04,0.57,screen,13
2.7,-1.1,0.13,0.05,3.5,0.06,0.24,0.04,0.04,0.59,screen,14
2.8,-1.0,0.13,0.32,3.9,0.07,0.15,0.04,0.04,0.55,screen,15
2.6,-1.2,0.11,0.07,3.6,0.06,0.21,0.04,0.03,0.58,screen,16
2.4,-1.2,0.09,0.12,3.3,0.06,0.28,0.04,0.03,0.61,screen,17
2.6,-1.1,0.13,0.16,3.5,0.06,0.23,0.04,0.04,0.58,screen,18
2.4,-1.1,0.11,0.13,3.2,0.05,0.31,0.03,0.03,0.63,screen,19
2.5,-1.2,0.12,-0.03,3.7,0.06,0.2,0.04,0.04,0.57,screen,20
2.4,-1.2,0.12,0.13,3.4,0.06,0.27,0.04,0.04,0.6,screen,21
2.2,-1.3,0.1,0.19,3.0,0.05,0.4,0.03,0.03,0.65,screen,22
2.3,-1.2,0.1,0.12,3.6,0.06,0.21,0.04,0.03,0.58,screen,23
2.9,-1.0,0.15,0.11,3.3,0.05,0.33,0.03,0.04,0.63,screen,24
2.1,-1.3,0.1,0.14,3.4,0.06,0.23,0.04,0.03,0.58,screen,25
2.3,-1.2,0.11,0.08,3.1,0.05,0.41,0.03,0.03,0.66,screen,26
2.4,-1.2,0.11,0.4,2.5,0.04,0.61,0.02,0.03,0.75,screen,27
2.2,-1.4,0.11,0.4,1.9,0.03,0.77,0.01,0.03,0.8,screen,28
2.4,-1.3,0.12,0.45,2.4,0.04,0.66,0.02,0.03,0.75,screen,29
2.1,-1.3,0.1,0.29,2.5,0.03,0.66,0.02,0.02,0.75,screen,30
2.2,-1.5,0.12,0.26,1.9,0.03,0.76,0.01,0.03,0.78,screen,31
2.2,-1.4,0.11,0.26,1.9,0.03,0.77,0.01,0.03,0.8,screen,32
2.4,-1.3,0.12,0.22,3.6,0.06,0.19,0.04,0.04,0.56,screen,33
2.2,-1.4,0.12,0.07,2.9,0.05,0.39,0.03,0.04,0.64,screen,34
2.2,-1.4,0.11,0.25,1.8,0.03,0.8,0.01,0.03,0.81,screen,35
2.2,-1.4,0.11,0.26,3.6,0.06,0.19,0.04,0.03,0.57,screen,36
2.1,-1.5,0.11,0.37,1.9,0.03,0.78,0.01,0.03,0.8,screen,37
2.3,-1.2,0.1,0.23,2.1,0.03,0.73,0.01,0.03,0.8,screen,38
2.3,-1.2,0.1,0.18,2.3,0.03,0.7,0.01,0.03,0.78,screen,39
2.1,-1.4,0.09,0.18,2.0,0.03,0.78,0.01,0.02,0.8,screen,40
