hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.5,-0.35,0.3,2.9,4.1,0.08,0.12,0.04,0.07,0.54,screen,1
4.8,-0.37,0.29,4.3,4.1,0.08,0.1,0.04,0.06,0.53,screen,2
5.1,-0.28,0.28,10.5,4.0,0.09,0.12,0.04,0.06,0.52,screen,3
4.4,-0.27,0.27,1.4,4.1,0.08,0.11,0.04,0.06,0.52,screen,4
3.5,-0.25,0.17,0.61,3.9,0.07,0.15,0.04,0.05,0.54,screen,5
3.2,-0.26,0.14,0.63,3.8,0.07,0.16,0.04,0.04,0.55,screen,6
2.8,-0.28,0.11,0.65,3.7,0.07,0.19,0.04,0.03,0.56,screen,7
2.2,-0.31,0.08,0.81,3.3,0.05,0.35,0.03,0.02,0.63,screen,8
2.6,-0.31,0.1,0.85,3.3,0.05,0.35,0.03,0.03,0.64,screen,9
2.5,-0.33,0.11,0.9,3.0,0.04,0.47,0.03,0.03,0.68,screen,10
3.1,-0.26,0.15,0.67,3.9,0.07,0.15,0.04,0.04,0.54,screen,11
2.5,-0.31,0.09,0.83,3.3,0.05,0.36,0.03,0.03,0.65,screen,12
2.3,-0.33,0.09,0.81,3.2,0.05,0.37,0.03,0.02,0.65,screen,13
2.4,-0.38,0.11,0.8,3.2,0.05,0.34,0.03,0.03,0.64,screen,14
2.3,-0.4,0.1,0.89,3.1,0.05,0.37,0.03,0.03,0.66,screen,15
2.2,-0.4,0.09,0.54,3.7,0.07,0.17,0.04,0.03,0.56,screen,16
2.3,-0.36,0.09,0.43,2.7,0.03,0.59,0.02,0.02,0.75,screen,17
2.3,-0.38,0.09,0.25,3.0,0.04,0.49,0.03,0.02,0.7,screen,18
2.2,-0.36,0.07,0.54,2.8,0.03,0.54,0.02,0.02,0.72,screen,19
2.2,-0.35,0.07,0.52,3.0,0.04,0.42,0.03,0.02,0.67,screen,20
2.2,-0.39,0.08,0.55,2.6,0.03,0.57,0.02,0.02,0.74,screen,21
2.1,-0.39,0.07,0.48,2.5,0.03,0.61,0.02,0.02,0.76,screen,22
1.9,-0.41,0.06,0.45,2.0,0.02,0.76,0.01,0.01,0.81,screen,23
2.0,-0.39,0.07,0.45,2.2,0.03,0.73,0.01,0.02,0.79,screen,24
1.9,-0.4,0.06,0.5,1.8,0.02,0.82,0.01,0.01,0.84,screen,25
2.0,-0.38,0.06,0.43,3.4,0.06,0.21,0.04,0.02,0.57,screen,26
1.8,-0.41,0.06,0.47,1.5,0.02,0.84,0.01,0.01,0.86,screen,27
1.7,-0.43,0.05,0.49,1.7,0.02,0.82,0.01,0.01,0.85,screen,28
1.7,-0.43,0.05,0.46,1.5,0.02,0.85,0.01,0.01,0.87,screen,29
1.8,-0.4,0.06,0.52,1.7,0.02,0.82,0.01,0.01,0.84,screen,30
1.8,-0.41,0.06,0.52,1.6,0.02,0.84,0.01,0.01,0.85,screen,31
1.8,-0.38,0.06,0.42,3.4,0.07,0.17,0.04,0.02,0.55,screen,32
3.2,-0.32,0.16,0.07,3.7,0.06,0.25,0.04,0.05,0.6,screen,33
3.5,-0.3,0.18,-0.12,4.0,0.07,0.16,0.04,0.05,0.55,screen,34
3.4,-0.31,0.15,0.2,3.1,0.05,0.45,0.03,0.04,0.64,screen,35
3.3,-0.34,0.21,0.52,2.1,0.05,0.73,0.01,0.05,0.69,screen,36
3.1,-0.32,0.13,0.23,3.5,0.05,0.35,0.03,0.04,0.62,screen,37
2.6,-0.35,0.09,0.41,2.2,0.03,0.73,0.01,0.02,0.76,screen,38
2.5,-0.33,0.09,0.39,2.6,0.04,0.6,0.02,0.03,0.74,screen,39
2.1,-0.35,0.07,0.58,2.6,0.04,0.53,0.02,0.02,0.73,screen,40
1.9,-0.41,0.06,0.43,1.7,0.02,0.82,0.01,0.01,0.85,screen,41
1.8,-0.42,0.05,0.46,1.7,0.02,0.81,0.01,0.01,0.85,screen,42
2.2,-0.37,0.06,0.44,2.2,0.03,0.69,0.02,0.02,0.8,screen,43
2.3,-0.34,0.07,0.41,2.4,0.03,0.63,0.02,0.02,0.77,screen,44
2.0,-0.38,0.07,0.47,1.7,0.02,0.83,0.01,0.01,0.84,screen,45
1.8,-0.41,0.06,0.44,1.6,0.02,0.84,0.01,0.01,0.86,screen,46
1.9,-0.41,0.06,0.45,2.0,0.02,0.78,0.01,0.01,0.81,screen,47
2.5,-0.34,0.1,0.25,2.1,0.03,0.74,0.01,0.03,0.77,screen,48
2.0,-0.39,0.07,0.43,1.6,0.02,0.82,0.01,0.01,0.85,screen,49
2.0,-0.37,0.07,0.41,1.9,0.02,0.78,0.01,0.02,0.83,screen,50
2.3,-0.31,0.08,0.34,3.6,0.07,0.18,0.04,0.03,0.55,refine,1
2.1,-0.34,0.07,0.38,3.2,0.06,0.26,0.04,0.02,0.6,refine,2
2.1,-0.33,0.07,0.48,2.2,0.03,0.71,0.01,0.02,0.78,refine,3
2.1,-0.35,0.07,0.49,2.2,0.03,0.69,0.02,0.02,0.79,refine,4
2.0,-0.34,0.07,0.42,3.4,0.06,0.2,0.04,0.02,0.56,refine,5
2.9,-0.31,0.17,0.19,3.3,0.06,0.34,0.03,0.04,0.59,refine,6
2.2,-0.33,0.07,0.34,3.5,0.06,0.21,0.04,0.02,0.57,refine,7
2.1,-0.36,0.07,0.41,3.2,0.05,0.29,0.04,0.02,0.61,refine,8
2.7,-0.32,0.17,0.5,2.2,0.05,0.73,0.01,0.03,0.67,refine,9
2.0,-0.38,0.07,0.46,2.0,0.02,0.77,0.01,0.01,0.81,refine,10
1.9,-0.38,0.06,0.47,2.7,0.04,0.44,0.03,0.02,0.67,refine,11
1.8,-0.41,0.05,0.42,2.1,0.02,0.74,0.01,0.01,0.81,refine,12
1.8,-0.36,0.06,0.41,2.7,0.04,0.42,0.03,0.02,0.66,refine,13
1.7,-0.41,0.05,0.43,1.9,0.02,0.78,0.01,0.01,0.82,refine,14
1.8,-0.39,0.06,0.43,2.1,0.02,0.77,0.01,0.01,0.82,refine,15
2.2,-0.32,0.08,0.33,3.2,0.05,0.36,0.03,0.02,0.64,refine,16
1.8,-0.39,0.06,0.41,2.1,0.02,0.74,0.01,0.01,0.81,refine,17
2.0,-0.36,0.06,0.37,3.1,0.06,0.28,0.04,0.02,0.6,refine,18
2.4,-0.31,0.1,0.31,3.5,0.06,0.25,0.04,0.03,0.59,refine,19
1.9,-0.34,0.06,0.43,2.1,0.03,0.75,0.01,0.01,0.8,refine,20
1.8,-0.38,0.06,0.43,1.8,0.02,0.81,0.01,0.01,0.84,refine,21
3.1,-0.3,0.18,0.5,1.9,0.05,0.79,0.01,0.04,0.71,refine,22
1.8,-0.38,0.06,0.44,1.9,0.02,0.8,0.01,0.01,0.83,refine,23
1.7,-0.41,0.05,0.42,1.8,0.02,0.8,0.01,0.01,0.84,refine,24
1.9,-0.36,0.06,0.39,2.0,0.02,0.77,0.01,0.01,0.82,refine,25
3.1,-0.31,0.14,0.38,2.3,0.04,0.72,0.01,0.04,0.72,anneal,1
1.8,-0.4,0.06,0.41,1.8,0.02,0.8,0.01,0.01,0.84,anneal,2
1.7,-0.42,0.05,0.42,1.9,0.02,0.8,0.01,0.01,0.84,anneal,3
1.8,-0.4,0.05,0.43,1.7,0.02,0.82,0.01,0.01,0.84,anneal,4
1.9,-0.39,0.06,0.37,1.9,0.02,0.79,0.01,0.01,0.82,anneal,5
1.9,-0.39,0.06,0.37,1.8,0.02,0.82,0.01,0.01,0.83,anneal,6
1.9,-0.37,0.06,0.42,2.0,0.02,0.75,0.01,0.01,0.81,anneal,7
1.8,-0.41,0.06,0.45,1.7,0.02,0.83,0.01,0.01,0.84,anneal,8
1.8,-0.4,0.05,0.41,1.9,0.02,0.8,0.01,0.01,0.82,anneal,9
2.8,-0.34,0.15,0.29,1.7,0.04,0.84,0.01,0.04,0.72,anneal,10
1.7,-0.44,0.05,0.46,1.7,0.02,0.84,0.01,0.01,0.86,anneal,11
3.3,-0.33,0.16,0.03,3.7,0.06,0.23,0.04,0.05,0.59,anneal,12
1.7,-0.43,0.05,0.43,1.6,0.02,0.84,0.01,0.01,0.86,anneal,13
1.7,-0.44,0.05,0.43,2.0,0.02,0.79,0.01,0.01,0.83,anneal,14
2.4,-0.33,0.1,0.33,3.8,0.07,0.18,0.04,0.03,0.56,anneal,15
1.8,-0.39,0.05,0.43,2.3,0.03,0.7,0.02,0.01,0.79,anneal,16
1.8,-0.36,0.06,0.32,3.6,0.06,0.22,0.04,0.02,0.58,anneal,17
3.3,-0.33,0.19,0.42,4.0,0.08,0.13,0.04,0.05,0.54,anneal,18
1.8,-0.36,0.06,0.32,3.0,0.05,0.37,0.03,0.02,0.65,anneal,19
1.7,-0.39,0.05,0.39,2.7,0.04,0.52,0.02,0.01,0.7,anneal,20
1.9,-0.35,0.06,0.29,3.8,0.07,0.15,0.04,0.02,0.55,anneal,21
1.7,-0.4,0.05,0.36,3.5,0.06,0.21,0.04,0.02,0.57,anneal,22
1.8,-0.36,0.05,0.3,3.8,0.07,0.17,0.04,0.02,0.55,anneal,23
2.4,-0.33,0.11,0.28,3.4,0.06,0.3,0.04,0.03,0.6,anneal,24
1.8,-0.38,0.05,0.33,3.5,0.06,0.21,0.04,0.02,0.57,anneal,25
2.8,-0.35,0.16,0.26,3.8,0.07,0.19,0.04,0.04,0.57,anneal,26
2.4,-0.34,0.09,0.28,3.7,0.06,0.2,0.04,0.03,0.57,anneal,27
2.7,-0.31,0.14,0.1,3.9,0.07,0.17,0.04,0.04,0.56,anneal,28
2.0,-0.37,0.06,0.25,3.5,0.06,0.23,0.04,0.02,0.59,anneal,29
1.9,-0.37,0.06,0.28,3.5,0.06,0.23,0.04,0.02,0.58,anneal,30
1.9,-0.39,0.06,0.33,2.0,0.02,0.74,0.01,0.01,0.81,anneal,31
3.4,-0.33,0.19,0.31,4.1,0.08,0.15,0.04,0.05,0.55,anneal,32
2.8,-0.31,0.14,0.29,3.9,0.07,0.16,0.04,0.04,0.56,anneal,33
3.4,-0.31,0.18,0.19,3.8,0.07,0.18,0.04,0.05,0.57,anneal,34
3.5,-0.32,0.19,0.19,3.9,0.07,0.16,0.04,0.05,0.56,anneal,35
3.5,-0.31,0.19,-0.12,4.0,0.08,0.14,0.04,0.05,0.55,anneal,36
3.6,-0.32,0.2,0.16,4.0,0.07,0.15,0.04,0.05,0.55,anneal,37
2.0,-0.35,0.06,0.29,3.5,0.06,0.22,0.04,0.02,0.58,anneal,38
2.2,-0.33,0.07,0.22,3.8,0.07,0.15,0.04,0.03,0.55,anneal,39
2.3,-0.33,0.08,0.26,3.5,0.06,0.23,0.04,0.03,0.58,anneal,40
3.5,-0.33,0.2,0.35,4.0,0.07,0.15,0.04,0.05,0.55,anneal,41
3.5,-0.32,0.19,0.11,4.0,0.07,0.15,0.04,0.05,0.55,anneal,42
2.0,-0.36,0.06,0.29,3.5,0.06,0.22,0.04,0.02,0.58,anneal,43
2.2,-0.34,0.07,0.25,3.6,0.07,0.19,0.04,0.02,0.56,anneal,44
2.0,-0.36,0.06,0.28,3.4,0.06,0.26,0.04,0.02,0.6,anneal,45
2.6,-0.32,0.11,0.42,3.6,0.06,0.22,0.04,0.04,0.58,harden,1
3.2,-0.35,0.17,0.16,3.9,0.07,0.16,0.04,0.05,0.56,harden,2
2.8,-0.3,0.14,0.31,3.6,0.06,0.23,0.04,0.04,0.59,harden,3
3.5,-0.33,0.19,0.04,3.8,0.07,0.18,0.04,0.06,0.57,harden,4
2.7,-0.39,0.13,0.14,3.8,0.07,0.16,0.04,0.04,0.56,harden,5
