hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.8,-0.58,0.33,4.6,4.3,0.09,0.09,0.05,0.07,0.49,screen,1
4.5,-0.31,0.29,4.1,4.2,0.08,0.13,0.04,0.06,0.5,screen,2
5.1,-0.27,0.26,16.7,3.6,0.08,0.25,0.04,0.04,0.51,screen,3
4.1,-0.24,0.25,2.6,4.3,0.08,0.1,0.05,0.06,0.5,screen,4
4.0,-0.29,0.24,0.12,4.2,0.08,0.13,0.04,0.06,0.5,screen,5
3.8,-0.29,0.22,0.21,4.1,0.07,0.15,0.04,0.06,0.52,screen,6
3.8,-0.3,0.22,0.28,4.1,0.08,0.15,0.04,0.06,0.52,screen,7
3.7,-0.33,0.23,-0.07,4.0,0.08,0.14,0.04,0.06,0.51,screen,8
3.7,-0.32,0.21,-0.04,3.9,0.07,0.16,0.04,0.06,0.53,screen,9
3.7,-0.37,0.22,-0.22,3.9,0.07,0.16,0.04,0.06,0.52,screen,10
3.6,-0.38,0.21,-0.31,4.0,0.08,0.14,0.04,0.06,0.51,screen,11
3.2,-0.39,0.18,-0.07,3.8,0.07,0.18,0.04,0.05,0.53,screen,12
3.7,-0.37,0.21,-0.02,4.0,0.08,0.14,0.04,0.06,0.51,screen,13
3.5,-0.37,0.2,-0.22,4.1,0.07,0.15,0.04,0.06,0.52,screen,14
2.9,-0.39,0.16,-0.22,3.9,0.08,0.15,0.04,0.05,0.51,screen,15
2.8,-0.41,0.16,-0.19,3.9,0.07,0.16,0.04,0.04,0.52,screen,16
2.7,-0.43,0.15,-0.09,3.7,0.07,0.2,0.04,0.04,0.54,screen,17
2.8,-0.41,0.19,-0.19,3.9,0.08,0.13,0.04,0.04,0.51,screen,18
2.6,-0.44,0.17,0.2,3.4,0.07,0.25,0.04,0.04,0.55,screen,19
2.8,-0.43,0.19,0.12,3.7,0.07,0.18,0.04,0.05,0.54,screen,20
2.4,-0.49,0.16,0.42,2.9,0.05,0.54,0.02,0.04,0.64,screen,21
2.4,-0.48,0.15,0.25,2.8,0.05,0.57,0.02,0.04,0.66,screen,22
2.7,-0.43,0.17,0.1,3.6,0.07,0.17,0.04,0.04,0.53,screen,23
2.4,-0.51,0.13,0.1,3.6,0.07,0.17,0.04,0.03,0.53,screen,24
3.3,-0.44,0.21,0.52,3.9,0.07,0.16,0.04,0.05,0.52,screen,25
2.5,-0.46,0.12,-0.02,3.6,0.06,0.21,0.04,0.03,0.54,screen,26
3.2,-0.44,0.21,-0.16,4.0,0.08,0.13,0.04,0.05,0.51,screen,27
2.1,-0.6,0.08,0.06,3.3,0.06,0.2,0.04,0.03,0.55,screen,28
2.1,-0.59,0.08,-0.05,3.3,0.06,0.22,0.04,0.02,0.55,screen,29
1.7,-0.68,0.06,0.03,3.4,0.06,0.19,0.04,0.02,0.53,screen,30
1.7,-0.71,0.06,-0.03,3.3,0.06,0.23,0.04,0.02,0.55,screen,31
1.8,-0.71,0.06,-0.07,3.2,0.05,0.25,0.04,0.02,0.57,screen,32
1.7,-0.72,0.05,-0.08,3.2,0.05,0.25,0.04,0.02,0.56,screen,33
