hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.7,-0.33,0.3,1.2,4.0,0.08,0.12,0.04,0.07,0.51,screen,1
5.0,-0.13,0.26,4.6,4.2,0.09,0.1,0.05,0.05,0.49,screen,2
4.8,-0.26,0.27,5.7,4.0,0.08,0.13,0.04,0.05,0.5,screen,3
4.1,-0.29,0.26,5.8,3.9,0.08,0.14,0.04,0.06,0.52,screen,4
4.5,-0.29,0.29,3.6,4.0,0.08,0.12,0.04,0.06,0.5,screen,5
4.4,-0.28,0.27,1.9,4.1,0.08,0.12,0.04,0.06,0.5,screen,6
4.2,-0.37,0.26,0.25,4.1,0.08,0.14,0.04,0.07,0.51,screen,7
3.8,-0.24,0.22,-0.07,3.8,0.07,0.2,0.04,0.06,0.54,screen,8
3.9,-0.26,0.23,-0.07,4.1,0.08,0.14,0.04,0.06,0.51,screen,9
3.8,-0.26,0.21,-0.02,4.1,0.08,0.15,0.04,0.06,0.52,screen,10
3.7,-0.26,0.2,-0.02,4.1,0.08,0.13,0.04,0.06,0.5,screen,11
3.4,-0.3,0.17,0.09,3.6,0.06,0.29,0.04,0.05,0.59,screen,12
3.4,-0.29,0.17,-0.09,4.0,0.07,0.16,0.04,0.05,0.53,screen,13
3.3,-0.29,0.16,-0.09,3.9,0.07,0.16,0.04,0.05,0.52,screen,14
3.3,-0.29,0.15,-0.12,3.9,0.07,0.17,0.04,0.05,0.52,screen,15
2.9,-0.33,0.1,-0.02,3.8,0.07,0.21,0.04,0.04,0.54,screen,16
2.6,-0.36,0.09,-0.06,3.7,0.06,0.22,0.04,0.03,0.55,screen,17
2.3,-0.39,0.07,-0.01,3.5,0.06,0.24,0.04,0.03,0.56,screen,18
2.0,-0.46,0.05,-0.05,3.3,0.05,0.28,0.04,0.02,0.58,screen,19
2.2,-0.43,0.06,-0.06,3.4,0.05,0.31,0.03,0.02,0.59,screen,20
2.1,-0.44,0.06,-0.05,3.5,0.06,0.26,0.04,0.02,0.57,screen,21
2.7,-0.33,0.1,-0.21,3.6,0.06,0.24,0.04,0.03,0.56,screen,22
2.0,-0.47,0.05,-0.03,2.6,0.03,0.66,0.02,0.01,0.77,screen,23
1.9,-0.48,0.05,-0.06,3.2,0.05,0.32,0.03,0.02,0.6,screen,24
2.0,-0.47,0.05,-0.06,3.1,0.05,0.39,0.03,0.02,0.64,screen,25
2.3,-0.44,0.06,0.04,2.4,0.03,0.64,0.02,0.02,0.74,screen,26
2.0,-0.47,0.05,0.02,2.3,0.03,0.68,0.02,0.01,0.77,screen,27
3.2,-0.31,0.16,-0.18,3.8,0.07,0.17,0.04,0.05,0.53,screen,28
2.0,-0.49,0.05,-0.03,3.2,0.05,0.29,0.04,0.02,0.59,screen,29
2.0,-0.46,0.05,0.02,3.5,0.06,0.21,0.04,0.02,0.54,screen,30
1.7,-0.51,0.04,-0.03,2.8,0.03,0.56,0.02,0.01,0.73,screen,31
1.8,-0.53,0.04,0.0,2.0,0.02,0.78,0.01,0.01,0.84,screen,32
1.6,-0.54,0.04,-0.01,2.4,0.02,0.69,0.02,0.01,0.8,screen,33
1.9,-0.46,0.05,-0.02,2.4,0.03,0.68,0.02,0.01,0.78,screen,34
1.8,-0.48,0.05,0.01,2.2,0.02,0.73,0.01,0.01,0.81,screen,35
2.0,-0.42,0.06,-0.0,2.2,0.02,0.72,0.01,0.02,0.81,screen,36
1.6,-0.58,0.03,-0.04,2.1,0.02,0.77,0.01,0.01,0.84,screen,37
1.6,-0.57,0.03,-0.05,2.2,0.02,0.73,0.01,0.01,0.81,screen,38
2.7,-0.32,0.11,0.13,3.0,0.04,0.5,0.02,0.03,0.67,screen,39
1.7,-0.56,0.04,-0.03,2.6,0.03,0.65,0.02,0.01,0.77,screen,40
1.7,-0.55,0.04,-0.05,2.6,0.03,0.59,0.02,0.01,0.74,screen,41
2.0,-0.48,0.05,-0.04,2.9,0.03,0.57,0.02,0.01,0.73,screen,42
1.6,-0.56,0.04,-0.01,2.2,0.02,0.74,0.01,0.01,0.83,screen,43
1.8,-0.51,0.04,-0.02,2.4,0.02,0.72,0.01,0.01,0.82,screen,44
1.9,-0.49,0.04,-0.05,2.8,0.03,0.56,0.02,0.01,0.72,screen,45
1.7,-0.54,0.04,-0.07,2.6,0.03,0.61,0.02,0.01,0.75,screen,46
3.4,-0.29,0.19,0.12,3.9,0.07,0.18,0.04,0.05,0.53,screen,47
1.7,-0.54,0.04,-0.05,2.5,0.03,0.63,0.02,0.01,0.76,screen,48
1.8,-0.5,0.04,-0.04,2.4,0.02,0.69,0.02,0.01,0.8,screen,49
2.6,-0.34,0.09,-0.03,3.1,0.04,0.5,0.03,0.03,0.69,screen,50
3.8,-0.24,0.23,0.74,3.6,0.07,0.29,0.04,0.05,0.55,refine,1
3.7,-0.24,0.2,0.2,3.9,0.07,0.18,0.04,0.05,0.53,refine,2
3.1,-0.27,0.14,0.31,3.7,0.07,0.22,0.04,0.04,0.55,refine,3
3.3,-0.27,0.17,0.07,3.9,0.07,0.19,0.04,0.05,0.54,refine,4
3.3,-0.29,0.18,0.19,3.9,0.07,0.18,0.04,0.05,0.53,refine,5
2.9,-0.29,0.14,0.44,3.3,0.05,0.37,0.03,0.04,0.61,refine,6
3.0,-0.27,0.14,0.25,3.8,0.07,0.19,0.04,0.04,0.53,refine,7
3.3,-0.25,0.17,0.2,3.8,0.07,0.21,0.04,0.05,0.55,refine,8
3.0,-0.26,0.13,0.29,3.6,0.06,0.25,0.04,0.04,0.57,refine,9
2.6,-0.26,0.1,0.47,3.3,0.05,0.35,0.03,0.03,0.61,refine,10
2.9,-0.27,0.14,0.26,3.7,0.07,0.22,0.04,0.04,0.55,refine,11
2.4,-0.27,0.09,0.55,3.2,0.05,0.37,0.03,0.03,0.63,refine,12
3.3,-0.25,0.18,-0.16,3.9,0.07,0.16,0.04,0.05,0.53,refine,13
2.3,-0.27,0.08,0.47,3.0,0.04,0.5,0.03,0.03,0.67,refine,14
2.6,-0.27,0.1,0.41,3.4,0.05,0.34,0.03,0.03,0.61,refine,15
2.1,-0.3,0.07,0.48,3.0,0.04,0.43,0.03,0.02,0.66,refine,16
2.6,-0.23,0.09,0.12,4.0,0.08,0.14,0.04,0.03,0.51,refine,17
2.9,-0.21,0.16,1.6,3.0,0.05,0.51,0.02,0.04,0.65,refine,18
2.5,-0.28,0.1,0.44,3.1,0.05,0.43,0.03,0.03,0.66,refine,19
2.9,-0.23,0.14,0.57,3.2,0.05,0.43,0.03,0.04,0.63,refine,20
2.6,-0.27,0.13,0.47,3.3,0.05,0.41,0.03,0.04,0.62,refine,21
2.5,-0.25,0.1,0.63,3.7,0.07,0.23,0.04,0.03,0.56,refine,22
2.6,-0.19,0.14,2.0,3.7,0.07,0.21,0.04,0.03,0.55,refine,23
2.2,-0.28,0.09,0.61,2.5,0.03,0.67,0.02,0.02,0.74,refine,24
2.2,-0.27,0.08,0.55,2.6,0.03,0.64,0.02,0.02,0.72,refine,25
2.3,-0.27,0.08,0.52,2.5,0.03,0.68,0.02,0.02,0.75,anneal,1
2.4,-0.26,0.09,0.59,2.5,0.03,0.66,0.02,0.03,0.73,anneal,2
2.1,-0.32,0.07,0.47,2.5,0.03,0.64,0.02,0.02,0.74,anneal,3
3.0,-0.28,0.15,0.23,3.6,0.06,0.3,0.03,0.04,0.57,anneal,4
2.7,-0.28,0.11,0.41,3.2,0.05,0.46,0.03,0.03,0.65,anneal,5
2.1,-0.31,0.07,0.48,2.4,0.03,0.7,0.02,0.02,0.77,anneal,6
3.6,-0.22,0.21,1.1,3.9,0.07,0.18,0.04,0.05,0.53,anneal,7
2.9,-0.26,0.12,0.37,3.4,0.05,0.35,0.03,0.03,0.62,anneal,8
2.7,-0.3,0.12,0.34,3.4,0.05,0.37,0.03,0.03,0.63,anneal,9
2.1,-0.31,0.07,0.49,2.3,0.03,0.73,0.01,0.02,0.78,anneal,10
1.9,-0.34,0.07,0.45,2.3,0.03,0.73,0.01,0.02,0.79,anneal,11
1.9,-0.34,0.07,0.46,2.2,0.03,0.76,0.01,0.02,0.81,anneal,12
2.5,-0.3,0.11,0.41,3.1,0.04,0.51,0.02,0.03,0.67,anneal,13
2.6,-0.29,0.1,0.39,2.5,0.04,0.69,0.02,0.03,0.73,anneal,14
2.6,-0.29,0.1,0.38,2.5,0.04,0.69,0.02,0.03,0.7,anneal,15
2.6,-0.31,0.09,0.33,2.4,0.03,0.72,0.01,0.03,0.73,anneal,16
2.2,-0.32,0.07,0.37,1.9,0.03,0.81,0.01,0.02,0.8,anneal,17
2.0,-0.38,0.06,0.36,2.0,0.02,0.8,0.01,0.01,0.81,anneal,18
1.8,-0.38,0.05,0.45,1.8,0.02,0.82,0.01,0.01,0.85,anneal,19
2.0,-0.36,0.05,0.39,2.1,0.02,0.77,0.01,0.01,0.8,anneal,20
1.8,-0.4,0.04,0.42,2.0,0.02,0.8,0.01,0.01,0.84,anneal,21
1.8,-0.4,0.05,0.41,2.0,0.02,0.79,0.01,0.01,0.83,anneal,22
2.1,-0.34,0.06,0.42,2.1,0.02,0.76,0.01,0.01,0.8,anneal,23
1.9,-0.37,0.05,0.39,2.4,0.02,0.71,0.01,0.01,0.78,anneal,24
1.9,-0.36,0.05,0.37,2.3,0.02,0.74,0.01,0.01,0.79,anneal,25
2.0,-0.37,0.05,0.42,2.2,0.02,0.76,0.01,0.01,0.8,anneal,26
1.8,-0.36,0.05,0.38,2.3,0.02,0.72,0.01,0.01,0.79,anneal,27
1.9,-0.35,0.05,0.37,2.5,0.03,0.66,0.02,0.01,0.78,anneal,28
1.9,-0.34,0.05,0.41,2.1,0.02,0.78,0.01,0.01,0.82,anneal,29
1.9,-0.34,0.05,0.38,2.4,0.03,0.68,0.02,0.01,0.76,anneal,30
1.9,-0.34,0.05,0.37,2.4,0.03,0.7,0.01,0.01,0.78,anneal,31
1.9,-0.35,0.05,0.39,2.2,0.02,0.75,0.01,0.01,0.8,anneal,32
2.2,-0.32,0.06,0.34,2.0,0.02,0.77,0.01,0.02,0.8,anneal,33
1.9,-0.35,0.05,0.42,2.5,0.03,0.68,0.02,0.01,0.77,anneal,34
2.1,-0.31,0.06,0.4,2.7,0.03,0.61,0.02,0.02,0.74,anneal,35
1.9,-0.34,0.05,0.38,2.5,0.03,0.69,0.02,0.01,0.77,anneal,36
2.0,-0.34,0.05,0.39,2.3,0.02,0.74,0.01,0.01,0.8,anneal,37
1.9,-0.34,0.05,0.36,2.4,0.03,0.7,0.01,0.01,0.77,anneal,38
1.9,-0.34,0.05,0.38,2.4,0.03,0.73,0.01,0.01,0.78,anneal,39
1.8,-0.34,0.05,0.4,2.2,0.02,0.75,0.01,0.01,0.8,anneal,40
3.4,-0.24,0.16,0.23,3.2,0.06,0.45,0.03,0.04,0.61,anneal,41
