hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.5,-0.53,0.33,3.9,4.4,0.09,0.1,0.04,0.08,0.47,screen,1
4.5,-0.44,0.32,3.2,4.2,0.09,0.1,0.05,0.07,0.47,screen,2
4.4,-0.48,0.29,2.1,3.9,0.08,0.15,0.04,0.07,0.48,screen,3
3.8,-0.27,0.24,0.49,4.1,0.08,0.15,0.04,0.06,0.48,screen,4
3.5,-0.26,0.2,0.47,4.0,0.07,0.17,0.04,0.05,0.5,screen,5
3.4,-0.22,0.18,-0.16,4.0,0.08,0.15,0.04,0.05,0.49,screen,6
3.3,-0.25,0.18,0.2,4.1,0.08,0.14,0.04,0.05,0.48,screen,7
3.2,-0.24,0.15,0.06,4.1,0.08,0.15,0.04,0.04,0.48,screen,8
3.1,-0.25,0.15,0.08,4.2,0.08,0.12,0.04,0.04,0.47,screen,9
2.5,-0.28,0.11,0.18,3.7,0.07,0.21,0.04,0.03,0.52,screen,10
2.7,-0.25,0.1,0.2,3.5,0.06,0.26,0.04,0.03,0.55,screen,11
2.2,-0.29,0.08,0.2,3.5,0.06,0.25,0.04,0.02,0.55,screen,12
2.3,-0.29,0.08,0.18,2.9,0.04,0.44,0.03,0.02,0.65,screen,13
2.2,-0.28,0.09,0.17,3.4,0.06,0.29,0.04,0.02,0.57,screen,14
2.0,-0.29,0.08,0.32,3.2,0.05,0.37,0.03,0.02,0.63,screen,15
2.0,-0.32,0.06,0.17,3.4,0.05,0.33,0.03,0.02,0.62,screen,16
1.8,-0.35,0.06,0.35,2.5,0.03,0.59,0.02,0.01,0.74,screen,17
1.7,-0.34,0.05,0.35,2.9,0.04,0.43,0.03,0.01,0.67,screen,18
2.8,-0.27,0.15,0.34,3.8,0.07,0.18,0.04,0.04,0.51,screen,19
2.1,-0.31,0.09,0.43,3.7,0.07,0.2,0.04,0.03,0.51,screen,20
1.7,-0.36,0.05,0.34,3.4,0.06,0.27,0.04,0.02,0.59,screen,21
1.7,-0.36,0.05,0.33,2.6,0.03,0.69,0.02,0.01,0.78,screen,22
2.0,-0.34,0.07,0.33,2.9,0.04,0.63,0.02,0.02,0.72,screen,23
2.0,-0.33,0.07,0.37,2.7,0.03,0.68,0.02,0.02,0.74,screen,24
2.8,-0.29,0.18,0.28,3.8,0.07,0.21,0.04,0.05,0.52,screen,25
2.6,-0.28,0.11,0.2,3.8,0.07,0.2,0.04,0.03,0.51,screen,26
2.4,-0.31,0.1,0.26,3.8,0.06,0.2,0.04,0.03,0.51,screen,27
2.9,-0.28,0.12,0.27,3.3,0.05,0.37,0.03,0.03,0.61,screen,28
2.4,-0.34,0.1,0.21,3.5,0.06,0.24,0.04,0.03,0.54,screen,29
2.2,-0.37,0.08,0.3,3.4,0.05,0.37,0.03,0.02,0.59,screen,30
1.9,-0.38,0.06,0.31,2.7,0.03,0.63,0.02,0.01,0.74,screen,31
1.8,-0.41,0.05,0.26,3.1,0.05,0.33,0.03,0.02,0.61,screen,32
1.8,-0.43,0.05,0.34,2.4,0.03,0.73,0.01,0.01,0.78,screen,33
1.7,-0.44,0.05,0.39,2.1,0.02,0.77,0.01,0.01,0.81,screen,34
1.8,-0.42,0.05,0.3,2.8,0.04,0.49,0.03,0.01,0.69,screen,35
1.7,-0.45,0.05,0.29,2.6,0.03,0.62,0.02,0.01,0.74,screen,36
1.7,-0.45,0.05,0.27,2.0,0.02,0.78,0.01,0.01,0.82,screen,37
1.7,-0.45,0.05,0.3,1.7,0.02,0.83,0.01,0.01,0.85,screen,38
1.7,-0.47,0.05,0.29,3.0,0.04,0.4,0.03,0.01,0.66,screen,39
1.7,-0.46,0.05,0.3,3.3,0.06,0.27,0.04,0.02,0.59,screen,40
1.7,-0.4,0.06,0.33,1.7,0.02,0.83,0.01,0.01,0.85,screen,41
1.8,-0.42,0.06,0.33,1.7,0.02,0.82,0.01,0.01,0.85,screen,42
1.9,-0.39,0.06,0.27,3.5,0.06,0.23,0.04,0.02,0.55,screen,43
1.8,-0.43,0.05,0.3,3.2,0.05,0.34,0.03,0.02,0.63,screen,44
1.8,-0.41,0.05,0.27,2.9,0.04,0.42,0.03,0.01,0.66,screen,45
1.9,-0.4,0.06,0.25,2.8,0.04,0.47,0.03,0.02,0.67,screen,46
2.2,-0.3,0.09,0.32,3.2,0.05,0.36,0.03,0.03,0.59,screen,47
1.7,-0.45,0.05,0.3,2.5,0.03,0.63,0.02,0.01,0.77,screen,48
1.7,-0.44,0.05,0.33,2.2,0.03,0.72,0.01,0.01,0.8,screen,49
1.7,-0.44,0.06,0.3,2.5,0.03,0.6,0.02,0.01,0.74,screen,50
2.2,-0.3,0.12,0.29,3.9,0.07,0.18,0.04,0.04,0.51,refine,1
2.3,-0.33,0.09,0.45,2.8,0.04,0.61,0.02,0.03,0.67,refine,2
1.8,-0.43,0.05,0.3,2.7,0.04,0.61,0.02,0.01,0.73,refine,3
1.7,-0.42,0.05,0.34,2.1,0.02,0.77,0.01,0.01,0.81,refine,4
1.8,-0.45,0.05,0.36,2.3,0.03,0.73,0.01,0.01,0.79,refine,5
1.6,-0.45,0.05,0.32,2.6,0.03,0.64,0.02,0.01,0.76,refine,6
1.8,-0.43,0.06,0.39,2.1,0.03,0.76,0.01,0.01,0.8,refine,7
1.6,-0.46,0.05,0.37,1.9,0.02,0.79,0.01,0.01,0.82,refine,8
1.8,-0.39,0.06,0.25,3.4,0.06,0.25,0.04,0.02,0.58,refine,9
1.6,-0.48,0.04,0.3,1.9,0.02,0.81,0.01,0.01,0.84,refine,10
1.6,-0.45,0.05,0.31,1.8,0.02,0.81,0.01,0.01,0.84,refine,11
1.6,-0.47,0.04,0.34,1.8,0.02,0.81,0.01,0.01,0.85,refine,12
2.2,-0.34,0.07,0.41,3.0,0.05,0.35,0.03,0.02,0.6,refine,13
1.6,-0.42,0.05,0.4,1.8,0.02,0.83,0.01,0.01,0.85,refine,14
1.8,-0.39,0.06,0.43,1.9,0.02,0.82,0.01,0.01,0.84,refine,15
1.7,-0.45,0.05,0.39,2.2,0.03,0.73,0.01,0.01,0.81,refine,16
2.0,-0.36,0.06,0.3,1.9,0.02,0.8,0.01,0.02,0.82,refine,17
1.9,-0.4,0.06,0.41,2.1,0.03,0.78,0.01,0.02,0.8,refine,18
1.6,-0.45,0.04,0.32,1.8,0.02,0.82,0.01,0.01,0.86,refine,19
1.8,-0.41,0.05,0.37,1.9,0.02,0.8,0.01,0.01,0.83,refine,20
3.0,-0.26,0.2,0.54,2.8,0.06,0.56,0.02,0.05,0.58,refine,21
1.7,-0.43,0.05,0.38,1.7,0.02,0.83,0.01,0.01,0.85,refine,22
1.6,-0.44,0.05,0.42,1.8,0.02,0.81,0.01,0.01,0.84,refine,23
1.7,-0.45,0.05,0.4,2.2,0.03,0.74,0.01,0.01,0.79,refine,24
1.6,-0.49,0.04,0.41,2.0,0.02,0.78,0.01,0.01,0.83,refine,25
2.3,-0.31,0.08,0.35,2.3,0.03,0.72,0.01,0.02,0.75,anneal,1
1.8,-0.43,0.05,0.25,3.3,0.06,0.26,0.04,0.02,0.58,anneal,2
2.2,-0.38,0.07,0.23,3.2,0.06,0.3,0.04,0.02,0.57,anneal,3
1.7,-0.46,0.04,0.33,3.2,0.05,0.34,0.03,0.01,0.64,anneal,4
1.8,-0.42,0.05,0.29,3.1,0.05,0.35,0.03,0.02,0.62,anneal,5
1.8,-0.41,0.06,0.36,1.9,0.02,0.8,0.01,0.01,0.83,anneal,6
2.5,-0.33,0.18,0.35,3.9,0.07,0.17,0.04,0.04,0.5,anneal,7
1.8,-0.39,0.06,0.23,3.5,0.06,0.22,0.04,0.02,0.56,anneal,8
2.2,-0.4,0.11,0.17,3.7,0.07,0.19,0.04,0.02,0.5,anneal,9
1.6,-0.48,0.04,0.23,1.9,0.02,0.81,0.01,0.01,0.85,anneal,10
2.1,-0.55,0.12,0.78,3.5,0.06,0.26,0.04,0.02,0.54,anneal,11
2.1,-0.38,0.08,0.15,3.5,0.06,0.24,0.04,0.02,0.54,anneal,12
2.4,-0.43,0.12,0.25,3.8,0.07,0.19,0.04,0.03,0.5,anneal,13
2.4,-0.41,0.13,0.73,3.8,0.07,0.18,0.04,0.03,0.5,anneal,14
2.2,-0.49,0.11,0.37,3.5,0.06,0.27,0.04,0.03,0.55,anneal,15
2.2,-0.49,0.11,0.19,3.6,0.06,0.24,0.04,0.03,0.53,anneal,16
2.1,-0.52,0.11,0.43,3.2,0.05,0.37,0.03,0.02,0.59,anneal,17
2.2,-0.5,0.11,0.11,3.6,0.07,0.23,0.04,0.03,0.52,anneal,18
2.1,-0.49,0.11,0.17,3.5,0.06,0.23,0.04,0.02,0.53,anneal,19
2.0,-0.54,0.1,0.13,3.3,0.05,0.32,0.03,0.02,0.57,anneal,20
2.1,-0.5,0.11,0.21,3.5,0.06,0.23,0.04,0.02,0.53,anneal,21
2.5,-0.48,0.15,0.18,3.7,0.06,0.23,0.04,0.04,0.54,anneal,22
2.4,-0.48,0.12,0.12,3.6,0.06,0.26,0.04,0.03,0.54,anneal,23
2.0,-0.51,0.1,0.09,3.5,0.06,0.24,0.04,0.02,0.53,anneal,24
2.4,-0.51,0.13,0.53,3.9,0.07,0.15,0.04,0.03,0.49,anneal,25
2.5,-0.48,0.13,0.32,4.1,0.07,0.17,0.04,0.04,0.5,anneal,26
2.7,-0.44,0.19,0.16,4.0,0.07,0.16,0.04,0.04,0.5,anneal,27
2.6,-0.48,0.14,0.26,3.8,0.06,0.22,0.04,0.04,0.53,anneal,28
2.6,-0.5,0.15,0.58,3.9,0.07,0.2,0.04,0.04,0.51,anneal,29
2.4,-0.51,0.12,0.21,3.6,0.06,0.28,0.04,0.03,0.57,anneal,30
2.0,-0.54,0.1,0.19,3.5,0.06,0.25,0.04,0.02,0.54,anneal,31
2.3,-0.48,0.11,0.2,3.7,0.06,0.22,0.04,0.03,0.53,anneal,32
2.2,-0.49,0.11,0.27,3.7,0.06,0.21,0.04,0.03,0.52,anneal,33
2.3,-0.46,0.12,0.22,3.8,0.07,0.19,0.04,0.03,0.51,anneal,34
2.3,-0.48,0.11,0.17,3.4,0.06,0.29,0.04,0.03,0.57,anneal,35
2.1,-0.43,0.09,0.33,3.4,0.06,0.25,0.04,0.02,0.55,anneal,36
2.2,-0.53,0.11,0.19,3.6,0.06,0.24,0.04,0.03,0.54,anneal,37
2.7,-0.44,0.14,0.21,3.8,0.07,0.2,0.04,0.04,0.52,anneal,38
2.3,-0.47,0.12,0.21,3.6,0.06,0.24,0.04,0.03,0.55,anneal,39
2.2,-0.51,0.11,0.2,3.6,0.06,0.22,0.04,0.03,0.52,anneal,40
2.1,-0.52,0.11,0.21,3.6,0.06,0.21,0.04,0.03,0.52,anneal,41
2.6,-0.46,0.15,0.78,3.8,0.07,0.21,0.04,0.04,0.52,anneal,42
2.3,-0.48,0.12,0.2,3.7,0.06,0.23,0.04,0.03,0.54,anneal,43
2.2,-0.51,0.12,0.22,3.7,0.07,0.2,0.04,0.03,0.52,anneal,44
2.3,-0.48,0.11,0.17,3.5,0.06,0.26,0.04,0.03,0.55,anneal,45
2.1,-0.39,0.09,0.1,3.5,0.06,0.22,0.04,0.02,0.54,harden,1
2.0,-0.37,0.07,0.23,2.8,0.03,0.6,0.02,0.02,0.72,harden,2
2.3,-0.34,0.08,0.23,3.0,0.04,0.48,0.03,0.03,0.66,harden,3
2.3,-0.33,0.09,0.21,3.2,0.05,0.38,0.03,0.03,0.61,harden,4
1.8,-0.41,0.06,0.2,3.0,0.04,0.45,0.03,0.02,0.66,harden,5
