hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
6.4,-0.99,0.35,13.3,4.2,0.09,0.08,0.05,0.07,0.42,screen,1
5.4,-0.75,0.34,8.0,4.0,0.09,0.13,0.04,0.07,0.43,screen,2
5.1,-0.38,0.33,7.6,4.0,0.09,0.14,0.04,0.07,0.43,screen,3
4.4,-0.34,0.29,2.8,4.3,0.09,0.11,0.04,0.06,0.43,screen,4
4.4,-0.27,0.27,1.9,4.2,0.08,0.12,0.04,0.06,0.44,screen,5
3.9,-0.28,0.25,1.4,4.3,0.08,0.13,0.04,0.06,0.44,screen,6
3.6,-0.21,0.24,0.99,4.4,0.08,0.12,0.04,0.05,0.44,screen,7
3.5,-0.2,0.22,1.2,4.0,0.08,0.17,0.04,0.05,0.46,screen,8
3.5,-0.19,0.2,1.4,4.0,0.08,0.16,0.04,0.05,0.46,screen,9
3.0,-0.21,0.16,1.3,3.8,0.07,0.19,0.04,0.04,0.46,screen,10
3.0,-0.22,0.14,1.3,3.6,0.06,0.29,0.04,0.04,0.53,screen,11
2.6,-0.2,0.11,1.3,3.6,0.07,0.19,0.04,0.03,0.52,screen,12
2.8,-0.21,0.11,1.3,3.4,0.06,0.34,0.03,0.03,0.56,screen,13
2.9,-0.22,0.12,1.4,3.1,0.05,0.44,0.03,0.03,0.62,screen,14
2.7,-0.24,0.11,1.4,2.3,0.03,0.7,0.01,0.03,0.77,screen,15
2.4,-0.24,0.09,1.3,2.0,0.03,0.8,0.01,0.02,0.81,screen,16
2.2,-0.26,0.08,1.3,1.7,0.02,0.84,0.01,0.02,0.84,screen,17
2.4,-0.26,0.09,1.5,2.1,0.03,0.75,0.01,0.02,0.78,screen,18
2.2,-0.29,0.08,1.2,2.3,0.02,0.73,0.01,0.02,0.8,screen,19
2.1,-0.28,0.07,1.2,1.8,0.02,0.83,0.01,0.02,0.84,screen,20
2.0,-0.27,0.07,1.2,2.0,0.02,0.8,0.01,0.01,0.84,screen,21
2.0,-0.28,0.07,1.1,1.9,0.02,0.81,0.01,0.01,0.85,screen,22
1.7,-0.33,0.05,1.2,1.5,0.02,0.88,0.01,0.01,0.89,screen,23
2.4,-0.24,0.1,1.1,2.0,0.03,0.78,0.01,0.03,0.77,screen,24
1.8,-0.31,0.06,1.2,1.5,0.02,0.88,0.01,0.01,0.89,screen,25
1.5,-0.36,0.04,1.1,1.5,0.02,0.88,0.01,0.01,0.9,screen,26
1.6,-0.39,0.05,1.1,1.5,0.02,0.88,0.01,0.01,0.89,screen,27
1.6,-0.35,0.05,1.2,1.5,0.02,0.87,0.01,0.01,0.89,screen,28
1.6,-0.39,0.05,1.1,1.5,0.02,0.88,0.01,0.01,0.89,screen,29
1.5,-0.39,0.04,1.2,1.6,0.02,0.87,0.01,0.01,0.9,screen,30
1.9,-0.32,0.07,1.2,1.5,0.02,0.87,0.01,0.01,0.87,screen,31
1.5,-0.38,0.04,1.2,1.5,0.02,0.87,0.01,0.01,0.9,screen,32
