hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
5.1,-0.55,0.35,9.3,4.2,0.09,0.09,0.05,0.07,0.4,screen,1
4.0,-0.24,0.27,1.2,4.5,0.08,0.11,0.04,0.06,0.43,screen,2
3.9,-0.27,0.25,0.92,4.3,0.08,0.13,0.04,0.06,0.43,screen,3
3.9,-0.26,0.25,1.2,4.3,0.08,0.14,0.04,0.06,0.43,screen,4
3.8,-0.34,0.24,0.81,4.2,0.08,0.15,0.04,0.06,0.44,screen,5
3.7,-0.34,0.25,1.5,4.2,0.08,0.13,0.04,0.06,0.43,screen,6
3.7,-0.36,0.24,0.21,4.5,0.09,0.1,0.04,0.06,0.42,screen,7
3.6,-0.37,0.24,0.31,4.3,0.08,0.13,0.04,0.06,0.44,screen,8
3.4,-0.4,0.22,-0.02,4.3,0.08,0.12,0.04,0.05,0.43,screen,9
3.4,-0.42,0.21,-0.24,4.1,0.08,0.15,0.04,0.05,0.45,screen,10
3.5,-0.33,0.21,-0.29,4.1,0.08,0.15,0.04,0.05,0.44,screen,11
3.2,-0.41,0.21,-0.24,4.5,0.08,0.12,0.04,0.05,0.43,screen,12
3.4,-0.4,0.22,-0.01,4.2,0.08,0.15,0.04,0.05,0.44,screen,13
3.1,-0.4,0.19,-0.26,4.1,0.08,0.16,0.04,0.05,0.46,screen,14
2.9,-0.42,0.18,-0.25,4.0,0.07,0.17,0.04,0.04,0.46,screen,15
3.0,-0.41,0.18,-0.23,4.0,0.07,0.17,0.04,0.05,0.46,screen,16
3.0,-0.43,0.18,-0.16,3.9,0.07,0.17,0.04,0.05,0.46,screen,17
2.7,-0.43,0.13,0.04,4.2,0.08,0.14,0.04,0.03,0.44,screen,18
2.7,-0.41,0.13,-0.08,4.3,0.08,0.13,0.04,0.04,0.44,screen,19
2.4,-0.48,0.1,-0.01,3.8,0.07,0.18,0.04,0.03,0.51,screen,20
2.8,-0.39,0.14,-0.1,3.9,0.07,0.19,0.04,0.04,0.47,screen,21
2.3,-0.46,0.1,-0.08,3.8,0.07,0.19,0.04,0.03,0.53,screen,22
2.2,-0.47,0.09,-0.05,3.6,0.06,0.24,0.04,0.03,0.55,screen,23
2.1,-0.5,0.08,-0.09,3.6,0.06,0.21,0.04,0.02,0.56,screen,24
2.0,-0.52,0.07,-0.03,3.3,0.05,0.33,0.03,0.02,0.63,screen,25
2.0,-0.49,0.09,-0.07,3.6,0.06,0.22,0.04,0.02,0.57,screen,26
2.1,-0.43,0.08,0.04,3.8,0.07,0.18,0.04,0.02,0.56,screen,27
2.8,-0.33,0.16,-0.07,4.1,0.07,0.17,0.04,0.04,0.46,screen,28
2.3,-0.39,0.09,-0.01,3.8,0.07,0.17,0.04,0.03,0.53,screen,29
2.1,-0.43,0.09,-0.12,3.5,0.06,0.23,0.04,0.02,0.58,screen,30
2.2,-0.46,0.1,-0.08,3.7,0.07,0.2,0.04,0.03,0.54,screen,31
2.0,-0.52,0.08,-0.11,3.7,0.07,0.2,0.04,0.02,0.58,screen,32
1.9,-0.48,0.07,-0.16,3.4,0.06,0.27,0.04,0.02,0.62,screen,33
1.8,-0.53,0.06,-0.15,3.1,0.04,0.41,0.03,0.02,0.69,screen,34
1.9,-0.46,0.07,-0.13,3.2,0.05,0.31,0.03,0.02,0.63,screen,35
2.3,-0.46,0.11,-0.2,3.6,0.06,0.27,0.04,0.03,0.56,screen,36
2.2,-0.4,0.09,-0.16,3.5,0.06,0.22,0.04,0.02,0.57,screen,37
2.1,-0.44,0.1,-0.13,3.6,0.06,0.22,0.04,0.03,0.57,screen,38
2.2,-0.46,0.1,-0.16,3.7,0.07,0.2,0.04,0.03,0.53,screen,39
1.9,-0.56,0.07,-0.1,3.6,0.07,0.2,0.04,0.02,0.58,screen,40
3.0,-0.38,0.17,-0.21,3.9,0.07,0.17,0.04,0.05,0.46,screen,41
2.7,-0.46,0.18,-0.14,4.2,0.08,0.13,0.04,0.04,0.43,screen,42
2.2,-0.45,0.1,-0.15,4.0,0.07,0.16,0.04,0.03,0.54,screen,43
2.0,-0.42,0.08,-0.16,3.5,0.06,0.23,0.04,0.02,0.6,screen,44
1.9,-0.49,0.07,-0.06,3.5,0.06,0.24,0.04,0.02,0.62,screen,45
2.0,-0.48,0.07,-0.14,3.3,0.05,0.33,0.03,0.02,0.65,screen,46
2.6,-0.42,0.15,0.02,4.1,0.08,0.13,0.04,0.04,0.47,screen,47
3.6,-0.34,0.24,0.05,4.3,0.08,0.13,0.04,0.06,0.44,screen,48
2.9,-0.4,0.2,-0.27,4.0,0.08,0.14,0.04,0.05,0.44,screen,49
2.4,-0.44,0.12,-0.16,4.0,0.07,0.18,0.04,0.03,0.5,screen,50
3.5,-0.31,0.24,0.16,4.3,0.08,0.12,0.04,0.06,0.42,refine,1
3.7,-0.31,0.25,0.34,4.4,0.08,0.12,0.04,0.06,0.42,refine,2
3.0,-0.29,0.19,0.17,3.9,0.07,0.17,0.04,0.04,0.45,refine,3
3.0,-0.31,0.2,-0.05,4.3,0.08,0.12,0.04,0.05,0.42,refine,4
3.0,-0.33,0.19,0.17,3.9,0.07,0.16,0.04,0.04,0.45,refine,5
3.2,-0.3,0.23,0.49,4.0,0.08,0.14,0.04,0.05,0.44,refine,6
3.1,-0.32,0.22,0.52,4.0,0.08,0.15,0.04,0.05,0.44,refine,7
3.0,-0.3,0.21,-0.07,4.1,0.08,0.13,0.04,0.05,0.43,refine,8
3.0,-0.33,0.22,-0.05,4.4,0.08,0.11,0.04,0.05,0.42,refine,9
3.8,-0.26,0.23,0.3,4.0,0.08,0.15,0.04,0.06,0.45,refine,10
3.0,-0.3,0.21,0.0,4.0,0.08,0.14,0.04,0.05,0.43,refine,11
3.7,-0.27,0.23,0.14,4.1,0.08,0.15,0.04,0.06,0.45,refine,12
2.9,-0.32,0.2,0.05,4.1,0.08,0.14,0.04,0.04,0.43,refine,13
3.5,-0.27,0.22,0.15,4.1,0.08,0.15,0.04,0.06,0.44,refine,14
3.5,-0.29,0.21,-0.2,4.1,0.08,0.15,0.04,0.05,0.45,refine,15
3.2,-0.29,0.21,-0.21,4.1,0.08,0.14,0.04,0.05,0.43,refine,16
3.1,-0.32,0.22,-0.2,4.0,0.08,0.13,0.04,0.05,0.43,refine,17
3.0,-0.32,0.18,0.4,3.9,0.08,0.16,0.04,0.04,0.45,refine,18
3.3,-0.3,0.22,-0.2,4.1,0.08,0.15,0.04,0.05,0.45,refine,19
