hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.5,-0.49,0.28,2.6,3.9,0.08,0.14,0.04,0.07,0.59,screen,1
5.0,-0.31,0.25,6.9,3.4,0.08,0.2,0.04,0.05,0.6,screen,2
4.8,-0.37,0.25,6.3,3.6,0.08,0.16,0.04,0.06,0.6,screen,3
4.7,-0.45,0.29,6.5,3.6,0.08,0.17,0.04,0.06,0.6,screen,4
4.3,-0.25,0.24,0.16,4.0,0.07,0.14,0.04,0.06,0.6,screen,5
4.0,-0.28,0.21,-0.23,3.9,0.07,0.17,0.04,0.06,0.6,screen,6
4.3,-0.3,0.25,1.1,4.0,0.08,0.12,0.04,0.06,0.6,screen,7
3.9,-0.27,0.2,-0.09,3.8,0.07,0.18,0.04,0.06,0.61,screen,8
3.1,-0.26,0.11,0.04,3.7,0.07,0.19,0.04,0.04,0.61,screen,9
2.8,-0.3,0.09,0.31,3.6,0.06,0.21,0.04,0.04,0.62,screen,10
2.2,-0.33,0.06,0.38,3.6,0.06,0.2,0.04,0.03,0.62,screen,11
2.3,-0.32,0.06,0.3,3.5,0.06,0.21,0.04,0.03,0.62,screen,12
2.1,-0.31,0.06,0.38,3.5,0.06,0.19,0.04,0.03,0.61,screen,13
2.0,-0.31,0.05,0.42,3.4,0.06,0.21,0.04,0.02,0.61,screen,14
1.8,-0.33,0.05,0.44,3.2,0.05,0.26,0.04,0.02,0.64,screen,15
1.7,-0.39,0.04,0.45,3.0,0.03,0.48,0.03,0.02,0.73,screen,16
1.7,-0.38,0.04,0.46,2.6,0.03,0.65,0.02,0.01,0.77,screen,17
1.7,-0.38,0.04,0.52,2.0,0.02,0.8,0.01,0.01,0.84,screen,18
1.6,-0.41,0.04,0.5,2.1,0.02,0.78,0.01,0.01,0.83,screen,19
1.7,-0.37,0.04,0.46,2.7,0.03,0.61,0.02,0.01,0.77,screen,20
1.7,-0.35,0.04,0.51,2.4,0.02,0.71,0.01,0.01,0.8,screen,21
1.6,-0.37,0.04,0.48,2.0,0.02,0.8,0.01,0.01,0.85,screen,22
1.6,-0.38,0.04,0.47,1.9,0.02,0.81,0.01,0.01,0.86,screen,23
1.8,-0.38,0.04,0.42,2.6,0.03,0.6,0.02,0.02,0.77,screen,24
3.2,-0.3,0.16,0.2,3.6,0.06,0.23,0.04,0.04,0.63,screen,25
1.7,-0.39,0.04,0.45,2.4,0.02,0.72,0.01,0.01,0.82,screen,26
1.7,-0.37,0.04,0.39,1.9,0.02,0.81,0.01,0.01,0.86,screen,27
1.6,-0.4,0.04,0.48,2.0,0.02,0.79,0.01,0.01,0.85,screen,28
1.7,-0.4,0.04,0.4,1.8,0.02,0.81,0.01,0.01,0.86,screen,29
1.8,-0.39,0.05,0.43,1.8,0.02,0.82,0.01,0.01,0.87,screen,30
1.6,-0.37,0.04,0.39,1.8,0.02,0.83,0.01,0.01,0.86,screen,31
1.6,-0.38,0.04,0.37,2.2,0.02,0.74,0.01,0.01,0.84,screen,32
1.6,-0.4,0.04,0.38,1.9,0.02,0.81,0.01,0.01,0.87,screen,33
3.7,-0.3,0.2,0.05,3.7,0.07,0.17,0.04,0.05,0.6,screen,34
1.6,-0.4,0.04,0.41,1.9,0.02,0.81,0.01,0.01,0.85,screen,35
1.5,-0.42,0.04,0.43,1.8,0.02,0.83,0.01,0.01,0.86,screen,36
1.5,-0.43,0.03,0.43,1.7,0.02,0.85,0.01,0.01,0.87,screen,37
1.5,-0.42,0.04,0.42,1.8,0.02,0.83,0.01,0.01,0.86,screen,38
1.5,-0.41,0.03,0.42,1.7,0.02,0.84,0.01,0.01,0.87,screen,39
1.5,-0.42,0.04,0.43,1.9,0.02,0.81,0.01,0.01,0.87,screen,40
1.9,-0.37,0.05,0.44,2.0,0.02,0.78,0.01,0.01,0.84,screen,41
1.5,-0.41,0.03,0.42,1.8,0.02,0.84,0.01,0.01,0.86,screen,42
1.5,-0.39,0.03,0.43,1.7,0.02,0.84,0.01,0.01,0.87,screen,43
1.5,-0.42,0.03,0.42,1.8,0.02,0.83,0.01,0.01,0.86,screen,44
1.5,-0.42,0.03,0.43,1.8,0.02,0.83,0.01,0.01,0.86,screen,45
1.5,-0.43,0.03,0.42,1.7,0.02,0.83,0.01,0.01,0.86,screen,46
1.7,-0.42,0.04,0.44,1.8,0.02,0.82,0.01,0.01,0.86,screen,47
1.5,-0.44,0.03,0.43,1.8,0.02,0.84,0.01,0.01,0.86,screen,48
1.7,-0.39,0.04,0.4,3.4,0.05,0.3,0.04,0.02,0.65,screen,49
1.5,-0.42,0.03,0.45,1.8,0.02,0.83,0.01,0.01,0.86,screen,50
4.1,-0.29,0.22,3.3,3.7,0.07,0.18,0.04,0.05,0.62,refine,1
4.1,-0.31,0.23,3.5,3.9,0.08,0.14,0.04,0.06,0.59,refine,2
2.1,-0.32,0.06,0.31,3.4,0.05,0.31,0.03,0.03,0.66,refine,3
2.8,-0.29,0.13,0.14,3.6,0.07,0.18,0.04,0.04,0.61,refine,4
1.8,-0.38,0.04,0.47,1.8,0.02,0.82,0.01,0.01,0.86,refine,5
1.9,-0.35,0.05,0.45,2.1,0.02,0.76,0.01,0.01,0.83,refine,6
2.1,-0.34,0.05,0.31,3.6,0.06,0.17,0.04,0.03,0.6,refine,7
1.7,-0.38,0.04,0.37,3.4,0.06,0.21,0.04,0.02,0.62,refine,8
1.7,-0.4,0.04,0.44,2.2,0.02,0.74,0.01,0.01,0.82,refine,9
1.6,-0.4,0.04,0.36,3.5,0.06,0.18,0.04,0.02,0.61,refine,10
1.5,-0.41,0.04,0.42,1.8,0.02,0.82,0.01,0.01,0.85,refine,11
1.8,-0.39,0.04,0.31,3.4,0.05,0.23,0.04,0.02,0.63,refine,12
1.5,-0.41,0.04,0.35,3.4,0.06,0.2,0.04,0.02,0.61,refine,13
1.6,-0.42,0.04,0.41,2.0,0.02,0.8,0.01,0.01,0.86,refine,14
1.8,-0.41,0.04,0.41,2.2,0.02,0.74,0.01,0.01,0.84,refine,15
1.7,-0.42,0.04,0.39,2.6,0.03,0.59,0.02,0.01,0.76,refine,16
1.6,-0.41,0.04,0.46,1.8,0.02,0.83,0.01,0.01,0.86,refine,17
1.7,-0.42,0.04,0.46,2.1,0.02,0.77,0.01,0.01,0.85,refine,18
1.6,-0.42,0.04,0.33,3.3,0.06,0.21,0.04,0.02,0.62,refine,19
1.5,-0.45,0.03,0.45,1.7,0.02,0.84,0.01,0.01,0.87,refine,20
1.8,-0.42,0.04,0.45,1.8,0.02,0.82,0.01,0.01,0.86,refine,21
1.5,-0.46,0.03,0.43,1.7,0.02,0.84,0.01,0.01,0.87,refine,22
1.6,-0.42,0.04,0.42,1.8,0.02,0.83,0.01,0.01,0.85,refine,23
1.5,-0.43,0.03,0.45,1.9,0.02,0.82,0.01,0.01,0.86,refine,24
1.6,-0.41,0.04,0.44,1.8,0.02,0.84,0.01,0.01,0.86,refine,25
1.6,-0.41,0.04,0.44,1.8,0.02,0.82,0.01,0.01,0.86,anneal,1
1.8,-0.41,0.04,0.46,2.1,0.02,0.77,0.01,0.01,0.83,anneal,2
1.6,-0.43,0.04,0.46,1.9,0.02,0.81,0.01,0.01,0.85,anneal,3
1.6,-0.43,0.04,0.44,2.0,0.02,0.8,0.01,0.01,0.85,anneal,4
1.5,-0.41,0.04,0.48,1.9,0.02,0.81,0.01,0.01,0.87,anneal,5
1.5,-0.41,0.04,0.45,1.8,0.02,0.83,0.01,0.01,0.86,anneal,6
1.5,-0.44,0.03,0.42,1.8,0.02,0.84,0.01,0.01,0.86,anneal,7
1.6,-0.44,0.04,0.46,1.9,0.02,0.81,0.01,0.01,0.85,anneal,8
1.6,-0.44,0.04,0.44,1.8,0.02,0.82,0.01,0.01,0.87,anneal,9
1.5,-0.45,0.03,0.43,1.8,0.02,0.82,0.01,0.01,0.86,anneal,10
1.6,-0.44,0.04,0.41,2.0,0.02,0.79,0.01,0.01,0.84,anneal,11
1.5,-0.44,0.04,0.45,1.8,0.02,0.82,0.01,0.01,0.86,anneal,12
1.6,-0.44,0.04,0.43,1.9,0.02,0.8,0.01,0.01,0.84,anneal,13
1.9,-0.41,0.05,0.52,1.9,0.02,0.78,0.01,0.01,0.86,anneal,14
1.6,-0.46,0.04,0.49,1.8,0.02,0.8,0.01,0.01,0.84,anneal,15
1.7,-0.45,0.04,0.51,1.9,0.02,0.8,0.01,0.01,0.85,anneal,16
1.6,-0.46,0.04,0.52,1.9,0.02,0.82,0.01,0.01,0.85,anneal,17
1.6,-0.47,0.04,0.52,1.8,0.02,0.82,0.01,0.01,0.87,anneal,18
1.6,-0.43,0.04,0.52,1.9,0.02,0.81,0.01,0.01,0.86,anneal,19
1.6,-0.47,0.04,0.51,1.7,0.02,0.83,0.01,0.01,0.86,anneal,20
1.7,-0.46,0.04,0.52,1.9,0.02,0.83,0.01,0.01,0.86,anneal,21
1.6,-0.47,0.04,0.53,1.8,0.02,0.83,0.01,0.01,0.86,anneal,22
1.8,-0.42,0.04,0.55,1.9,0.02,0.81,0.01,0.01,0.85,anneal,23
1.7,-0.43,0.04,0.52,2.0,0.02,0.8,0.01,0.01,0.85,anneal,24
1.6,-0.46,0.04,0.52,1.9,0.02,0.81,0.01,0.01,0.86,anneal,25
2.1,-0.35,0.06,0.43,3.5,0.06,0.25,0.04,0.03,0.63,anneal,26
1.6,-0.47,0.04,0.52,1.9,0.02,0.82,0.01,0.01,0.86,anneal,27
1.5,-0.48,0.04,0.52,1.8,0.02,0.83,0.01,0.01,0.86,anneal,28
1.7,-0.47,0.04,0.51,2.0,0.02,0.8,0.01,0.01,0.86,anneal,29
1.6,-0.47,0.04,0.52,1.8,0.02,0.83,0.01,0.01,0.86,anneal,30
1.6,-0.46,0.04,0.52,1.8,0.02,0.83,0.01,0.01,0.86,anneal,31
2.2,-0.34,0.07,0.68,2.6,0.03,0.61,0.02,0.02,0.77,anneal,32
1.5,-0.47,0.04,0.52,1.8,0.02,0.83,0.01,0.01,0.87,anneal,33
1.5,-0.47,0.04,0.54,1.8,0.02,0.83,0.01,0.01,0.88,anneal,34
1.5,-0.46,0.04,0.51,1.8,0.02,0.83,0.01,0.01,0.86,anneal,35
1.8,-0.4,0.05,0.44,3.4,0.06,0.23,0.04,0.02,0.63,anneal,36
1.6,-0.45,0.04,0.5,1.9,0.02,0.81,0.01,0.01,0.85,anneal,37
1.9,-0.37,0.06,0.58,2.2,0.02,0.73,0.01,0.01,0.81,anneal,38
1.7,-0.44,0.04,0.5,2.2,0.02,0.76,0.01,0.01,0.83,anneal,39
1.8,-0.41,0.04,0.47,2.6,0.03,0.61,0.02,0.01,0.77,anneal,40
1.9,-0.37,0.06,0.54,2.0,0.02,0.78,0.01,0.01,0.84,anneal,41
1.5,-0.47,0.04,0.51,1.8,0.02,0.82,0.01,0.01,0.86,anneal,42
1.6,-0.45,0.04,0.51,1.9,0.02,0.81,0.01,0.01,0.87,anneal,43
1.9,-0.38,0.06,0.55,2.2,0.02,0.71,0.01,0.02,0.81,anneal,44
1.6,-0.46,0.04,0.52,1.8,0.02,0.82,0.01,0.01,0.87,anneal,45
1.5,-0.41,0.04,0.42,1.9,0.02,0.82,0.01,0.01,0.87,harden,1
1.7,-0.37,0.04,0.39,2.1,0.02,0.78,0.01,0.01,0.85,harden,2
2.8,-0.31,0.11,0.51,2.9,0.04,0.5,0.03,0.04,0.73,harden,3
2.9,-0.31,0.12,0.31,3.5,0.06,0.28,0.04,0.05,0.64,harden,4
2.2,-0.3,0.06,0.34,3.3,0.05,0.31,0.03,0.03,0.65,harden,5
,,,,,,0.32,,,0.66,mutate,1
,,,,,,0.77,,,0.84,mutate,2
,,,,,,0.29,,,0.65,mutate,3
,,,,,,0.59,,,0.77,mutate,4
,,,,,,0.39,,,0.69,mutate,5
,,,,,,0.76,,,0.84,mutate,6
,,,,,,0.32,,,0.67,mutate,7
,,,,,,0.2,,,0.62,mutate,8
,,,,,,0.77,,,0.84,mutate,9
,,,,,,0.77,,,0.84,mutate,10
,,,,,,0.25,,,0.63,mutate,11
,,,,,,0.31,,,0.65,mutate,12
,,,,,,0.26,,,0.64,mutate,13
,,,,,,0.25,,,0.64,mutate,14
,,,,,,0.37,,,0.68,mutate,15
