hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
4.5,-0.42,0.3,4.6,4.2,0.08,0.11,0.04,0.07,0.5,screen,1
4.2,-0.27,0.27,1.3,4.1,0.08,0.12,0.04,0.06,0.51,screen,2
3.7,-0.18,0.19,0.43,4.0,0.08,0.14,0.04,0.05,0.51,screen,3
3.4,-0.22,0.15,0.6,3.7,0.07,0.2,0.04,0.05,0.55,screen,4
3.3,-0.23,0.15,0.52,3.8,0.07,0.17,0.04,0.05,0.53,screen,5
3.3,-0.23,0.15,0.37,4.0,0.08,0.13,0.04,0.05,0.51,screen,6
2.4,-0.26,0.1,0.68,3.6,0.07,0.19,0.04,0.03,0.53,screen,7
3.0,-0.24,0.14,0.13,3.6,0.07,0.22,0.04,0.04,0.54,screen,8
3.3,-0.24,0.14,0.36,3.6,0.07,0.21,0.04,0.04,0.55,screen,9
2.8,-0.25,0.12,0.57,3.6,0.06,0.22,0.04,0.04,0.56,screen,10
2.6,-0.25,0.11,0.65,3.6,0.07,0.19,0.04,0.03,0.54,screen,11
2.8,-0.24,0.12,0.53,3.6,0.07,0.18,0.04,0.04,0.54,screen,12
2.2,-0.3,0.07,0.7,3.6,0.07,0.18,0.04,0.03,0.53,screen,13
2.9,-0.29,0.15,0.69,3.7,0.07,0.18,0.04,0.04,0.53,screen,14
2.1,-0.32,0.07,0.69,3.2,0.05,0.3,0.04,0.02,0.59,screen,15
2.4,-0.33,0.09,0.81,3.5,0.07,0.19,0.04,0.03,0.53,screen,16
1.8,-0.36,0.05,0.46,3.2,0.05,0.31,0.03,0.02,0.61,screen,17
1.9,-0.34,0.06,0.72,3.2,0.06,0.29,0.04,0.02,0.58,screen,18
1.7,-0.39,0.05,0.54,3.2,0.05,0.32,0.03,0.02,0.59,screen,19
1.7,-0.37,0.05,0.57,3.5,0.07,0.18,0.04,0.02,0.53,screen,20
1.9,-0.35,0.06,0.6,3.2,0.05,0.29,0.04,0.02,0.59,screen,21
1.8,-0.35,0.05,0.65,3.1,0.04,0.41,0.03,0.02,0.64,screen,22
2.4,-0.32,0.09,0.62,3.4,0.05,0.31,0.03,0.03,0.59,screen,23
1.7,-0.38,0.05,0.59,3.4,0.06,0.21,0.04,0.02,0.55,screen,24
2.5,-0.27,0.08,0.67,3.0,0.04,0.44,0.03,0.03,0.67,screen,25
2.1,-0.28,0.06,0.62,3.0,0.05,0.37,0.03,0.02,0.64,screen,26
2.0,-0.27,0.06,0.66,3.3,0.06,0.21,0.04,0.02,0.55,screen,27
1.9,-0.3,0.06,0.65,2.7,0.04,0.5,0.02,0.02,0.7,screen,28
1.8,-0.28,0.05,0.68,3.1,0.05,0.27,0.04,0.02,0.58,screen,29
1.8,-0.27,0.06,0.68,2.6,0.03,0.55,0.02,0.01,0.71,screen,30
1.7,-0.28,0.05,0.68,3.1,0.06,0.21,0.04,0.02,0.55,screen,31
1.7,-0.28,0.05,0.68,3.1,0.05,0.31,0.03,0.01,0.6,screen,32
1.6,-0.31,0.05,0.5,3.1,0.05,0.29,0.04,0.02,0.59,screen,33
1.8,-0.3,0.05,0.7,3.2,0.05,0.24,0.04,0.02,0.57,screen,34
1.6,-0.3,0.05,0.68,3.1,0.06,0.23,0.04,0.02,0.56,screen,35
1.6,-0.29,0.05,0.67,3.1,0.06,0.24,0.04,0.02,0.57,screen,36
1.6,-0.29,0.05,-0.25,2.4,0.03,0.59,0.02,0.03,0.74,screen,37
1.6,-0.27,0.05,0.78,3.2,0.06,0.22,0.04,0.02,0.55,screen,38
1.7,-0.28,0.05,0.72,3.1,0.04,0.37,0.03,0.02,0.62,screen,39
1.7,-0.28,0.05,0.71,2.6,0.04,0.55,0.02,0.01,0.71,screen,40
1.6,-0.28,0.05,0.79,2.2,0.03,0.67,0.02,0.01,0.78,screen,41
1.7,-0.27,0.05,0.71,3.1,0.05,0.29,0.04,0.02,0.58,screen,42
1.7,-0.27,0.06,0.7,3.5,0.07,0.16,0.04,0.02,0.52,screen,43
1.7,-0.26,0.06,0.72,2.4,0.03,0.63,0.02,0.01,0.75,screen,44
4.2,-0.2,0.26,3.6,3.9,0.08,0.15,0.04,0.05,0.51,screen,45
2.4,-0.22,0.09,0.69,3.7,0.07,0.18,0.04,0.03,0.53,screen,46
2.3,-0.23,0.08,0.67,3.4,0.06,0.26,0.04,0.03,0.57,screen,47
2.3,-0.22,0.08,0.75,3.8,0.07,0.16,0.04,0.03,0.52,screen,48
2.1,-0.24,0.07,0.63,3.5,0.07,0.17,0.04,0.02,0.52,screen,49
3.2,-0.23,0.15,0.52,3.9,0.07,0.15,0.04,0.05,0.52,screen,50
2.6,-0.22,0.09,0.69,3.5,0.06,0.25,0.04,0.03,0.57,refine,1
2.1,-0.24,0.07,0.5,3.1,0.05,0.28,0.04,0.03,0.59,refine,2
1.7,-0.27,0.05,0.7,3.1,0.05,0.32,0.03,0.02,0.6,refine,3
1.8,-0.28,0.06,0.7,3.2,0.05,0.31,0.03,0.02,0.59,refine,4
2.3,-0.23,0.08,0.64,3.9,0.07,0.16,0.04,0.03,0.53,refine,5
1.5,-0.29,0.05,0.73,3.3,0.06,0.23,0.04,0.02,0.56,refine,6
1.7,-0.27,0.06,0.66,3.4,0.06,0.22,0.04,0.02,0.55,refine,7
1.7,-0.27,0.05,0.68,3.3,0.06,0.21,0.04,0.02,0.55,refine,8
1.7,-0.28,0.06,0.63,3.4,0.06,0.23,0.04,0.02,0.56,refine,9
1.7,-0.27,0.05,0.62,3.3,0.06,0.27,0.04,0.02,0.57,refine,10
1.6,-0.3,0.05,0.74,3.2,0.06,0.27,0.04,0.02,0.58,refine,11
1.9,-0.27,0.06,0.69,3.2,0.05,0.34,0.03,0.02,0.61,refine,12
1.6,-0.32,0.05,0.8,2.6,0.04,0.48,0.03,0.01,0.69,refine,13
1.7,-0.26,0.05,0.63,3.3,0.06,0.25,0.04,0.02,0.57,refine,14
1.5,-0.33,0.04,0.45,3.0,0.05,0.35,0.03,0.02,0.62,refine,15
1.5,-0.29,0.05,0.73,3.2,0.06,0.25,0.04,0.01,0.57,refine,16
1.6,-0.31,0.05,0.48,2.8,0.04,0.4,0.03,0.02,0.65,refine,17
1.6,-0.29,0.05,0.65,3.3,0.06,0.23,0.04,0.01,0.55,refine,18
1.6,-0.3,0.05,0.71,3.1,0.05,0.31,0.03,0.01,0.6,refine,19
1.6,-0.28,0.05,0.65,3.5,0.07,0.17,0.04,0.01,0.52,refine,20
1.5,-0.29,0.04,0.22,2.9,0.04,0.39,0.03,0.02,0.64,refine,21
1.7,-0.29,0.05,0.36,3.1,0.05,0.34,0.03,0.02,0.61,refine,22
1.7,-0.26,0.05,0.66,3.2,0.06,0.27,0.04,0.02,0.57,refine,23
2.7,-0.23,0.12,0.64,3.6,0.07,0.21,0.04,0.04,0.55,refine,24
2.0,-0.26,0.06,0.62,3.4,0.06,0.23,0.04,0.02,0.56,refine,25
2.3,-0.23,0.08,0.65,3.5,0.06,0.22,0.04,0.03,0.55,anneal,1
1.6,-0.31,0.05,0.69,3.1,0.05,0.32,0.03,0.01,0.6,anneal,2
1.5,-0.3,0.05,0.59,3.0,0.05,0.34,0.03,0.02,0.62,anneal,3
1.5,-0.31,0.04,0.29,2.8,0.04,0.39,0.03,0.02,0.64,anneal,4
1.7,-0.27,0.05,0.34,3.0,0.05,0.36,0.03,0.02,0.62,anneal,5
1.4,-0.31,0.04,0.7,3.1,0.05,0.29,0.04,0.01,0.59,anneal,6
1.5,-0.3,0.04,0.74,2.8,0.04,0.44,0.03,0.01,0.65,anneal,7
1.5,-0.29,0.05,0.65,3.1,0.05,0.27,0.04,0.02,0.58,anneal,8
1.5,-0.31,0.04,0.71,3.0,0.05,0.35,0.03,0.01,0.62,anneal,9
1.4,-0.31,0.04,0.06,2.5,0.03,0.52,0.02,0.03,0.72,anneal,10
1.5,-0.31,0.04,0.44,3.0,0.05,0.33,0.03,0.02,0.61,anneal,11
1.5,-0.3,0.04,0.12,2.8,0.04,0.41,0.03,0.02,0.65,anneal,12
1.5,-0.3,0.05,0.33,2.9,0.04,0.38,0.03,0.02,0.63,anneal,13
1.5,-0.33,0.04,0.72,2.8,0.05,0.38,0.03,0.01,0.64,anneal,14
1.6,-0.3,0.04,0.65,3.2,0.06,0.24,0.04,0.01,0.56,anneal,15
1.4,-0.31,0.04,0.75,3.1,0.06,0.22,0.04,0.01,0.56,anneal,16
1.6,-0.32,0.04,0.76,3.1,0.05,0.27,0.04,0.01,0.58,anneal,17
1.5,-0.31,0.04,0.7,3.2,0.06,0.21,0.04,0.01,0.55,anneal,18
1.4,-0.31,0.05,0.63,3.1,0.05,0.3,0.03,0.02,0.59,anneal,19
1.5,-0.29,0.04,0.35,3.0,0.05,0.35,0.03,0.02,0.62,anneal,20
1.5,-0.3,0.04,0.64,3.2,0.06,0.21,0.04,0.01,0.55,anneal,21
1.4,-0.31,0.04,0.65,3.1,0.05,0.25,0.04,0.01,0.57,anneal,22
1.6,-0.29,0.04,0.72,3.3,0.06,0.2,0.04,0.01,0.55,anneal,23
1.6,-0.29,0.05,0.39,3.1,0.05,0.31,0.03,0.02,0.61,anneal,24
1.7,-0.31,0.05,0.65,3.2,0.06,0.23,0.04,0.02,0.56,anneal,25
1.5,-0.29,0.05,0.76,3.1,0.05,0.28,0.04,0.01,0.59,anneal,26
1.9,-0.29,0.05,0.64,3.3,0.06,0.25,0.04,0.02,0.57,anneal,27
1.5,-0.32,0.04,0.65,3.2,0.06,0.25,0.04,0.01,0.57,anneal,28
1.6,-0.32,0.05,0.66,3.3,0.06,0.18,0.04,0.01,0.54,anneal,29
1.6,-0.33,0.04,0.7,3.3,0.06,0.2,0.04,0.01,0.55,anneal,30
1.8,-0.3,0.06,0.68,3.4,0.06,0.2,0.04,0.02,0.54,anneal,31
1.7,-0.3,0.05,0.69,3.2,0.06,0.27,0.04,0.02,0.57,anneal,32
1.8,-0.32,0.05,0.35,3.0,0.05,0.37,0.03,0.02,0.63,anneal,33
1.6,-0.33,0.05,0.66,3.2,0.06,0.22,0.04,0.01,0.55,anneal,34
1.6,-0.33,0.04,0.66,3.2,0.06,0.23,0.04,0.01,0.56,anneal,35
1.6,-0.34,0.04,0.19,2.9,0.04,0.42,0.03,0.02,0.66,anneal,36
1.8,-0.32,0.05,0.66,3.0,0.05,0.3,0.04,0.02,0.6,anneal,37
1.7,-0.35,0.05,-0.15,2.6,0.03,0.52,0.02,0.03,0.71,anneal,38
1.7,-0.34,0.05,0.17,3.1,0.05,0.37,0.03,0.03,0.63,anneal,39
1.6,-0.34,0.05,0.65,3.1,0.06,0.24,0.04,0.01,0.56,anneal,40
1.7,-0.33,0.05,0.65,3.1,0.05,0.32,0.03,0.01,0.6,anneal,41
1.6,-0.34,0.05,0.62,3.1,0.06,0.24,0.04,0.01,0.56,anneal,42
1.7,-0.32,0.05,0.67,3.1,0.05,0.31,0.03,0.01,0.6,anneal,43
1.6,-0.33,0.05,0.68,2.8,0.04,0.43,0.03,0.01,0.66,anneal,44
2.3,-0.27,0.07,0.64,3.5,0.07,0.19,0.04,0.02,0.54,anneal,45
1.5,-0.3,0.04,0.79,3.0,0.05,0.33,0.03,0.01,0.61,harden,1
1.4,-0.32,0.04,0.29,2.5,0.04,0.5,0.03,0.03,0.69,harden,2
1.5,-0.31,0.04,0.76,2.9,0.05,0.36,0.03,0.01,0.62,harden,3
1.4,-0.31,0.04,0.74,2.7,0.04,0.49,0.03,0.01,0.69,harden,4
1.4,-0.31,0.04,0.4,2.5,0.04,0.5,0.03,0.03,0.7,harden,5
