hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
5.3,-0.57,0.34,12.0,4.4,0.09,0.06,0.05,0.07,0.48,screen,1
4.5,-0.22,0.24,5.1,3.9,0.08,0.11,0.04,0.05,0.51,screen,2
4.2,-0.23,0.26,3.8,4.2,0.08,0.11,0.04,0.06,0.5,screen,3
3.9,-0.24,0.23,0.65,4.1,0.08,0.15,0.04,0.06,0.52,screen,4
3.5,-0.19,0.16,0.41,3.8,0.07,0.21,0.04,0.05,0.55,screen,5
3.4,-0.2,0.14,0.39,3.8,0.07,0.19,0.04,0.04,0.54,screen,6
3.4,-0.19,0.14,0.37,3.9,0.07,0.18,0.04,0.04,0.52,screen,7
2.8,-0.2,0.09,0.57,3.3,0.06,0.32,0.03,0.03,0.6,screen,8
2.6,-0.22,0.09,0.57,3.0,0.05,0.44,0.03,0.03,0.65,screen,9
2.1,-0.3,0.06,0.53,3.1,0.04,0.41,0.03,0.02,0.65,screen,10
1.9,-0.28,0.04,0.55,2.7,0.03,0.57,0.02,0.01,0.73,screen,11
1.6,-0.3,0.04,0.54,2.7,0.03,0.57,0.02,0.01,0.73,screen,12
1.8,-0.28,0.04,0.58,2.4,0.03,0.65,0.02,0.01,0.77,screen,13
1.6,-0.29,0.04,0.52,2.5,0.03,0.63,0.02,0.01,0.76,screen,14
1.6,-0.3,0.04,0.5,2.2,0.02,0.7,0.01,0.01,0.8,screen,15
1.9,-0.27,0.05,0.54,2.2,0.03,0.7,0.02,0.01,0.79,screen,16
1.7,-0.29,0.04,0.53,2.0,0.02,0.77,0.01,0.01,0.83,screen,17
1.6,-0.31,0.04,0.55,2.0,0.02,0.76,0.01,0.01,0.83,screen,18
2.8,-0.23,0.11,0.42,3.9,0.07,0.19,0.04,0.04,0.53,screen,19
1.5,-0.35,0.04,0.56,1.7,0.02,0.83,0.01,0.01,0.87,screen,20
1.7,-0.29,0.04,0.56,2.0,0.02,0.78,0.01,0.01,0.84,screen,21
1.6,-0.33,0.04,0.54,2.0,0.02,0.76,0.01,0.01,0.83,screen,22
2.5,-0.23,0.08,0.43,3.8,0.07,0.17,0.04,0.03,0.53,screen,23
1.7,-0.33,0.04,0.55,2.4,0.03,0.66,0.02,0.01,0.77,screen,24
2.9,-0.2,0.1,0.39,3.8,0.07,0.17,0.04,0.04,0.53,screen,25
2.6,-0.23,0.08,0.48,3.8,0.07,0.17,0.04,0.03,0.53,screen,26
2.4,-0.25,0.06,0.53,3.7,0.06,0.2,0.04,0.02,0.54,screen,27
1.7,-0.28,0.04,0.55,1.7,0.02,0.81,0.01,0.01,0.85,screen,28
2.1,-0.25,0.06,0.42,3.9,0.07,0.14,0.04,0.02,0.51,screen,29
1.7,-0.3,0.04,0.55,2.1,0.02,0.71,0.01,0.01,0.8,screen,30
1.7,-0.29,0.04,0.49,3.3,0.06,0.23,0.04,0.01,0.55,screen,31
1.5,-0.32,0.04,0.54,2.0,0.02,0.74,0.01,0.01,0.82,screen,32
1.6,-0.31,0.04,0.52,2.3,0.02,0.69,0.02,0.01,0.79,screen,33
1.5,-0.34,0.03,0.54,1.8,0.02,0.77,0.01,0.01,0.84,screen,34
1.5,-0.31,0.04,0.37,3.0,0.04,0.38,0.03,0.01,0.64,screen,35
