hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
5.0,-0.55,0.34,6.9,4.4,0.09,0.09,0.05,0.07,0.44,screen,1
4.5,-0.41,0.32,4.6,4.5,0.09,0.08,0.05,0.06,0.43,screen,2
4.4,-0.3,0.28,2.1,4.0,0.08,0.13,0.04,0.06,0.47,screen,3
4.0,-0.28,0.25,3.9,3.9,0.08,0.13,0.04,0.05,0.47,screen,4
4.1,-0.27,0.23,3.7,4.4,0.08,0.11,0.04,0.05,0.45,screen,5
3.9,-0.25,0.23,2.9,4.2,0.08,0.13,0.04,0.05,0.46,screen,6
3.8,-0.25,0.24,1.8,4.5,0.09,0.1,0.05,0.05,0.44,screen,7
4.1,-0.31,0.26,1.5,3.9,0.08,0.16,0.04,0.06,0.47,screen,8
4.1,-0.34,0.27,1.2,4.2,0.08,0.14,0.04,0.06,0.47,screen,9
3.9,-0.31,0.26,0.07,4.1,0.08,0.13,0.04,0.06,0.46,screen,10
3.7,-0.31,0.24,-0.22,4.1,0.08,0.12,0.04,0.06,0.46,screen,11
3.7,-0.27,0.22,-0.2,3.9,0.08,0.17,0.04,0.06,0.49,screen,12
3.3,-0.27,0.2,-0.2,4.0,0.08,0.16,0.04,0.05,0.48,screen,13
3.3,-0.26,0.19,-0.2,4.1,0.08,0.15,0.04,0.05,0.48,screen,14
3.1,-0.28,0.18,0.05,3.8,0.07,0.19,0.04,0.05,0.5,screen,15
3.1,-0.28,0.17,-0.1,3.9,0.07,0.18,0.04,0.05,0.5,screen,16
3.2,-0.27,0.18,-0.05,3.7,0.07,0.22,0.04,0.05,0.52,screen,17
3.2,-0.29,0.19,-0.2,3.7,0.07,0.19,0.04,0.05,0.5,screen,18
3.0,-0.29,0.15,-0.07,3.4,0.06,0.25,0.04,0.04,0.53,screen,19
2.7,-0.31,0.13,-0.04,3.5,0.07,0.21,0.04,0.04,0.51,screen,20
2.6,-0.33,0.11,-0.27,3.0,0.05,0.39,0.03,0.04,0.61,screen,21
2.7,-0.3,0.12,-0.13,3.2,0.06,0.29,0.04,0.04,0.56,screen,22
2.5,-0.34,0.1,-0.01,3.2,0.06,0.28,0.04,0.03,0.55,screen,23
2.6,-0.29,0.1,0.01,3.3,0.06,0.25,0.04,0.03,0.53,screen,24
2.3,-0.32,0.08,0.03,3.1,0.05,0.36,0.03,0.03,0.6,screen,25
2.2,-0.33,0.08,-0.21,2.5,0.04,0.57,0.02,0.03,0.69,screen,26
2.2,-0.34,0.08,-0.0,3.1,0.06,0.31,0.03,0.03,0.6,screen,27
2.2,-0.32,0.08,-0.13,3.1,0.05,0.36,0.03,0.03,0.6,screen,28
2.1,-0.32,0.07,-0.2,2.9,0.05,0.42,0.03,0.03,0.66,screen,29
2.1,-0.31,0.07,-0.22,2.7,0.04,0.49,0.03,0.03,0.68,screen,30
2.1,-0.31,0.08,-0.0,2.7,0.04,0.57,0.02,0.02,0.72,screen,31
2.0,-0.35,0.07,-0.35,2.2,0.03,0.72,0.01,0.03,0.79,screen,32
2.1,-0.34,0.08,-0.17,2.1,0.03,0.74,0.01,0.04,0.79,screen,33
1.9,-0.35,0.06,-0.37,2.1,0.03,0.77,0.01,0.03,0.81,screen,34
2.0,-0.33,0.06,0.04,2.7,0.03,0.56,0.02,0.02,0.72,screen,35
2.0,-0.35,0.06,-0.36,2.0,0.03,0.77,0.01,0.03,0.81,screen,36
1.8,-0.37,0.06,0.02,2.5,0.03,0.65,0.02,0.01,0.77,screen,37
1.8,-0.36,0.05,0.01,2.2,0.02,0.73,0.01,0.01,0.82,screen,38
1.8,-0.39,0.05,0.02,2.4,0.03,0.64,0.02,0.01,0.77,screen,39
1.8,-0.39,0.05,0.04,1.8,0.02,0.81,0.01,0.01,0.85,screen,40
2.4,-0.31,0.14,0.03,2.6,0.05,0.58,0.02,0.03,0.65,screen,41
2.1,-0.34,0.07,-0.11,3.0,0.05,0.4,0.03,0.02,0.63,screen,42
