hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
5.4,-0.76,0.34,11.3,4.2,0.09,0.08,0.05,0.07,0.46,screen,1
5.0,-0.59,0.32,10.4,4.2,0.09,0.11,0.04,0.06,0.46,screen,2
4.3,-0.32,0.3,3.1,4.2,0.09,0.12,0.04,0.06,0.46,screen,3
4.1,-0.28,0.28,1.9,4.3,0.08,0.11,0.04,0.06,0.46,screen,4
4.4,-0.41,0.29,2.9,3.9,0.08,0.13,0.04,0.07,0.47,screen,5
4.2,-0.32,0.28,1.8,4.2,0.08,0.11,0.04,0.06,0.46,screen,6
3.8,-0.24,0.23,1.0,4.4,0.08,0.11,0.04,0.06,0.47,screen,7
3.8,-0.27,0.24,0.55,4.2,0.08,0.12,0.04,0.06,0.47,screen,8
3.6,-0.31,0.21,1.2,4.3,0.08,0.13,0.04,0.05,0.47,screen,9
3.8,-0.28,0.24,1.2,4.6,0.09,0.09,0.05,0.06,0.45,screen,10
3.7,-0.34,0.23,0.52,4.2,0.08,0.14,0.04,0.06,0.48,screen,11
3.4,-0.34,0.21,0.47,4.2,0.08,0.14,0.04,0.05,0.49,screen,12
3.6,-0.32,0.22,0.44,4.1,0.08,0.14,0.04,0.05,0.48,screen,13
3.7,-0.29,0.21,0.32,4.0,0.07,0.17,0.04,0.05,0.5,screen,14
3.4,-0.32,0.2,0.2,4.1,0.07,0.16,0.04,0.05,0.49,screen,15
3.2,-0.37,0.18,0.09,4.1,0.08,0.14,0.04,0.05,0.48,screen,16
2.6,-0.36,0.12,0.06,3.8,0.07,0.18,0.04,0.03,0.5,screen,17
2.7,-0.35,0.12,0.04,3.9,0.07,0.16,0.04,0.03,0.48,screen,18
2.4,-0.41,0.1,0.08,3.8,0.07,0.18,0.04,0.03,0.5,screen,19
2.3,-0.4,0.09,0.09,3.6,0.06,0.23,0.04,0.03,0.53,screen,20
2.4,-0.42,0.09,0.06,3.6,0.06,0.23,0.04,0.03,0.53,screen,21
2.2,-0.48,0.08,0.08,3.3,0.05,0.31,0.03,0.02,0.57,screen,22
3.4,-0.33,0.2,-0.08,3.9,0.07,0.18,0.04,0.05,0.5,screen,23
2.2,-0.49,0.08,0.06,3.4,0.06,0.28,0.04,0.02,0.56,screen,24
2.1,-0.48,0.08,0.09,3.2,0.05,0.34,0.03,0.02,0.6,screen,25
2.1,-0.52,0.08,0.27,3.5,0.06,0.23,0.04,0.02,0.54,screen,26
2.0,-0.52,0.07,0.27,3.2,0.05,0.33,0.03,0.02,0.6,screen,27
1.9,-0.55,0.07,0.19,3.5,0.06,0.24,0.04,0.02,0.57,screen,28
1.8,-0.58,0.06,0.25,2.7,0.04,0.53,0.02,0.01,0.71,screen,29
1.8,-0.58,0.06,0.33,2.9,0.04,0.5,0.03,0.01,0.7,screen,30
1.9,-0.54,0.07,0.22,3.0,0.04,0.43,0.03,0.02,0.65,screen,31
1.9,-0.56,0.06,0.2,2.7,0.03,0.57,0.02,0.02,0.71,screen,32
2.0,-0.57,0.06,0.24,2.6,0.03,0.59,0.02,0.02,0.73,screen,33
1.9,-0.55,0.06,0.21,2.7,0.03,0.55,0.02,0.01,0.7,screen,34
1.9,-0.51,0.06,0.16,3.0,0.04,0.43,0.03,0.02,0.65,screen,35
1.9,-0.6,0.05,0.17,2.4,0.03,0.67,0.02,0.01,0.77,screen,36
2.2,-0.53,0.08,0.14,2.9,0.04,0.49,0.03,0.02,0.67,screen,37
