hPDL1.binder_contacts,hPDL1.binder_helicity,hPDL1.binder_pae,hPDL1.compactness,hPDL1.interface_contacts,hPDL1.interface_pae,hPDL1.iptm,hPDL1.iptm_loss,hPDL1.plddt_loss,hPDL1.ptm,phase,round
5.6,-0.73,0.35,15.6,4.8,0.1,0.05,0.05,0.07,0.43,screen,1
4.7,-0.44,0.32,4.7,4.4,0.09,0.09,0.05,0.07,0.44,screen,2
4.2,-0.33,0.29,2.3,4.2,0.08,0.12,0.04,0.06,0.46,screen,3
3.8,-0.25,0.24,2.4,4.6,0.09,0.1,0.05,0.06,0.44,screen,4
3.8,-0.28,0.25,1.2,4.2,0.08,0.12,0.04,0.06,0.46,screen,5
3.5,-0.34,0.23,0.22,4.2,0.08,0.14,0.04,0.06,0.47,screen,6
3.6,-0.33,0.22,0.22,4.3,0.08,0.11,0.04,0.06,0.45,screen,7
3.2,-0.35,0.21,0.56,4.2,0.08,0.13,0.04,0.05,0.46,screen,8
3.3,-0.35,0.21,0.06,4.5,0.09,0.09,0.05,0.05,0.44,screen,9
3.1,-0.34,0.18,-0.11,4.2,0.08,0.13,0.04,0.05,0.46,screen,10
3.2,-0.35,0.18,-0.17,3.9,0.07,0.21,0.04,0.05,0.51,screen,11
3.3,-0.34,0.18,-0.14,3.8,0.07,0.23,0.04,0.05,0.51,screen,12
3.0,-0.36,0.14,-0.03,3.3,0.06,0.38,0.03,0.04,0.57,screen,13
2.9,-0.35,0.14,-0.01,3.1,0.06,0.42,0.03,0.04,0.57,screen,14
2.6,-0.4,0.11,0.06,2.9,0.04,0.52,0.02,0.03,0.66,screen,15
2.5,-0.39,0.1,0.18,2.5,0.04,0.65,0.02,0.03,0.7,screen,16
2.3,-0.44,0.09,0.16,2.1,0.03,0.75,0.01,0.02,0.76,screen,17
2.1,-0.46,0.07,0.15,2.5,0.03,0.64,0.02,0.02,0.73,screen,18
2.0,-0.46,0.07,0.21,1.8,0.02,0.82,0.01,0.02,0.83,screen,19
2.3,-0.41,0.09,0.18,2.3,0.03,0.69,0.02,0.02,0.75,screen,20
1.9,-0.51,0.06,0.16,1.9,0.03,0.8,0.01,0.01,0.82,screen,21
1.8,-0.54,0.06,0.25,1.8,0.02,0.82,0.01,0.01,0.84,screen,22
1.7,-0.6,0.05,0.21,1.6,0.02,0.85,0.01,0.01,0.86,screen,23
1.7,-0.6,0.05,0.2,1.6,0.02,0.85,0.01,0.01,0.86,screen,24
2.1,-0.53,0.08,0.22,1.6,0.03,0.83,0.01,0.02,0.82,screen,25
1.9,-0.52,0.07,0.15,2.1,0.03,0.77,0.01,0.02,0.81,screen,26
1.7,-0.6,0.06,0.16,1.6,0.02,0.84,0.01,0.01,0.86,screen,27
1.6,-0.61,0.05,0.13,1.6,0.02,0.85,0.01,0.01,0.88,screen,28
1.6,-0.64,0.04,0.13,1.6,0.02,0.83,0.01,0.01,0.87,screen,29
1.5,-0.63,0.05,0.15,1.5,0.02,0.85,0.01,0.01,0.88,screen,30
1.7,-0.6,0.05,0.14,1.4,0.02,0.86,0.01,0.01,0.88,screen,31
1.6,-0.62,0.05,0.13,1.4,0.02,0.86,0.01,0.01,0.88,screen,32
1.5,-0.64,0.04,0.12,1.4,0.02,0.87,0.01,0.01,0.89,screen,33
1.6,-0.62,0.04,0.12,1.5,0.02,0.86,0.01,0.01,0.89,screen,34
1.5,-0.65,0.04,0.11,1.4,0.02,0.85,0.01,0.01,0.89,screen,35
1.8,-0.51,0.05,0.08,3.3,0.05,0.29,0.04,0.02,0.61,screen,36
1.5,-0.63,0.04,0.09,1.5,0.02,0.86,0.01,0.01,0.89,screen,37
1.6,-0.57,0.05,0.09,1.6,0.02,0.85,0.01,0.01,0.88,screen,38
1.7,-0.56,0.05,0.16,1.5,0.02,0.85,0.01,0.01,0.87,screen,39
1.6,-0.61,0.05,0.12,1.4,0.02,0.87,0.01,0.01,0.89,screen,40
2.3,-0.42,0.09,0.1,2.1,0.03,0.75,0.01,0.02,0.75,screen,41
1.5,-0.62,0.04,0.12,1.5,0.02,0.86,0.01,0.01,0.89,screen,42
2.0,-0.46,0.07,0.07,3.3,0.05,0.3,0.04,0.02,0.58,screen,43
2.0,-0.48,0.07,0.12,2.0,0.03,0.79,0.01,0.02,0.81,screen,44
1.6,-0.57,0.05,0.11,1.7,0.02,0.84,0.01,0.01,0.87,screen,45
1.7,-0.57,0.05,0.08,1.5,0.02,0.87,0.01,0.01,0.88,screen,46
1.6,-0.59,0.05,0.07,1.4,0.02,0.86,0.01,0.01,0.88,screen,47
1.6,-0.58,0.05,0.08,1.6,0.02,0.85,0.01,0.01,0.88,screen,48
1.8,-0.52,0.06,0.11,1.5,0.02,0.86,0.01,0.01,0.86,screen,49
2.6,-0.36,0.12,-0.11,3.7,0.07,0.22,0.04,0.03,0.51,screen,50
3.5,-0.27,0.22,-0.19,4.3,0.08,0.12,0.04,0.06,0.45,refine,1
2.8,-0.33,0.14,0.42,2.6,0.04,0.63,0.02,0.03,0.69,refine,2
3.3,-0.31,0.22,0.05,4.0,0.08,0.17,0.04,0.06,0.48,refine,3
3.6,-0.29,0.24,0.01,4.4,0.08,0.11,0.04,0.06,0.45,refine,4
3.6,-0.29,0.24,0.0,4.3,0.08,0.12,0.04,0.06,0.45,refine,5
3.7,-0.29,0.24,-0.15,4.2,0.08,0.13,0.04,0.06,0.46,refine,6
3.3,-0.3,0.19,-0.05,4.2,0.08,0.14,0.04,0.05,0.47,refine,7
3.3,-0.29,0.18,-0.18,3.7,0.07,0.24,0.04,0.05,0.52,refine,8
3.0,-0.3,0.15,-0.11,3.5,0.06,0.29,0.04,0.04,0.54,refine,9
