profiled Boltz.forward wall 47.879 s

===== BY CUMULATIVE TIME (top 45) =====
         3522844 function calls (3490928 primitive calls) in 47.796 seconds

   Ordered by: cumulative time
   List reduced from 418 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.142    0.142   47.802   47.802 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/model/models/boltz.py:469(forward)
  817/512    0.004    0.000   46.081    0.090 /home/ttuser/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:1775(_wrapped_call_impl)
  817/512    0.181    0.000   46.079    0.090 /home/ttuser/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:1783(_call_impl)
1118819/1087541   32.368    0.000   37.150    0.000 /home/ttuser/.local/lib/python3.10/site-packages/ttnn/decorators.py:455(__call__)
        1    0.089    0.089   23.469   23.469 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/model/modules/diffusion.py:301(sample)
      500    0.040    0.000   22.054    0.044 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/model/modules/diffusion.py:179(preconditioned_network_forward)
      500    0.006    0.000   21.890    0.044 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/adapter.py:122(forward)
      500    0.062    0.000   21.884    0.044 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:5062(forward)
        1    0.029    0.029   21.642   21.642 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:5765(forward)
        4    0.163    0.041   19.125    4.781 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:5726(_iteration)
      500    0.005    0.000   17.679    0.035 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:5039(_run_diffusion_device)
      500    0.043    0.000   17.671    0.035 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:4466(__call__)
     1500    0.102    0.000   17.068    0.011 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:3873(__call__)
    15000    0.194    0.000   16.217    0.001 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:3818(__call__)
      288    0.026    0.000   14.747    0.051 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:3340(__call__)
