profiled Boltz.forward wall 44.963 s

===== BY CUMULATIVE TIME (top 45) =====
         3508872 function calls (3477030 primitive calls) in 44.877 seconds

   Ordered by: cumulative time
   List reduced from 413 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.141    0.141   44.883   44.883 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/model/models/boltz.py:469(forward)
  785/512    0.004    0.000   43.355    0.085 /home/ttuser/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:1775(_wrapped_call_impl)
  785/512    0.164    0.000   43.352    0.085 /home/ttuser/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:1783(_call_impl)
1115482/1084212   32.117    0.000   35.555    0.000 /home/ttuser/.local/lib/python3.10/site-packages/ttnn/decorators.py:455(__call__)
        1    0.091    0.091   23.200   23.200 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/model/modules/diffusion.py:301(sample)
      500    0.074    0.000   22.071    0.044 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/model/modules/diffusion.py:179(preconditioned_network_forward)
      500    0.005    0.000   21.814    0.044 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/adapter.py:122(forward)
      500    0.065    0.000   21.808    0.044 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:5067(forward)
        1    0.032    0.032   18.898   18.898 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:5810(forward)
      500    0.008    0.000   17.609    0.035 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:5044(_run_diffusion_device)
      500    0.042    0.000   17.600    0.035 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:4471(__call__)
     1500    0.102    0.000   17.022    0.011 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:3878(__call__)
        4    0.000    0.000   16.264    4.066 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:5769(_iteration)
    15000    0.192    0.000   16.185    0.001 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:3823(__call__)
      280    0.023    0.000   14.860    0.053 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:3345(__call__)
        8    0.002    0.000   14.340    1.793 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:3426(__call__)
    15256    0.474    0.000    7.978    0.001 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:2973(__call__)
      560    0.034    0.000    6.477    0.012 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:2159(__call__)
    15000    0.191    0.000    5.123    0.000 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:3745(__call__)
     1552    0.020    0.000    4.861    0.003 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:3160(__call__)
    30000    0.291    0.000    4.733    0.000 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:3686(__call__)
    12360    0.076    0.000    4.344    0.000 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:3161(swiglu)
      296    0.013    0.000    3.891    0.013 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:3275(<listcomp>)
      560    0.028    0.000    2.794    0.005 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:2559(__call__)
