01:01:09  [tt-quietbox2:tt0] loading model…
01:01:10  [tt-quietbox2:tt0] prot
01:01:10  [tt-quietbox2:tt0]   msa
01:01:10  [tt-quietbox2:tt0]   prep
01:01:11  [tt-quietbox2:tt0]   trunk 0/10
01:01:11  [tt-quietbox2:tt0]   trunk 1/10
01:01:11  [tt-quietbox2:tt0]   trunk 2/10
01:01:12  [tt-quietbox2:tt0]   trunk 3/10
01:01:12  [tt-quietbox2:tt0]   trunk 4/10
01:01:12  [tt-quietbox2:tt0]   trunk 5/10
01:01:13  [tt-quietbox2:tt0]   trunk 6/10
01:01:13  [tt-quietbox2:tt0]   trunk 7/10
01:01:14  [tt-quietbox2:tt0]   trunk 8/10
01:01:14  [tt-quietbox2:tt0]   trunk 9/10
01:01:15  [tt-quietbox2:tt0]   diffusion 0/200
01:01:15  [tt-quietbox2:tt0]   diffusion 1/200
01:01:15  [tt-quietbox2:tt0]   diffusion 2/200
01:01:15  [tt-quietbox2:tt0]   diffusion 3/200
01:01:15  [tt-quietbox2:tt0]   diffusion 4/200
01:01:16  [tt-quietbox2:tt0]   diffusion 5/200
01:01:16  [tt-quietbox2:tt0]   diffusion 6/200
01:01:16  [tt-quietbox2:tt0]   diffusion 7/200
01:01:16  [tt-quietbox2:tt0]   diffusion 8/200
01:01:16  [tt-quietbox2:tt0]   diffusion 9/200
01:01:16  [tt-quietbox2:tt0]   diffusion 10/200
01:01:16  [tt-quietbox2:tt0]   diffusion 11/200
01:01:16  [tt-quietbox2:tt0]   diffusion 12/200
01:01:16  [tt-quietbox2:tt0]   diffusion 13/200
01:01:16  [tt-quietbox2:tt0]   diffusion 14/200
01:01:16  [tt-quietbox2:tt0]   diffusion 15/200
01:01:16  [tt-quietbox2:tt0]   diffusion 16/200
01:01:16  [tt-quietbox2:tt0]   diffusion 17/200
01:01:16  [tt-quietbox2:tt0]   diffusion 18/200
01:01:16  [tt-quietbox2:tt0]   diffusion 19/200
01:01:16  [tt-quietbox2:tt0]   diffusion 20/200
01:01:16  [tt-quietbox2:tt0]   diffusion 21/200
