[release-gate] granted card(s) [3]
[release-gate] scoring tt_bio from /home/ttuser/.coworker/wt/land-standing/tt_bio (commit 064e5ad5a)

======================================================================
[esmfold2] folding prot.yaml (200 steps, 5 samples)
======================================================================
05:13:06  [tt-quietbox2:tt3] loading model…
05:13:32  [tt-quietbox2:tt3] prot
05:13:32  [tt-quietbox2:tt3]   prep
05:13:52  [tt-quietbox2:tt3]   trunk 0/11
05:14:09  [tt-quietbox2:tt3]   trunk 1/11
05:14:11  [tt-quietbox2:tt3]   trunk 2/11
05:14:12  [tt-quietbox2:tt3]   trunk 3/11
05:14:14  [tt-quietbox2:tt3]   trunk 4/11
05:14:15  [tt-quietbox2:tt3]   trunk 5/11
05:14:17  [tt-quietbox2:tt3]   trunk 6/11
05:14:18  [tt-quietbox2:tt3]   trunk 7/11
05:14:18  [tt-quietbox2:tt3]   trunk 8/11
05:14:19  [tt-quietbox2:tt3]   trunk 9/11
05:14:20  [tt-quietbox2:tt3]   trunk 10/11
05:14:31  [tt-quietbox2:tt3]   diffusion 0/134
05:14:45  [tt-quietbox2:tt3]   diffusion 1/134
05:14:45  [tt-quietbox2:tt3]   diffusion 2/134
05:14:45  [tt-quietbox2:tt3]   diffusion 3/134
05:14:46  [tt-quietbox2:tt3]   diffusion 4/134
05:14:46  [tt-quietbox2:tt3]   diffusion 5/134
05:14:46  [tt-quietbox2:tt3]   diffusion 6/134
05:14:46  [tt-quietbox2:tt3]   diffusion 7/134
05:14:46  [tt-quietbox2:tt3]   diffusion 8/134
05:14:46  [tt-quietbox2:tt3]   diffusion 9/134
05:14:46  [tt-quietbox2:tt3]   diffusion 10/134
05:14:47  [tt-quietbox2:tt3]   diffusion 11/134
05:14:47  [tt-quietbox2:tt3]   diffusion 12/134
05:14:47  [tt-quietbox2:tt3]   diffusion 13/134
05:14:47  [tt-quietbox2:tt3]   diffusion 14/134
05:14:47  [tt-quietbox2:tt3]   diffusion 15/134
05:14:47  [tt-quietbox2:tt3]   diffusion 16/134
05:14:47  [tt-quietbox2:tt3]   diffusion 17/134
05:14:47  [tt-quietbox2:tt3]   diffusion 18/134
05:14:47  [tt-quietbox2:tt3]   diffusion 19/134
05:14:47  [tt-quietbox2:tt3]   diffusion 20/134
05:14:47  [tt-quietbox2:tt3]   diffusion 21/134
05:14:47  [tt-quietbox2:tt3]   diffusion 22/134
05:14:47  [tt-quietbox2:tt3]   diffusion 23/134
05:14:47  [tt-quietbox2:tt3]   diffusion 24/134
05:14:47  [tt-quietbox2:tt3]   diffusion 25/134
05:14:48  [tt-quietbox2:tt3]   diffusion 26/134
05:14:48  [tt-quietbox2:tt3]   diffusion 27/134
05:14:48  [tt-quietbox2:tt3]   diffusion 28/134
05:14:48  [tt-quietbox2:tt3]   diffusion 29/134
05:14:48  [tt-quietbox2:tt3]   diffusion 30/134
05:14:48  [tt-quietbox2:tt3]   diffusion 31/134
05:14:48  [tt-quietbox2:tt3]   diffusion 32/134
05:14:48  [tt-quietbox2:tt3]   diffusion 33/134
05:14:48  [tt-quietbox2:tt3]   diffusion 34/134
05:14:48  [tt-quietbox2:tt3]   diffusion 35/134
05:14:48  [tt-quietbox2:tt3]   diffusion 36/134
05:14:48  [tt-quietbox2:tt3]   diffusion 37/134
05:14:48  [tt-quietbox2:tt3]   diffusion 38/134
05:14:48  [tt-quietbox2:tt3]   diffusion 39/134
05:14:48  [tt-quietbox2:tt3]   diffusion 40/134
05:14:49  [tt-quietbox2:tt3]   diffusion 41/134
05:14:49  [tt-quietbox2:tt3]   diffusion 42/134
05:14:49  [tt-quietbox2:tt3]   diffusion 43/134
05:14:49  [tt-quietbox2:tt3]   diffusion 44/134
05:14:49  [tt-quietbox2:tt3]   diffusion 45/134
05:14:49  [tt-quietbox2:tt3]   diffusion 46/134
05:14:49  [tt-quietbox2:tt3]   diffusion 47/134
05:14:49  [tt-quietbox2:tt3]   diffusion 48/134
05:14:49  [tt-quietbox2:tt3]   diffusion 49/134
05:14:49  [tt-quietbox2:tt3]   diffusion 50/134
05:14:49  [tt-quietbox2:tt3]   diffusion 51/134
05:14:49  [tt-quietbox2:tt3]   diffusion 52/134
05:14:49  [tt-quietbox2:tt3]   diffusion 53/134
