[release-gate] granted card(s) [3]
[release-gate] scoring tt_bio from /home/ttuser/.coworker/wt/land-standing/tt_bio (commit a6c39ac87)

======================================================================
[openfold3] folding prot.yaml (200 steps, 5 samples)
======================================================================
08:34:45  [tt-quietbox2:tt3] loading model…
08:34:51  [tt-quietbox2:tt3] prot
08:34:52  [tt-quietbox2:tt3]   msa
08:34:52  [tt-quietbox2:tt3]   prep
08:34:55  [tt-quietbox2:tt3]   trunk 0/4
08:34:55  [tt-quietbox2:tt3]   trunk 1/4
08:34:55  [tt-quietbox2:tt3]   trunk 2/4
08:34:56  [tt-quietbox2:tt3]   trunk 3/4
08:34:56  [tt-quietbox2:tt3]   diffusion 0/1000
08:34:57  [tt-quietbox2:tt3]   diffusion 1/1000
08:34:57  [tt-quietbox2:tt3]   diffusion 2/1000
08:34:57  [tt-quietbox2:tt3]   diffusion 3/1000
08:34:57  [tt-quietbox2:tt3]   diffusion 4/1000
08:34:57  [tt-quietbox2:tt3]   diffusion 5/1000
08:34:57  [tt-quietbox2:tt3]   diffusion 6/1000
08:34:57  [tt-quietbox2:tt3]   diffusion 7/1000
08:34:57  [tt-quietbox2:tt3]   diffusion 8/1000
08:34:58  [tt-quietbox2:tt3]   diffusion 9/1000
08:34:58  [tt-quietbox2:tt3]   diffusion 10/1000
08:34:58  [tt-quietbox2:tt3]   diffusion 11/1000
08:34:58  [tt-quietbox2:tt3]   diffusion 12/1000
08:34:58  [tt-quietbox2:tt3]   diffusion 13/1000
08:34:58  [tt-quietbox2:tt3]   diffusion 14/1000
08:34:58  [tt-quietbox2:tt3]   diffusion 15/1000
08:34:58  [tt-quietbox2:tt3]   diffusion 16/1000
08:34:58  [tt-quietbox2:tt3]   diffusion 17/1000
08:34:59  [tt-quietbox2:tt3]   diffusion 18/1000
08:34:59  [tt-quietbox2:tt3]   diffusion 19/1000
08:34:59  [tt-quietbox2:tt3]   diffusion 20/1000
08:34:59  [tt-quietbox2:tt3]   diffusion 21/1000
08:34:59  [tt-quietbox2:tt3]   diffusion 22/1000
08:34:59  [tt-quietbox2:tt3]   diffusion 23/1000
08:34:59  [tt-quietbox2:tt3]   diffusion 24/1000
08:34:59  [tt-quietbox2:tt3]   diffusion 25/1000
08:34:59  [tt-quietbox2:tt3]   diffusion 26/1000
08:34:59  [tt-quietbox2:tt3]   diffusion 27/1000
08:35:00  [tt-quietbox2:tt3]   diffusion 28/1000
08:35:00  [tt-quietbox2:tt3]   diffusion 29/1000
08:35:00  [tt-quietbox2:tt3]   diffusion 30/1000
08:35:00  [tt-quietbox2:tt3]   diffusion 31/1000
08:35:00  [tt-quietbox2:tt3]   diffusion 32/1000
08:35:00  [tt-quietbox2:tt3]   diffusion 33/1000
08:35:00  [tt-quietbox2:tt3]   diffusion 34/1000
08:35:00  [tt-quietbox2:tt3]   diffusion 35/1000
08:35:00  [tt-quietbox2:tt3]   diffusion 36/1000
08:35:00  [tt-quietbox2:tt3]   diffusion 37/1000
08:35:01  [tt-quietbox2:tt3]   diffusion 38/1000
08:35:01  [tt-quietbox2:tt3]   diffusion 39/1000
08:35:01  [tt-quietbox2:tt3]   diffusion 40/1000
08:35:01  [tt-quietbox2:tt3]   diffusion 41/1000
08:35:01  [tt-quietbox2:tt3]   diffusion 42/1000
08:35:01  [tt-quietbox2:tt3]   diffusion 43/1000
08:35:01  [tt-quietbox2:tt3]   diffusion 44/1000
08:35:01  [tt-quietbox2:tt3]   diffusion 45/1000
08:35:01  [tt-quietbox2:tt3]   diffusion 46/1000
08:35:02  [tt-quietbox2:tt3]   diffusion 47/1000
08:35:02  [tt-quietbox2:tt3]   diffusion 48/1000
08:35:02  [tt-quietbox2:tt3]   diffusion 49/1000
08:35:02  [tt-quietbox2:tt3]   diffusion 50/1000
08:35:02  [tt-quietbox2:tt3]   diffusion 51/1000
08:35:02  [tt-quietbox2:tt3]   diffusion 52/1000
08:35:02  [tt-quietbox2:tt3]   diffusion 53/1000
08:35:02  [tt-quietbox2:tt3]   diffusion 54/1000
08:35:02  [tt-quietbox2:tt3]   diffusion 55/1000
08:35:02  [tt-quietbox2:tt3]   diffusion 56/1000
08:35:03  [tt-quietbox2:tt3]   diffusion 57/1000
08:35:03  [tt-quietbox2:tt3]   diffusion 58/1000
08:35:03  [tt-quietbox2:tt3]   diffusion 59/1000
08:35:03  [tt-quietbox2:tt3]   diffusion 60/1000
08:35:03  [tt-quietbox2:tt3]   diffusion 61/1000
08:35:04  [tt-quietbox2:tt3]   diffusion 62/1000
08:35:04  [tt-quietbox2:tt3]   diffusion 63/1000
08:35:04  [tt-quietbox2:tt3]   diffusion 64/1000
08:35:04  [tt-quietbox2:tt3]   diffusion 65/1000
08:35:04  [tt-quietbox2:tt3]   diffusion 66/1000
08:35:04  [tt-quietbox2:tt3]   diffusion 67/1000
08:35:04  [tt-quietbox2:tt3]   diffusion 68/1000
08:35:04  [tt-quietbox2:tt3]   diffusion 69/1000
08:35:04  [tt-quietbox2:tt3]   diffusion 70/1000
08:35:04  [tt-quietbox2:tt3]   diffusion 71/1000
08:35:05  [tt-quietbox2:tt3]   diffusion 72/1000
08:35:05  [tt-quietbox2:tt3]   diffusion 73/1000
08:35:05  [tt-quietbox2:tt3]   diffusion 74/1000
08:35:05  [tt-quietbox2:tt3]   diffusion 75/1000
08:35:05  [tt-quietbox2:tt3]   diffusion 76/1000
08:35:05  [tt-quietbox2:tt3]   diffusion 77/1000
08:35:05  [tt-quietbox2:tt3]   diffusion 78/1000
08:35:05  [tt-quietbox2:tt3]   diffusion 79/1000
08:35:05  [tt-quietbox2:tt3]   diffusion 80/1000
08:35:05  [tt-quietbox2:tt3]   diffusion 81/1000
08:35:05  [tt-quietbox2:tt3]   diffusion 82/1000
08:35:06  [tt-quietbox2:tt3]   diffusion 83/1000
08:35:06  [tt-quietbox2:tt3]   diffusion 84/1000
08:35:06  [tt-quietbox2:tt3]   diffusion 85/1000
08:35:06  [tt-quietbox2:tt3]   diffusion 86/1000
08:35:06  [tt-quietbox2:tt3]   diffusion 87/1000
08:35:06  [tt-quietbox2:tt3]   diffusion 88/1000
08:35:06  [tt-quietbox2:tt3]   diffusion 89/1000
08:35:06  [tt-quietbox2:tt3]   diffusion 90/1000
08:35:06  [tt-quietbox2:tt3]   diffusion 91/1000
08:35:07  [tt-quietbox2:tt3]   diffusion 92/1000
08:35:07  [tt-quietbox2:tt3]   diffusion 93/1000
08:35:07  [tt-quietbox2:tt3]   diffusion 94/1000
08:35:07  [tt-quietbox2:tt3]   diffusion 95/1000
08:35:07  [tt-quietbox2:tt3]   diffusion 96/1000
08:35:07  [tt-quietbox2:tt3]   diffusion 97/1000
08:35:07  [tt-quietbox2:tt3]   diffusion 98/1000
08:35:07  [tt-quietbox2:tt3]   diffusion 99/1000
08:35:07  [tt-quietbox2:tt3]   diffusion 100/1000
08:35:07  [tt-quietbox2:tt3]   diffusion 101/1000
08:35:07  [tt-quietbox2:tt3]   diffusion 102/1000
08:35:08  [tt-quietbox2:tt3]   diffusion 103/1000
08:35:08  [tt-quietbox2:tt3]   diffusion 104/1000
08:35:08  [tt-quietbox2:tt3]   diffusion 105/1000
08:35:08  [tt-quietbox2:tt3]   diffusion 106/1000
08:35:08  [tt-quietbox2:tt3]   diffusion 107/1000
08:35:08  [tt-quietbox2:tt3]   diffusion 108/1000
08:35:08  [tt-quietbox2:tt3]   diffusion 109/1000
08:35:08  [tt-quietbox2:tt3]   diffusion 110/1000
