model/target                 seeds  shipped  unified   plddt     ptm  random   floor  moved   clk
-------------------------------------------------------------------------------------------------
opendde/multimer                 1      -        -       -       -       -       -   0/1     1350
opendde/ubq                      4    1.061    1.104   1.027   1.061   0.936   0.399 1/4     1350
openfold3/9gfr_pep               3   11.138   11.138  11.138  11.138  34.190   0.546 0/3     1350
openfold3/multimer               2      -        -       -       -       -     8.202 0/2     1350
openfold3/ubq                    4    0.819    0.819   0.781   0.819   0.797   0.467 0/4     1350
protenix-v2/9gfr_pep             4   51.430   45.871  45.871  51.430  47.979  16.441 4/4     1350
protenix-v2/multimer             2      -        -       -       -       -     1.651 0/2     1350
protenix-v2/ubq                  4    1.892    1.892   1.892   1.892   1.417   1.338 0/4     1350
rf3/9gfr_abag                    2   30.939   30.939  38.976  30.939  35.927  18.341 0/2     1350
rf3/9gfr_pep                     4   39.556   37.203  37.203  39.556  46.150  36.001 1/4     1350
rf3/multimer                     2      -        -       -       -       -    24.560 0/2     1350
rf3/ubq                          4    0.668    0.676   0.671   0.668   0.677   0.092 2/4     1350

model/target                  iptm samples  exact  worst diff  served same
opendde/multimer                         5      5   0.000e+00         True
openfold3/multimer                      10     10   0.000e+00         True
protenix-v2/multimer                    10     10   0.000e+00         True
rf3/9gfr_abag                           10     10   0.000e+00         True
rf3/multimer                            10     10   0.000e+00         True

model/target                  pLDDT~pTM  pLDDT~qual  pTM~qual  seeds
opendde/multimer                    -           -         -        0
opendde/ubq                      +0.450      -0.725    -0.450      4
openfold3/9gfr_pep               +0.800      +0.800    +0.700      3
openfold3/multimer                  -           -         -        0
openfold3/ubq                    +0.900      -0.150    -0.050      4
protenix-v2/9gfr_pep             -0.775      +0.825    -0.800      4
protenix-v2/multimer                -           -         -        0
protenix-v2/ubq                  +0.950      -0.650    -0.775      4
rf3/9gfr_abag                    -0.600      -0.650    +0.750      2
rf3/9gfr_pep                     +0.775      +0.575    +0.250      4
rf3/multimer                        -           -         -        0
rf3/ubq                          -0.350      +0.125    +0.075      4

RANK MAP UNVERIFIED (do not quote these): ['rf3/multimer']
