arm         warm  acc    rho  share20 |    d1_ours     rel_d2    rel_d20     med20   floor20  d20/floor | exp k2-20    r2 | exp >10xfl from k
avg           20    4  0.005   0.5064 |  0.000e+00  8.715e-03  9.741e-02 3.987e-02  2.92e-06  3.341e+04 |    +1.267 0.964 |     +1.267      2
avgstale      20    4  0.005   0.5064 |  0.000e+00  8.036e-02  9.591e-02 4.933e-02  2.92e-06  3.290e+04 |    +0.136 0.039 |     +0.136      2
miswire       20    4  0.005   0.5064 |  1.407e+00  2.255e+00  3.693e-01 1.843e-01  2.92e-06  1.267e+05 |    -0.707 0.878 |     -0.707      2
scaled        20    4  0.005   0.5064 |  0.000e+00  1.084e-01  2.938e-01 7.208e-02  2.92e-06  1.008e+05 |    +0.406 0.967 |     +0.406      2
shipped     1000    1  5.000   0.9935 |  0.000e+00  1.522e-02  2.728e-01 9.255e-02  1.55e-04  1.758e+03 |    +1.116 0.943 |     +0.880      4
shipped     1000    1  0.050   0.1108 |  0.000e+00  1.522e-02  2.163e-01 2.446e-02  1.47e-04  1.473e+03 |    +1.427 0.951 |     +1.439      6
shipped     1000    1  0.500   0.7239 |  0.000e+00  1.522e-02  2.547e-01 4.916e-02  1.52e-04  1.679e+03 |    +1.275 0.978 |     +1.073      5
stale         20    4  0.005   0.5064 |  0.000e+00  1.071e-01  2.879e-01 7.211e-02  2.92e-06  9.877e+04 |    +0.404 0.925 |     +0.404      2
wd0           20    4  0.005   0.5064 |  0.000e+00  1.083e-01  1.105e-01 7.066e-02  2.92e-06  3.789e+04 |    -0.152 0.442 |     -0.152      2
wired         20    4  0.005   0.5064 |  0.000e+00  1.435e-01  1.141e-01 4.120e-02  2.92e-06  3.912e+04 |    -0.132 0.361 |     -0.132      2
