# RFD3_TUNE_LOG=1 RFD3_TUNE_AUDIT=1, page fixture R4, qb2 card 0, ttnn 0.68.0, batch 1.
# Taken with a branch-local change that routed Transition.fc1 (silu-gated) through _tuned_linear
# with the activation fused onto the program config. The change is NOT on the branch: it is a
# measured NO-GO and was reverted.
#
# Read the duplicate shapes as (fc1 with silu, then fc2 without). Both fc1 shapes came back
# DEFAULT -- no fused-silu program config was both bit-exact and >= 1.05x faster than the
# activated default -- while every unactivated sibling tuned: 2.23x, 1.11x, 3.48x, 4.68x.
# The activated default is itself slower than the identical unactivated shape (6.668 vs 4.987 ms,
# 8.311 vs 4.791), so the silu costs ~1.7-3.5 ms/call on top of the matmul.
#
# 0 DIVERGES lines over the whole run, so the calibrated configs that DO ship are bit-exact here.
[tune] x=(1, 6080, 128) w=(128, 128) default=   0.030 ms  under 0.25 ms floor, SKIP
[tune] x=(1, 6080, 128) w=(128, 128) default=   0.025 ms  under 0.25 ms floor, SKIP
[tune] x=(1, 6051, 128, 32) w=(32, 32) default=   0.453 ms  gain= 1.00x  DEFAULT
[tune] x=(1, 6080, 128) w=(128, 256) default=   0.040 ms  under 0.25 ms floor, SKIP
[tune] x=(1, 6080, 256) w=(256, 128) default=   0.035 ms  under 0.25 ms floor, SKIP
[tune] x=(1, 704, 384) w=(384, 768) default=   0.032 ms  under 0.25 ms floor, SKIP
[tune] x=(1, 704, 384) w=(384, 768) default=   0.026 ms  under 0.25 ms floor, SKIP
[tune] x=(1, 704, 768) w=(768, 384) default=   0.023 ms  under 0.25 ms floor, SKIP
[tune] x=(1, 685, 704, 128) w=(128, 256) default=   6.668 ms  gain= 1.00x  DEFAULT
[tune] x=(1, 685, 704, 128) w=(128, 256) default=   4.987 ms  gain= 2.23x  bw=2 obw=8 pcM=137
[tune] x=(1, 685, 704, 256) w=(256, 128) default=   9.072 ms  gain= 3.48x  bw=1 obw=4 pcM=137
[tune] x=(1, 685, 704, 128) w=(128, 512) default=   8.311 ms  gain= 1.00x  DEFAULT
[tune] x=(1, 685, 704, 128) w=(128, 512) default=   4.791 ms  gain= 1.11x  bw=1 obw=16 pcM=137
[tune] x=(1, 685, 704, 512) w=(512, 128) default=  20.513 ms  gain= 4.68x  bw=1 obw=4 pcM=137
[tune] x=(1, 685, 704, 128) w=(128, 32) default=   0.719 ms  gain= 1.00x  DEFAULT
[tune] x=(1, 704, 384) w=(384, 1536) default=   0.048 ms  under 0.25 ms floor, SKIP
[tune] x=(1, 704, 384) w=(384, 1536) default=   0.033 ms  under 0.25 ms floor, SKIP
[tune] x=(1, 704, 1536) w=(1536, 384) default=   0.034 ms  under 0.25 ms floor, SKIP
[tune] x=(1, 704, 384) w=(384, 768) default=   0.027 ms  under 0.25 ms floor, SKIP
[tune] x=(1, 704, 768) w=(768, 768) default=   0.037 ms  under 0.25 ms floor, SKIP
[tune] x=(1, 704, 768) w=(768, 1536) default=   0.048 ms  under 0.25 ms floor, SKIP
[tune] x=(1, 704, 1536) w=(1536, 768) default=   0.057 ms  under 0.25 ms floor, SKIP
